MCGM Values,Semi local centrality,Extended Degree,Second order centrality,Local Gravity Model Centrality,PageRank Centrality,Coreness Centrality,MDD Value,Local-Global Centrality,GIN Values,Isolating Centrality,CLC Values,Societal Capital Scores,H-GSM_1,EHCC Value,Node H-Index,Closeness Centrality,I-GSM Values,Extended Coreness,Volume Centrality,HCC Value,H Values,Centrality Values,Clustering Coefficient,P Value
0.231113827,4395,16.6,-3854.640899,111,0.001825341,15,3.0,3.106259454,1539.380742,0,1616.830144,40,226.3329735,1.308062944,3,0.00094697,120.3082665,309,688,0.108540841,0.011947352,306.7357869,1.0,21
0.231113827,4395,16.6,-3854.640899,111,0.001825341,15,3.0,3.106259454,1539.380742,0,1616.830144,40,226.3329735,1.308062944,3,0.00094697,120.3082665,309,688,0.108540841,0.011947352,306.7357869,1.0,21
1.22463451,16689,43.0,-2973.925978,500,0.002578874,42,4.4,6.059295984,1869.307966,0,9159.117395,105,369.5455321,3.076219896,3,0.001083424,263.50758,1262,2264,0.210266931,0.148928599,608.0075415,0.6,39
15.53676339,135793,282.2,-1544.505173,19198,0.014211628,252,22.7,45.95507447,2613.155879,29,120354.5551,691,119875.0519,17.4433283,10,0.001373626,949.5861296,10072,3936,0.880714331,7.181584889,3000.110571,0.120689655,148
1.544014854,17155,46.8,-2748.806398,840,0.00448227,47,6.2,9.749864006,1887.641701,8,13360.32743,113,382.9415414,3.287618688,4,0.001088139,270.6119688,1307,2263,0.212530655,0.171710408,680.6934321,0.25,39
76.48156936,485287,895.0,-752.8032835,122664,0.013272701,933,44.7,111.8128612,3758.713488,57,352328.8702,2209,4511351.307,66.29270421,28,0.001589825,2703.937048,38415,4149,1.555626297,104.9269929,10549.71209,0.320175439,201
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.23934852,4157,20.2,-4124.852995,138,0.002124965,15,3.0,3.140723008,1548.462436,0,1529.274837,49,226.4669801,1.207728102,3,0.000956938,130.1888131,307,715,0.106457901,0.010897941,283.8287035,1.0,20
0.23934852,4157,20.2,-4124.852995,138,0.002124965,15,3.0,3.140723008,1548.462436,0,1529.274837,49,226.4669801,1.207728102,3,0.000956938,130.1888131,307,715,0.106457901,0.010897941,283.8287035,1.0,20
0.59627585,4667,33.2,-4062.854197,868,0.010751949,40,10.1,14.96499513,1603.233979,56,4135.620369,76,262.698958,1.704780545,3,0.000967118,149.5034971,363,704,0.114097969,0.029252934,418.7621442,0.120879121,20
0.154280548,3478,13.6,-4743.637107,62,0.001542973,11,2.0,2.065363246,1532.571271,0,3478.0,33,221.8835441,0.98141074,2,0.00094697,114.451242,257,691,0.078782305,0.007631003,220.5198885,0.0,15
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.08257483,3369,12.2,-5730.896634,29,0.000868783,9,1.0,1.030043383,1527.126191,0,3369.0,30,218.8726199,0.958647739,1,0.00094518,112.1884492,252,690,0.077933409,0.006220531,213.3826289,0.0,15
0.154471924,3664,14.0,-4598.19526,64,0.001454881,11,2.0,2.064648317,1532.738945,0,1347.910272,34,221.8858642,1.062841917,2,0.000946074,115.2934919,265,689,0.08832453,0.00779656,238.8737981,1.0,17
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.154241375,3635,13.6,-4757.003843,62,0.001511847,11,2.0,2.063775757,1532.235924,0,1337.241769,33,221.8796987,1.0475382,2,0.000946074,114.3503273,263,689,0.083411935,0.007791857,238.7737981,1.0,16
0.183376473,3930,15.4,-4084.891908,102,0.002066554,13,2.7,3.102807335,1537.867127,0,2017.729278,37,224.2530889,1.161557568,2,0.00094697,117.4702372,276,688,0.093803056,0.009437727,264.2649672,0.666666667,18
0.183646304,3959,15.8,-4016.118734,105,0.002040979,13,2.4,3.104116175,1538.371665,0,2032.618374,38,224.2592916,1.167036094,3,0.00094697,118.416247,278,688,0.098715651,0.009443023,264.3649672,0.666666667,19
0.154471924,3664,14.0,-4598.19526,64,0.001454881,11,2.0,2.064648317,1532.738945,0,1347.910272,34,221.8858642,1.062841917,2,0.000946074,115.2934919,265,689,0.08832453,0.00779656,238.8737981,1.0,17
0.183376473,3930,15.4,-4084.891908,102,0.002066554,13,2.7,3.102807335,1537.867127,0,2017.729278,37,224.2530889,1.161557568,2,0.00094697,117.4702372,276,688,0.093803056,0.009437727,264.2649672,0.666666667,18
39.84723825,314751,589.8,-936.948416,57933,0.00960011,592,32.9,72.6861632,3154.689898,0,225620.6436,1454,561476.8129,42.98550588,20,0.001453488,1788.670752,23973,4073,1.254024398,40.65845977,7007.784873,0.332926829,182
