Constraint Coefficients,LGC Scores,MDD Value,MCGM Values,Gravity Model Centrality,Local Gravity Model Centrality,Improved Gravity Index Values,HVGc Index,K-Shell Value,Laplacian Centrality,H Values,Gravity Index Centrality,Extended Degree,Extended Coreness,EIGSM Values,Local-Global Centrality,Societal Capital Scores,Subgraph centrality,Density Centrality,H-GSM_1,PE Values,Centrality Values,Clustered Local Degree,Node H-Index,I-GSM Values,Average Spreading Ability
0.7820502024938704,0.14150421245758393,0.5,0.21945939606268303,0.2462386910432292,0.15686274509803919,0.5255014326647564,0.1089479980594234,1.0,0.27096774193548384,0.09836524916196368,0.538152610441767,0.35978835978835977,0.36363636363636365,0.2977072764871421,0.3070234679488276,0.3595505617977528,0.10265172820550376,0.2177615571790854,0.38654012940406257,0.33175624087672234,0.3126669576905406,0.40864367801061374,0.6000000000000001,0.40944470384468706,0.33118279569892467
0.8666398438452795,0.2784652295835404,0.554054054054054,0.3643446690608492,0.36788464592569453,0.2693498452012384,0.6997134670487105,0.2498057956748561,1.0,0.3935483870967742,0.21225751704756665,0.6867469879518072,0.5132275132275133,0.5420875420875421,0.45453086511317126,0.416027758685344,0.5168539325842697,0.20132249727664392,0.32116788327408163,0.4943509373155943,0.457199483261533,0.44962482951396937,0.5630651339262289,0.8,0.5680380474164652,0.4333333333333333
0.8255429399515465,0.046796630033932834,0.3648648648648648,0.09171446306088377,0.13969243154892977,0.07120743034055728,0.22521489971346703,0.038551106772909814,0.6666666666666667,0.15483870967741933,0.03550932974386531,0.2520080321285141,0.20634920634920634,0.18855218855218855,0.17638388003601457,0.20482120369047555,0.20224719101123595,0.04056661911317064,0.11922141120668915,0.24309209529540085,0.24809923966238234,0.21435475747240726,0.18206896545027346,0.4000000000000001,0.23830410267283175,0.2236559139784946
0.9636460643423054,0.5015039670121312,0.7972972972972973,0.5897251057670665,0.5975976938569901,0.5263157894736842,0.7730659025787965,0.4599382973409385,1.0,0.6322580645161291,0.4810403558404822,0.7791164658634537,0.6984126984126984,0.6868686868686869,0.6689100590636176,0.6512558770593793,0.6966292134831461,0.4941648599451702,0.6058394160798276,0.6726017671587065,0.658672018929268,0.6562151810534905,0.690344827332287,1.0000000000000002,0.7013626179533081,0.6322580645161289
0.8311854370731913,0.1638716565727224,0.554054054054054,0.23930343872444595,0.30532883107815884,0.20123839009287922,0.5232091690544411,0.13384126897941157,1.0,0.3225806451612903,0.12811080638915556,0.5662650602409638,0.3968253968253968,0.4006734006734007,0.3505534872279775,0.38531643678403255,0.3932584269662921,0.12935058655759651,0.27007299277440766,0.4442634638997722,0.40112863481418337,0.38161635494480434,0.4147126435256229,0.8,0.4328343749545265,0.33655913978494617
0.8149182580507939,0.17814921856303959,0.554054054054054,0.2460875273851524,0.3201470929775849,0.2198142414860681,0.5484240687679083,0.15797030849883212,1.0,0.3419354838709677,0.1327278071542764,0.6024096385542168,0.42857142857142855,0.4444444444444445,0.3696376391956651,0.3946371848483522,0.42696629213483145,0.13812866437017116,0.2773722627365489,0.45856573663251254,0.429575684222087,0.4122115385065957,0.47944827568572007,0.8,0.46454919333240585,0.33655913978494617
0.9826365221017571,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,0.988538681948424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0
0.933963271802702,0.3137823757892605,0.6486486486486486,0.4187243571136726,0.42232694481611477,0.3219814241486068,0.6699140401146131,0.3249599347526781,1.0,0.4451612903225806,0.29380485546246987,0.6666666666666666,0.5396825396825395,0.569023569023569,0.5367892573081967,0.4841300750913044,0.5393258426966292,0.29919005769453416,0.37591240875482623,0.5346275324688875,0.5372820510475457,0.5352035981487987,0.5332019702038797,0.8,0.5716031251301574,0.5612903225806452
0.9592309564507296,0.5523872638354533,0.7432432432432432,0.6204473454474948,0.612274915221007,0.5087719298245613,0.9014326647564469,0.5005320592454388,1.0,0.6064516129032258,0.45789438094000207,0.8795180722891566,0.7354497354497354,0.7542087542087542,0.6914278882353452,0.6415134704793927,0.7415730337078651,0.44174874705150996,0.5669099757719509,0.7020780591678814,0.7077817895806509,0.6851774003301616,0.7535632181136319,1.0000000000000002,0.7916011596276389,0.6172043010752688
0.6813225145639368,0.08730372033945105,0.2702702702702703,0.15260598267046593,0.12910792235453492,0.06811145510835913,0.3438395415472779,0.059929636728313945,0.6666666666666667,0.16129032258064516,0.06546976609217142,0.31827309236947793,0.24338624338624337,0.265993265993266,0.2365186048255819,0.16021094144545966,0.24719101123595505,0.06842814487923836,0.0948905109607382,0.2605009358824807,0.22390820319862076,0.22006078797759945,0.2798467432258035,0.4000000000000001,0.32588499735236426,0.24086021505376337
