Lambda,Kendall_Tau,P_Value
0.0136,0.6496397397276449,1.3809482707928856e-253
0.0166,0.6609064925485283,2.285647598175813e-264
0.0196,0.6558339531717319,5.736241841223825e-262
0.0226,0.6416735387758884,7.390220293929592e-252
0.0256,0.6409994642387278,3.141242500161462e-252
0.0286,0.6264807082316552,1.2897816216222448e-241
0.0317,0.617089907277453,7.222051469667501e-235
0.0347,0.6204333955452733,1.2067864519256766e-237
0.0377,0.628660245948187,4.554450436939013e-244
0.0407,0.635196004013841,2.780232962597371e-249
