Lambda,Centrality,Kendall_Tau,P_Value
0.0674,Degree_Centrality,0.8021159164297534,3.7340392058317884e-19
0.0674,Betweenness_Centrality,0.5223477821958122,1.6386086525224e-08
0.0674,PageRank_Centrality,0.6804793658837016,2.779887320733898e-15
0.0674,Closeness_Centrality,0.6959674941561493,9.139821208359744e-16
0.0674,Eigenvector_Centrality,0.620569223619546,5.810828347228956e-13
0.0824,Degree_Centrality,0.7918146051174115,9.22142114871986e-19
0.0824,Betweenness_Centrality,0.469866284767655,3.6294467889165747e-07
0.0824,PageRank_Centrality,0.6454029430230097,6.125011436261238e-14
0.0824,Closeness_Centrality,0.704779258727699,3.5519821682870433e-16
0.0824,Eigenvector_Centrality,0.6733122594780587,4.8810989054318396e-15
0.0974,Degree_Centrality,0.7953527199789269,6.714001636662079e-19
0.0974,Betweenness_Centrality,0.4735400988036266,2.978453093341197e-07
0.0974,PageRank_Centrality,0.6546997592913013,2.741867856447489e-14
0.0974,Closeness_Centrality,0.7357227573476757,1.7859224249493586e-17
0.0974,Eigenvector_Centrality,0.6935928142987052,7.503543035995356e-16
0.1123,Degree_Centrality,0.7648691956455416,1.2194480066073207e-17
0.1123,Betweenness_Centrality,0.4499363262319227,1.0817515713293191e-06
0.1123,PageRank_Centrality,0.6183734713822379,6.125918602006618e-13
0.1123,Closeness_Centrality,0.7466438947234819,5.3733003200619495e-18
0.1123,Eigenvector_Centrality,0.7298997657378106,1.9661353553960292e-17
0.1273,Degree_Centrality,0.7366182130430386,1.7920200363847988e-16
0.1273,Betweenness_Centrality,0.4316183078611574,2.9020674856868012e-06
0.1273,PageRank_Centrality,0.5870067010947331,8.341731546179839e-12
0.1273,Closeness_Centrality,0.7641707467122961,8.902872594285838e-19
0.1273,Eigenvector_Centrality,0.7343807329217398,1.2531170310942125e-17
0.1423,Degree_Centrality,0.7095898368465203,2.1700830889360394e-15
0.1423,Betweenness_Centrality,0.39450783524187105,1.916099351855199e-05
0.1423,PageRank_Centrality,0.5597620667977932,7.321257722309907e-11
0.1423,Closeness_Centrality,0.7363106951452739,1.5476054743530672e-17
0.1423,Eigenvector_Centrality,0.7410373268639824,6.498623039879481e-18
0.1573,Degree_Centrality,0.7289518014212409,3.7112748922636863e-16
0.1573,Betweenness_Centrality,0.40538686117742334,1.1214602910388377e-05
0.1573,PageRank_Centrality,0.569722245922309,3.3607354816226316e-11
0.1573,Closeness_Centrality,0.7618561682421507,1.1523307723491066e-18
0.1573,Eigenvector_Centrality,0.7619537030254657,7.52656593475878e-19
0.1723,Degree_Centrality,0.7169159856045226,1.1184996761490128e-15
0.1723,Betweenness_Centrality,0.393362674617076,2.025673304118209e-05
0.1723,PageRank_Centrality,0.5717142817472122,2.871561599888782e-11
0.1723,Closeness_Centrality,0.7468294193616349,5.366584307058201e-18
0.1723,Eigenvector_Centrality,0.7480094522511435,3.1883834628027634e-18
0.1872,Degree_Centrality,0.7184737290346834,9.272220334116837e-16
0.1872,Betweenness_Centrality,0.395358355391992,1.813703377758868e-05
0.1872,PageRank_Centrality,0.5568570247973713,8.895411737485135e-11
0.1872,Closeness_Centrality,0.7728007466247616,3.4858147801702717e-19
0.1872,Eigenvector_Centrality,0.7698461281157584,3.10592279477108e-19
0.2022,Degree_Centrality,0.6991261832018717,5.2938729840496976e-15
0.2022,Betweenness_Centrality,0.37762158402129486,4.23335292651434e-05
0.2022,PageRank_Centrality,0.5469042629600636,1.9060927654391946e-10
0.2022,Closeness_Centrality,0.7397665178182626,1.0394118462844083e-17
0.2022,Eigenvector_Centrality,0.7678555757482967,3.831962267559721e-19
