K-Shell Value,Global Relative Change in Avg Clustering,Subgraph centrality,P Value,MDD Value,I-GSM Values,Local Gravity Model Centrality,Second order centrality,Eccentricity Centrality,Coreness Centrality,GGC Values,Extended Degree,GSM,Betweenness Centrality,HVGc Index,Density Centrality,Semi local centrality,MCGM Values,Leverage Centrality,Constraint Coefficients,Closeness Centrality,Isolating Centrality,EIGSM Values,Gravity Index Centrality,EHCC Value
4,0.025508671,16.37118847,16,4.7,53.30218405,155,-152.6429871,0.142857143,19,75.07405932,15.4,86.05267625,0.016092021,3851.038223,14.71590909,732,13.31313369,-0.089466089,-0.336944444,0.005128205,0,306.1730044,138.0,5.76757651
4,0.007873609,30.42295113,23,5.1,70.87905171,264,-133.9539686,0.166666667,24,135.8941032,21.2,94.71787904,0.019082596,8808.604505,21.47727273,1135,21.9758235,-0.077034077,-0.265225734,0.005681818,0,454.2900239,175.0,8.287014061
3,0.026944334,7.529611315,8,3.7,34.33470641,72,-175.5424581,0.142857143,13,61.6472783,9.6,74.1800944,0.009072812,1373.381604,8.272727273,397,5.67526473,-0.042063492,-0.300069444,0.00462963,0,191.585269,66.75,3.042183623
4,0.032297428,72.12680543,39,6.9,85.65538645,513,-118.8519071,0.142857143,33,252.1260324,28.2,95.56357439,0.065529282,16204.33142,40.09090909,1499,35.45131878,0.218633121,-0.182979718,0.005291005,9,656.767263,198.0,14.02977667
4,0.030331935,20.1733887,15,5.1,55.89445649,198,-139.2605873,0.166666667,23,102.4315653,16.8,88.94023064,0.029157952,4727.170341,18.13636364,788,14.49960891,0.050815851,-0.295285494,0.005405405,0,356.0852867,145.0,6.462365591
4,0.040330161,21.42347996,17,5.1,59.40940329,216,-136.295611,0.166666667,24,97.22979465,18.0,91.66016974,0.023201476,5576.404922,18.61363636,869,14.90522954,0.012121212,-0.309077503,0.005555556,0,374.1099202,154.0,6.580645161
4,0.005078307,144.1630873,34,8.4,118.7533061,972,-97.85577675,0.166666667,46,438.1333745,39.6,108.762009,0.061972005,35212.0948,65.86363636,2235,59.98165283,0.297705654,-0.166878797,0.00617284,0,969.4756742,253.0,18.99421009
4,0.019083692,44.36032837,28,5.8,71.27416854,315,-129.0340944,0.166666667,26,177.0462076,22.2,93.38457557,0.033292221,11453.69503,25.05681818,1229,25.2271848,0.083882784,-0.208146057,0.005555556,0,531.9815752,170.0,10.63110008
4,0.005212238,64.66219575,30,6.5,95.65650547,496,-107.7135293,0.2,32,287.6077452,29.6,106.3442854,0.143149518,17633.0508,37.54545455,1673,37.28820135,0.046410899,-0.186723035,0.006622517,0,678.034942,223.0,12.57320099
3,0.0027732,11.4973877,12,3.0,44.04127896,69,-190.2736973,0.142857143,12,46.87745374,11.0,80.30262611,0.002373797,2125.810515,6.681818182,632,9.315968409,-0.394444444,-0.422345679,0.005050505,0,248.3814199,83.25,4.698097601
4,0.035835756,65.42614694,32,6.0,81.82690719,342,-133.9634767,0.142857143,24,91.67081421,26.4,91.29700326,0.00330471,15385.48569,21.0,1570,28.72767172,-0.2162052,-0.293515623,0.005405405,0,603.1886581,165.0,11.60463193
4,0.025083894,59.27526921,38,6.0,80.35929535,336,-137.5408747,0.142857143,24,98.69529152,26.0,89.51926529,0.007383043,13912.5033,21.47727273,1462,27.76276953,-0.205216189,-0.289943427,0.005128205,0,552.2039577,166.0,11.82216708
