Node,Spreading Ability,Rank
7,10.63,1
15,9.12,2
21,8.63,3
13,8.42,4
49,7.45,5
27,7.63,6
4,7.21,7
9,7.07,8
25,7.97,9
20,7.7,10
18,7.34,11
17,6.47,12
16,6.19,13
11,5.91,14
12,6.45,15
52,5.83,16
8,6.55,17
38,5.64,18
43,6.53,19
29,5.44,20
2,5.36,21
30,5.34,22
33,4.3,23
42,5.48,24
6,4.46,25
23,5.42,26
14,5.58,27
28,5.25,28
19,6.13,29
5,4.46,30
31,4.3,31
32,4.12,32
41,4.44,33
1,4.41,34
24,4.11,35
26,4.79,36
39,4.6,37
36,3.26,38
46,3.57,39
44,3.19,40
10,3.57,41
3,3.41,42
53,3.23,43
35,2.81,44
47,3.05,45
40,2.43,46
45,2.38,47
22,2.5,48
54,2.24,49
48,3.03,50
62,2.77,51
60,2.42,52
55,2.15,53
59,1.87,54
51,2.46,55
58,2.04,56
61,2.55,57
37,2.03,58
34,1.91,59
50,1.66,60
56,1.55,61
57,1.33,62
