Lambda,Kendall_Tau,P_Value
0.1627,0.3604452598571768,0.0008364034990797849
0.1989,0.43066186892026315,6.569740681917719e-05
0.235,0.45093457943925236,2.8430879409536047e-05
0.2712,0.46845794392523366,1.3706529447157328e-05
0.3073,0.4212371595831045,9.067203432197861e-05
0.3435,0.3997679858524158,0.00020038254843963069
0.3796,0.4366609033596219,5.006529381336093e-05
0.4158,0.4702453609750446,1.2452182174870821e-05
0.4519,0.4100192108348836,0.00013569754378005058
0.4881,0.4356454115120638,5.026868468604837e-05
