Eccentricity Centrality,Second order centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,GIN Values,GSM,H-GSM_1,H Values,Volume Centrality,Extended Improved Gravity Index Values,Semi local centrality,I-GSM Values,P Value,Clustered Local Degree,MCGM Values,Extended Coreness,Centrality Values,Coreness Centrality,HCC Value,EHCC Value,EIGSM Values,Leverage Centrality,PE Values,Societal Capital Scores,Average Spreading Ability
0.8888889153333339,1.0,1.0,1.0,0.7491119447483614,1.0,1.0,1.0,0.7492857572254319,0.9375,0.9908675799086757,0.8846153846153848,0.9708806270866759,0.9047619047619047,0.8571428571428571,0.7528904262114515,0.8571428571428572,0.8499999999999999,1.0000000000000002,0.8977777779472593,0.92618223758705,0.991603983383405,0.6542056078343086,0.8216561907032581,0.8888888888888888,1.0
0.7894736949473684,0.9510252386078821,0.9504216902670382,0.9547101452254451,0.40041740394861147,0.8662669631753848,0.8796755302353645,0.8169789184715022,0.26717567425781147,0.6875,0.6164383561643836,0.5576923076923077,0.7460119096434024,0.857142857142857,0.5714285714285714,0.35242635582408427,0.7142857142857142,0.5000000000000001,0.6000000000000001,0.7244444443401481,0.6147635524216903,0.5865777111945694,0.39252336450432346,0.4715580506187913,0.5555555555555556,0.8262135922330096
0.9999999999999998,0.9517696695978282,0.9919921050752163,0.6080917877714307,0.7263105867714216,0.9840876481502707,0.9244634258996438,0.9837637658332221,0.6053937367109145,1.0,0.8264840182648401,0.8653846153846154,0.966889622132437,0.9047619047619047,0.8571428571428571,0.7159652712467892,0.8571428571428572,0.8999999999999999,0.8,0.8977777779472593,0.8489042675205517,1.0,0.6542056078343086,0.8588510028335622,0.8888888888888888,0.7213592233009707
0.9999999999999998,0.9514766850371631,0.9814222551177423,0.633454106364964,0.8005700204125437,0.9231172520014499,0.9310017217648505,0.9393067682229115,0.667233726447296,0.8125,0.8356164383561644,0.7500000000000001,0.8504335173864495,0.9523809523809523,0.7142857142857143,0.7311821496965721,0.8571428571428572,0.8,0.8,0.8755555556598518,0.784313725466314,0.9143293871053674,0.7523364489603895,0.7639039669327136,0.7777777777777779,0.8456310679611649
0.7000000068000001,0.9005735157980421,0.8986047538354662,0.9504830917922837,0.28173548976897167,0.8110349754700823,0.9121315674802597,0.8621827483270394,0.2822330993648113,0.625,0.817351598173516,0.5576923076923077,0.6996688576357757,0.8095238095238095,0.5714285714285714,0.3718754104580482,0.7142857142857142,0.7,1.0000000000000002,0.7466666666275557,0.7197231834120761,0.8136038860129128,0.785046729008647,0.7066313676091487,0.6666666666666667,0.9145631067961164
0.6190476368571431,0.7993517090873566,0.7394051537757349,0.09661835845673179,0.15982041501258615,0.6520786575634681,0.6948860054132728,0.6310488326051684,0.10688880355189609,0.5625,0.4977168949771689,0.46153846153846156,0.5870821558575192,0.38095238095238093,0.5714285714285714,0.22017483266672033,0.6428571428571428,0.4,0.6000000000000001,0.4577777780645926,0.4371395617725363,0.4558921701764954,0.39252336450432346,0.3954482330065845,0.5555555555555556,0.6368932038834951
0.6190476368571431,0.8299403575539251,0.8317238334534454,0.8073671495816465,0.16437368291705592,0.7565601969319544,0.8068923594452593,0.7217815568331265,0.1099222135195523,0.625,0.5616438356164384,0.5192307692307693,0.6608298752825752,0.7619047619047619,0.5714285714285714,0.22993973555986633,0.7142857142857142,0.44999999999999996,0.6000000000000001,0.6711111109677037,0.560553633175848,0.5172836347076446,0.39252336450432346,0.43436323848848724,0.5555555555555556,0.653398058252427
0.5454545330909086,0.7576879483817275,0.6875661427189446,0.08937198056975952,0.1299910517401414,0.6047386238835994,0.6888683450028117,0.6827323689931817,0.1088050645611926,0.5,0.6027397260273972,0.46153846153846156,0.5528258059331954,0.3333333333333333,0.5714285714285714,0.26143607557891546,0.6428571428571428,0.6,0.8,0.480000000352,0.45213379468416326,0.6385255535197357,0.8177570090569045,0.6149084819602302,0.6666666666666667,0.558252427184466
0.4782608754782609,0.763240153108056,0.6354921018289477,0.08574879162627337,0.12430379101309351,0.6195627699954205,0.6975007439520311,0.6841575800044433,0.10406896455328281,0.5625,0.6255707762557077,0.6153846153846154,0.6280847165781378,0.38095238095238093,0.7142857142857143,0.28619879016854477,0.7857142857142856,0.6,0.8,0.5555555554251852,0.5259515570971134,0.6695863117425707,0.7523364489603895,0.6149084819602302,0.7777777777777779,0.5737864077669903
0.4782608754782609,0.6113509328583371,0.5503671529576752,0.0,0.05000938480510802,0.3641822337528613,0.42203638028057333,0.3170160207218682,0.016796804991876475,0.1875,0.1963470319634703,0.11538461538461539,0.21869250125166678,0.047619047619047616,0.14285714285714285,0.030234415772742766,0.21428571428571425,0.1,0.2,0.07555555565985186,0.09919261828522169,0.11123492172005625,0.09813084112608084,0.08426509297993837,0.1111111111111111,0.37087378640776697
