Lambda,Kendall_Tau,P_Value
0.3309,0.7234376720634407,5.339598046488888e-22
0.4044,0.753021219776622,9.21613389878516e-24
0.4779,0.762270118273661,2.6510295262962295e-24
0.5515,0.7071985944433212,3.476005229189263e-21
0.625,0.671474859827351,2.929031939631261e-19
0.6985,0.637340175385974,1.6114756501477312e-17
0.7721,0.5788311559848334,1.0546319209229753e-14
0.8456,0.5389030654393493,5.799285043443057e-13
0.9191,0.501838771637298,1.9519723337606822e-11
0.9926,0.3134482556731615,2.8522147933588738e-05
