MCGM Values,H-GSM_1,Extended Improved Gravity Index Values,Betweenness Centrality,Extended Degree,Leverage Centrality,GGC Values,Societal Capital Scores,EHCC Value,LGC Scores,Constraint Coefficients,Volume Centrality,Coreness Centrality,GIN Values,I-GSM Values,HVGc Index,Eigenvector Centrality,Node H-Index,EIGSM Values,Laplacian Centrality,MDD Value,K-Shell Value,Density Centrality,Gravity Model Centrality,PageRank Centrality
14.70825778,18.23245305,59.0,0.498644986,5.0,0.066666667,33.0,11,6.96969697,2772,-0.333333333,20,6,38.58817626,16.12444989,114.6450097,0.245145242,2,44.27334154,28,2.4,2,4.056818182,46.65613627,0.01476002
7.172504351,16.41265557,38.5,0.476061427,3.6,-0.2,17.0,8,4.924242424,1341,-0.5,16,4,35.79694089,13.48504096,50.94857542,0.131162302,2,29.06553673,18,2.0,2,1.909090909,26.32796781,0.010303869
14.01341676,18.0710145,50.0,0.303221921,5.0,0.066666667,33.75,11,6.462121212,2842,-0.333333333,21,5,38.25605848,16.07760525,126.1095107,0.237691825,2,44.58859265,28,2.4,2,4.056818182,46.5205912,0.014876048
14.29976116,17.62897399,50.5,0.315868714,4.6,0.166666667,29.25,10,6.037878788,2353,-0.333333333,18,5,36.98350287,14.71069532,85.98375727,0.261966104,2,41.37185821,26,2.1,2,3.818181818,42.56543388,0.015381326
7.538487946,16.86212191,49.5,0.473953628,4.2,0.2,24.75,9,5.613636364,1764,-0.333333333,15,6,34.6441556,12.94108684,77.38538154,0.09236699,2,37.58984735,24,2.1,2,3.579545455,37.44506728,0.015228881
4.68385445,14.56393356,32.0,0.04817826,3.6,-0.2,16.0,8,3.757575758,1179,-0.5,14,4,31.32646756,11.61959424,40.03102354,0.052514807,2,24.15859529,18,2.0,2,1.909090909,22.68590093,0.010808125
4.867606017,15.46609839,35.5,0.402589581,3.6,-0.2,16.5,8,4.568181818,1260,-0.5,15,4,33.50717455,12.48521215,47.30939146,0.054003201,2,26.46370356,18,2.0,2,1.909090909,24.37591881,0.010468556
5.46029003,15.07782829,37.75,0.04456489,4.2,0.233333333,23.25,9,3.856060606,1596,-0.333333333,13,5,30.33840074,11.21750845,53.73984829,0.042764042,2,31.01605871,24,2.4,2,3.579545455,32.45788889,0.016538447
5.926263697,15.09199931,39.0,0.042758205,4.6,0.166666667,26.25,10,4.340909091,1911,-0.333333333,14,5,30.64780582,12.10086405,64.48781795,0.040904963,2,32.18231873,26,2.1,2,3.818181818,35.01388053,0.016301911
1.109640797,11.44147294,15.5,0.0,1.8,-0.5,4.25,4,1.537878788,280,-1.0,8,2,25.31758075,7.295600422,5.518191618,0.016619252,1,11.21750845,8,1.0,1,0.477272727,7.208229012,0.006493248
6.6945872,16.45219181,50.5,0.425474255,4.6,0.133333333,28.5,10,5.590909091,2132,-0.333333333,17,6,33.94837268,13.52261672,90.28294513,0.046593148,2,36.97513383,26,2.4,2,3.818181818,39.12772547,0.015339787
4.14095404,15.08973716,35.5,0.397470641,3.6,-0.2,16.5,8,4.295454545,1260,-0.5,15,4,32.60528326,12.38905763,47.30939146,0.024981886,2,25.78052405,18,2.0,2,1.909090909,24.18818834,0.010506046
5.379876706,15.6989418,49.0,0.388587775,4.2,0.2,24.75,9,5.068181818,1752,-0.333333333,15,6,31.97587926,12.25790732,77.38538154,0.017685502,2,35.54388735,24,2.1,2,3.579545455,35.46828564,0.015360142
3.662037607,13.647955,32.0,0.056308341,3.6,-0.2,16.0,8,3.575757576,1179,-0.5,14,4,29.23946648,11.1722976,40.03102354,0.010091179,2,23.10889618,18,2.0,2,1.909090909,21.81260646,0.010858346
3.798610874,14.40615661,35.5,0.300963565,3.6,-0.2,16.5,8,4.022727273,1260,-0.5,15,4,31.09589447,11.98253212,47.30939146,0.010427231,2,25.344439,18,2.0,2,1.909090909,23.39449475,0.010527111
8.60750928,16.36527974,37.25,0.202047576,5.0,0.066666667,31.5,11,4.666666667,2506,-0.333333333,18,4,35.30462706,14.78848621,103.1805087,0.160743228,2,38.14060297,28,2.4,1,4.056818182,42.790522,0.016148878
2.82828421,13.41486085,13.25,0.024390244,2.8,0.066666667,11.0,6,2.075757576,665,-0.5,10,2,28.6511505,9.260040594,24.26122639,0.073578817,1,20.70749594,14,1.7,1,1.590909091,18.07914795,0.012396732
5.859956581,15.09858803,23.5,0.13881361,4.6,0.166666667,27.75,10,3.689393939,2080,-0.333333333,16,3,31.86692882,12.80295712,73.08619368,0.102362367,2,34.02656638,26,2.4,1,3.818181818,37.0453886,0.017142097
0.791661747,10.99104018,5.5,0.0,1.4,-0.333333333,2.75,3,0.886363636,126,-1.0,5,1,23.8291587,5.919009727,2.943035529,0.028593695,1,9.260040594,6,1.0,1,0.397727273,5.848124236,0.007076263
5.63512637,15.37308552,50.5,0.306233062,4.6,0.133333333,28.5,10,5.045454545,2132,-0.333333333,17,6,31.5488547,13.08653167,90.28294513,0.009137582,2,35.73477532,26,2.4,2,3.818181818,37.86591228,0.015413416
3.67693087,13.9924344,36.0,0.270099368,3.6,-0.2,16.5,8,3.75,1269,-0.5,15,4,30.14995918,11.98311852,47.30939146,0.005097673,2,24.97443615,18,2.0,2,1.909090909,23.39563962,0.010592458
5.046202285,14.1766175,39.0,0.035983138,4.6,0.166666667,26.25,10,4.159090909,1911,-0.333333333,14,5,28.62899835,11.76912468,64.48781795,0.007975735,2,31.1271977,26,2.1,2,3.818181818,34.05399184,0.016346473
5.101625228,14.48925475,51.0,0.253989762,4.2,0.2,25.5,9,4.606060606,1848,-0.333333333,16,6,29.32369269,11.88790448,81.68456941,0.003968112,2,35.19542859,24,2.1,2,3.579545455,34.39768147,0.015590596
3.490737101,12.84416994,33.5,0.096507076,3.6,-0.2,16.0,8,3.393939394,1206,-0.5,14,4,27.48746611,11.05483454,40.03102354,0.002425291,2,22.90336281,18,2.0,2,1.909090909,21.58327356,0.010920179
3.87421963,13.12803427,35.0,0.118036736,4.0,-0.266666667,18.5,9,3.643939394,1590,-0.5,16,4,28.42648941,12.15747553,46.7028608,0.002671443,2,23.7073146,20,2.0,2,2.068181818,23.73605134,0.010921479
4.575651378,14.17354028,37.75,0.045919904,4.2,0.233333333,23.25,9,3.856060606,1596,-0.333333333,13,5,28.32981975,10.85098886,53.73984829,0.008274512,2,29.96790163,24,2.4,2,3.579545455,31.39736353,0.01658247
0.944005907,10.71845918,15.5,0.0,1.8,-0.5,4.25,4,1.537878788,280,-1.0,8,2,23.66723329,7.026479354,5.518191618,0.003216939,1,10.85098886,8,1.0,1,0.477272727,6.942330912,0.006505977
2.525245326,13.13941691,19.5,0.0,1.8,-0.5,4.5,4,2.212121212,324,-1.0,9,2,29.58019512,8.781168187,6.621829941,0.101803425,1,14.71069532,8,1.0,1,0.477272727,8.67600576,0.006165556
19.35825501,17.71107513,59.5,0.312355716,5.4,0.0,36.0,12,7.454545455,3165,-0.333333333,21,6,37.90239195,16.46624013,122.5268541,0.32715673,3,43.84521813,30,2.4,2,4.295454545,47.6451072,0.01465491
4.58634442,13.35536215,43.25,0.079795242,4.2,0.233333333,24.75,9,3.977272727,1800,-0.333333333,15,5,26.66294276,11.01545834,64.48781795,0.002259498,2,31.62816874,24,2.4,2,3.579545455,31.87325637,0.016570116
