Coreness Centrality,Node H-Index,Density Centrality,MDD Value,GSM,Degree Centrality,Leverage Centrality,Global Relative Change in Avg Degree,DIL Centrality,Societal Capital Scores,DNC Scores,H-GSM_1,Volume Centrality,GGC Values,Subgraph centrality,Eigenvector Centrality,Isolating Centrality,GIN Values,Eccentricity Centrality,Local-Global Centrality,H Values,Improved Gravity Index Values,Gravity Model Centrality,MCGM Values,Closeness Centrality
56,5,46.13636364,7.6,150.6966981,0.243902439,0.172699908,0.043003851,25.78172269,95,17.94670145,1201.316518,251,137.0290964,794.556043,0.107499199,0,228.9603786,0.2,15.10339514,6.019955148,632.5,1302.191667,12.12051829,0.010869565
37,5,27.28409091,6.1,139.9956743,0.170731707,-0.022338936,0.022785623,9.248809524,73,12.10716321,806.7514762,254,61.18076442,380.6276382,0.072421016,0,203.7256032,0.2,9.97050705,2.67957759,565.0,817.0341667,8.065023101,0.010526316
183,9,251.2840909,18.9,247.7953195,0.658536585,0.532861967,0.157573813,71.85368776,258,48.89208683,64764.36508,258,888.5357908,9354.306135,0.386535903,0,476.1107551,0.25,58.63309229,70.73607024,2139.75,6468.375,68.21246496,0.016129032
31,4,13.36363636,4.0,136.2068479,0.097560976,-0.533427594,0.002567394,4.0,67,5.945534313,568.2086354,265,21.14993346,588.0027785,0.096782779,0,192.6694443,0.25,5.61768768,3.000266153,454.0,468.3888889,7.216232232,0.010989011
70,8,40.80681818,7.8,170.9886803,0.219512195,-0.061564318,0.036264442,10.39613527,117,15.71844196,2394.644899,260,77.41608032,2121.695647,0.183152496,0,241.8069326,0.25,14.14643835,12.82067473,1168.0,1346.375,19.50494935,0.011627907
137,9,116.2954545,12.2,218.6793695,0.414634146,0.25653806,0.090179718,34.03967717,199,30.09724257,17839.49429,265,341.5454275,6639.67474,0.325838892,0,345.2571286,0.25,32.17647713,44.63992824,1824.75,3483.347222,45.47501634,0.01369863
90,9,65.86363636,9.9,188.3244428,0.292682927,0.131013614,0.05648267,21.37186087,143,21.27248237,6015.37635,264,180.5897644,3096.883848,0.221782158,0,274.5702834,0.25,20.19202032,19.96039421,1478.25,2004.833333,26.9775959,0.0125
15,3,5.011363636,3.0,104.7548409,0.073170732,-0.2,0.004172015,3.0,21,5.590909091,55.27941512,140,5.928969917,43.4291373,0.024527914,0,139.6611874,0.2,3.255720918,0.367918712,145.5,194.6783333,1.724222452,0.008474576
97,9,65.86363636,9.9,192.6608609,0.292682927,0.050494134,0.05648267,42.97684328,156,20.59925004,6093.434427,264,177.0469781,3810.134781,0.246599438,0,283.2199127,0.25,20.56072317,23.92014547,1566.0,2121.833333,29.84452917,0.0125
85,9,57.75,9.5,185.2270013,0.268292683,0.066696097,0.049743261,17.06505495,138,19.19066418,4866.749637,265,141.4361329,3024.923192,0.219298569,22,266.1610036,0.25,18.22630224,18.6403784,1453.5,1807.513889,25.71075597,0.012345679
67,8,34.36363636,8.0,169.1739419,0.195121951,-0.194229692,0.029525032,8.0,114,13.55177529,1978.419616,261,49.64614399,1988.811591,0.177377238,0,235.5127106,0.25,12.428196,11.88427495,1158.0,1186.777778,18.33721703,0.011494253
67,8,34.36363636,8.0,169.1739419,0.195121951,-0.194229692,0.029525032,8.0,114,13.55177529,1978.419616,261,49.64614399,1988.811591,0.177377238,0,235.5127106,0.25,12.428196,11.88427495,1158.0,1186.777778,18.33721703,0.011494253
47,5,39.375,6.9,145.6277921,0.219512195,0.148913952,0.036264442,10.20261438,83,16.21033781,1031.751718,252,96.79844749,509.6852377,0.083165697,0,217.378444,0.2,13.24814056,3.908787751,592.5,1099.9725,9.879371105,0.010752688
29,5,17.10227273,5.0,135.4899801,0.12195122,-0.294642857,0.009306804,5.0,63,8.107163207,630.6888657,256,24.29833922,295.0603385,0.06469186,0,190.8724716,0.2,6.894253151,1.876063949,537.5,556.0958333,6.568048672,0.010309278
80,8,63.0,9.3,177.0378081,0.292682927,0.187415488,0.05648267,22.33616813,130,21.54528179,4239.137827,257,189.206343,2488.129011,0.198229718,0,264.3681566,0.25,19.65814871,15.85837748,1222.0,1876.166667,23.2003093,0.012048193
81,9,42.95454545,9.0,182.7490481,0.219512195,-0.17958486,0.036264442,9.0,134,14.86339146,3181.526984,267,61.6484958,2923.182512,0.215671599,0,253.7837064,0.25,14.63981892,17.46939953,1444.5,1469.875,23.83261386,0.012048193
132,9,109.4545455,11.8,218.0598812,0.390243902,0.212144144,0.083440308,50.65755522,193,27.94647226,14575.44015,279,309.720318,6098.129938,0.312231546,0,338.109596,0.333333333,30.38631988,41.21456404,1822.5,3256.0,43.09545127,0.014492754
92,9,70.63636364,9.9,193.2803492,0.292682927,0.078923831,0.05648267,37.43027992,150,20.15083734,6033.749443,283,179.6719496,3551.836619,0.237816684,0,284.1070542,0.333333333,20.99924391,21.87913496,1568.25,2103.0,29.21038033,0.01369863
