feature,rank
Local-Global Centrality,1
Density Centrality,2
PE Values,3
Local Gravity Model Centrality,4
Subgraph centrality,5
HVGc Index,6
Extended Improved Gravity Index Values,7
DNC Scores,8
Degree Centrality,9
Coreness Centrality,10
MCGM Values,11
EIGSM Values,12
GGC Values,13
DIL Centrality,14
Clustering Coefficient,15
Leverage Centrality,16
HCC Value,17
P Value,18
K-Shell Value,19
Gravity Index Centrality,20
Clustered Local Degree,21
Volume Centrality,22
Closeness Centrality,23
H-GSM_1,24
Global Relative Change in Avg Clustering,25
Improved Gravity Index Values,26
GSM,27
Extended Coreness,28
Societal Capital Scores,29
Extended Degree,30
Betweenness Centrality,31
Node H-Index,32
Semi local centrality,33
Eigenvector Centrality,34
LGC Scores,35
PageRank Centrality,36
I-GSM Values,37
CLC Values,38
H Values,39
EHCC Value,40
Gravity Model Centrality,41
Global Relative Change in Avg Degree,42
Isolating Centrality,43
Eccentricity Centrality,44
MDD Value,45
Constraint Coefficients,46
GIN Values,47
Laplacian Centrality,48
Second order centrality,49
Centrality Values,50
