Lambda,Kendall_Tau,P_Value
0.2252,0.7668182658917511,3.189519676032831e-142
0.2753,0.7759681254555331,6.9337242206931485e-146
0.3253,0.7554468768973347,1.4943427684133172e-138
0.3754,0.7139786979879557,4.151067667992605e-124
0.4254,0.6572346824236557,1.5728459765349737e-105
0.4754,0.6282040221083809,1.2833627332671344e-96
0.5255,0.5892554966778106,2.927536778010857e-85
0.5755,0.5860659692803399,2.2861003656371395e-84
0.6256,0.5675311682166198,3.0647604509890386e-79
0.6756,0.572880232812798,1.0351028398879446e-80
