Lambda,Kendall_Tau,P_Value
0.0133,0.7130871961621023,5.024984693256244e-50
0.0162,0.7083740545084617,1.7065526784104547e-49
0.0192,0.7036146345629639,6.214798997754967e-49
0.0221,0.705003961457737,3.747736913586588e-49
0.0251,0.6923353316310069,1.694645652787387e-47
0.028,0.700887612205346,1.2508272025879485e-48
0.031,0.6924339583359462,1.5932511231653257e-47
0.0339,0.7077530714543319,1.4234621818984273e-49
0.0369,0.7149671727533854,1.4847981078648225e-50
0.0399,0.7338753111945824,3.595997054755217e-53
