feature,rank
Societal Capital Scores,1
MCGM Values,2
CLC Values,3
H Values,4
Second order centrality,5
Global Relative Change in Avg Degree,6
Degree Centrality,7
Subgraph centrality,8
HCC Value,9
Eigenvector Centrality,10
PageRank Centrality,11
Betweenness Centrality,12
GGC Values,13
Improved Gravity Index Values,14
Clustering Coefficient,15
DIL Centrality,16
H-GSM_1,17
Eccentricity Centrality,18
Leverage Centrality,19
Node H-Index,20
K-Shell Value,21
MDD Value,22
Clustered Local Degree,23
LGC Scores,24
Constraint Coefficients,25
Local Gravity Model Centrality,26
Density Centrality,27
Laplacian Centrality,28
Gravity Index Centrality,29
P Value,30
Global Relative Change in Avg Clustering,31
HVGc Index,32
Closeness Centrality,33
GSM,34
Gravity Model Centrality,35
Local-Global Centrality,36
Extended Coreness,37
I-GSM Values,38
Extended Improved Gravity Index Values,39
DNC Scores,40
GIN Values,41
Centrality Values,42
Semi local centrality,43
EIGSM Values,44
Coreness Centrality,45
PE Values,46
Extended Degree,47
Volume Centrality,48
EHCC Value,49
Isolating Centrality,50
