Clustered Local Degree,EIGSM Values,Semi local centrality,Coreness Centrality,MCGM Values,HCC Value,GSM,DIL Centrality,Constraint Coefficients,K-Shell Value,Gravity Model Centrality,DNC Scores,Closeness Centrality,Local-Global Centrality,GIN Values,Eccentricity Centrality,Local Gravity Model Centrality,Gravity Index Centrality,EHCC Value,Extended Improved Gravity Index Values,Node H-Index,Density Centrality,HVGc Index,P Value,Societal Capital Scores
1428.068279,66527.93324,458830,672,22.12572798,1.381052727,4338.151337,18900.49827,-0.029693585,12,144931.9578,40.51458048,0.000277469,49.04427978,7201.754993,0.2,53656,21126.0,49.61880251,2216075.75,17,1596.0,44748135.3,454,1450
466.4,7559.168014,89476,43,0.962515017,0.772616107,3412.770684,43.04457166,-0.247850079,5,13898.66167,6.706721073,0.000245098,6.492104929,5608.368621,0.166666667,1908,2900.0,6.209324968,107221.25,6,128.3863636,625939.3875,320,324
400.4761905,8794.132627,84503,56,1.158790748,0.769094843,3475.486123,63.99821605,-0.212814079,5,17333.00917,7.913314479,0.000251193,7.78535911,5828.626002,0.166666667,2030,3190.0,7.217206126,129183.25,6,162.0340909,862624.5943,322,297
1170.197802,26840.77665,252339,151,2.625470926,1.281018278,3455.017215,1036.97745,-0.081903247,12,41195.30333,14.6092984,0.000242248,15.44824201,6099.065513,0.166666667,14616,7884.0,19.73575064,417494.5,12,263.9318182,12860367.43,460,1058
1158.725275,26886.15853,252658,151,2.656029788,1.281018278,3463.00976,1113.15745,-0.080069336,12,41410.65056,14.57266836,0.000243013,15.502667,6119.879193,0.166666667,14616,7968.0,19.74168273,418117.5,12,268.3863636,12921232.85,460,1058
1158.725275,26832.57761,252439,151,2.649848705,1.281018278,3460.906459,1113.15745,-0.080069336,12,41304.77556,14.57266836,0.000242718,15.48021789,6109.008891,0.166666667,14616,7965.0,19.73276443,417550.0,12,268.3863636,12891616.71,460,1058
1159.835165,26864.25365,252546,151,2.653683796,1.281305965,3461.831911,1123.619354,-0.080069336,12,41314.20611,14.57266836,0.000242895,15.48846206,6108.587561,0.166666667,14630,7977.0,19.76594067,417652.5,12,269.5,12901170.31,460,1059
1159.835165,26852.75833,252466,152,2.65357982,1.281305965,3461.663647,1123.619354,-0.080069336,12,41292.13667,14.57266836,0.00024266,15.47834532,6106.14385,0.166666667,14630,7989.0,19.78177506,417781.75,12,269.5,12894482.79,460,1059
1159.835165,26873.29305,252509,152,2.63785552,1.281305965,3460.485799,1123.619354,-0.080069336,12,41229.23389,14.57266836,0.000242601,15.46831418,6100.666565,0.166666667,14630,7968.0,19.80289715,417949.0,12,268.3863636,12901170.31,460,1059
1159.835165,27203.13735,253223,152,2.656426041,1.281305965,3461.831911,1123.619354,-0.080069336,12,41294.66444,14.62028741,0.000242542,15.47438747,6106.312381,0.166666667,14630,7995.0,20.37848126,419968.75,12,268.3863636,13081733.19,460,1059
1159.835165,26889.97444,252633,152,2.655826977,1.281305965,3461.916044,1123.619354,-0.080069336,12,41300.40056,14.57266836,0.000242483,15.47354068,6106.733711,0.166666667,14630,8001.0,19.82401924,418088.25,12,268.3863636,12907857.82,460,1059
1159.835165,26857.75435,252521,152,2.649100634,1.281305965,3470.598471,1123.619354,-0.080069336,12,41403.11,14.47743027,0.000243309,15.50592553,6121.109475,0.166666667,14630,7995.0,19.75651602,417460.75,12,269.5,12878241.68,460,1059
1159.835165,26801.79379,252372,152,2.644149707,1.281305965,3474.619983,1123.619354,-0.080069336,12,41445.06333,14.47743027,0.000243546,15.51697934,6126.90697,0.166666667,14630,7989.0,19.7329831,417024.5,12,269.5,12870598.81,460,1059
491.0,24424.18917,138899,170,5.072426928,1.015770256,3731.771841,1532.634659,-0.071428571,11,38279.25889,14.28587417,0.00025208,15.79357652,6111.368336,0.2,6874,10334.5,17.89006631,537534.25,11,281.75,6815804.112,410,505
496.0,24392.13768,141484,176,5.098118001,1.015085549,3728.426046,1545.35569,-0.071428571,11,38347.85889,14.17122143,0.000248139,15.71884327,6110.020082,0.166666667,6944,10444.5,18.20692086,536967.5,12,282.8636364,7010095.5,409,510
494.0,24168.05051,140429,175,5.060030618,1.012387032,3739.421774,1534.243413,-0.071428571,11,38552.605,14.18290974,0.000250188,15.80647707,6134.912232,0.166666667,6916,10414.25,18.09673063,532816.5,12,282.8636364,6919427.675,408,508
528.0,26474.70278,150947,193,5.803158469,1.029113191,3779.497703,2151.565808,-0.0625,12,45090.20889,16.19757533,0.000252717,18.28792556,6213.037415,0.166666667,8448,11889.0,19.74742242,575504.5,13,348.7272727,7499331.662,411,544
2721.285714,188034.4613,797317,2262,129.2167466,1.776714578,5311.359275,55514.47417,-0.016732163,40,299797.3511,68.21149437,0.000274048,86.01845555,7911.825468,0.2,170112,123070.0,109.9078498,8637262.5,43,2774.545455,353872587.6,468,2722
550.0,28813.3629,156646,205,6.286347359,1.038140821,3798.158192,2876.11689,-0.055555556,12,51463.445,18.31034136,0.000254582,20.75926856,6265.122423,0.166666667,9900,12147.0,22.00986687,604732.75,14,419.5227273,8346317.693,412,568
2776.292362,193330.4693,817914,2301,134.2830208,1.795414233,5356.694775,63605.99553,-0.015686622,40,324417.63,72.31343818,0.000276625,92.50893195,8022.16937,0.2,184892,125460.0,114.4079444,8730190.0,43,3115.636364,362115342.7,468,2787
2861.324201,199830.0028,850034,2357,141.4777471,1.823032184,5464.828977,75261.6141,-0.014549623,40,361073.2286,77.61213192,0.000284091,102.1256605,8245.22484,0.2,205130,130900.0,120.0183203,8854403.0,43,3722.170455,371888779.0,468,2883
2828.778158,197436.8644,835639,2331,139.5921099,1.813538513,5430.676807,72934.75496,-0.014627468,40,358429.5133,77.69072539,0.000282646,101.592397,8212.284423,0.2,202721,129080.0,118.1005225,8784596.75,43,3658.295455,367000816.0,468,2850
2985.588608,209497.5011,893023,2426,150.5744517,1.862445303,5553.951517,92611.26591,-0.013307461,40,409054.4667,85.00669728,0.000290276,114.5663082,8451.258751,0.2,235200,135580.0,128.3282594,9019381.0,43,4473.636364,386291815.6,468,3020
3157.759233,225999.3187,955903,2538,167.0763635,1.918544267,5711.722499,126332.9143,-0.011325984,40,498051.8383,98.50875421,0.000303122,138.5514253,8776.553976,0.2,290346,143870.0,143.0718069,9273523.5,43,6088.329545,418370702.8,468,3215
2877.673135,199951.22,853778,2357,141.6769985,1.827347489,5467.409745,75498.08335,-0.014629092,40,363315.4439,77.60624564,0.000284333,102.3269516,8278.695129,0.2,206225,130950.0,119.964419,8858825.75,43,3716.363636,371631028.4,468,2898
3097.276558,220017.301,934690,2501,160.9077678,1.899269238,5667.247255,114994.4502,-0.011861963,40,469784.6706,94.37837805,0.000298954,131.0550804,8675.706851,0.2,272251,141590.0,138.2025915,9178440.5,43,5585.761364,401169842.7,468,3148
1331.240093,99964.88773,420333,816,31.91958788,1.35702506,4448.684023,57394.06008,-0.015253215,12,246752.715,69.13403805,0.000298775,89.51106679,7312.188662,0.2,87780,22494.0,79.97826894,2381894.5,21,3570.0,49237798.22,450,1396
3389.572377,248873.5646,1030403,2697,187.882546,1.993630573,5849.793616,183800.5003,-0.009265903,40,629448.4828,120.1643109,0.000318269,174.9690073,9097.525749,0.2,380019,150870.0,165.0063224,9599557.0,43,8629.090909,443198673.4,468,3476
981.0,73910.25811,316988,529,18.63200318,1.212542664,4170.711732,34011.71777,-0.018867925,12,175759.8367,55.25350216,0.000284333,68.24811999,6846.138933,0.2,51993,17967.0,62.60349097,1338837.0,17,2449.443182,24602514.71,431,1034
473.9393939,21663.57818,130629,134,2.61248084,0.995660874,3445.68158,931.8155819,-0.08532521,10,30400.79,12.17785762,0.000240906,13.03103202,5825.824712,0.166666667,5520,6605.0,16.16108395,388329.0,11,218.5909091,5584561.483,405,472
473.9393939,21596.52934,130688,133,2.600999306,0.995660874,3426.966736,931.8155819,-0.08532521,10,30207.33667,12.17785762,0.000240442,12.99915394,5798.767845,0.166666667,5520,6575.0,16.13823574,386704.5,11,218.5909091,5576623.526,405,472
517.3714286,24260.8927,142844,157,3.576850893,1.011017618,3614.531581,1615.345439,-0.071014939,12,41082.3625,15.44468771,0.000250313,16.96394864,6120.225651,0.166666667,7545,9024.0,18.20300929,433143.0,12,315.0,6093301.669,406,518
467.0,26976.44416,144440,189,4.107862122,0.907818001,3587.340103,2544.323825,-0.058823529,12,43780.11417,17.51230125,0.000249128,19.03271378,5914.53858,0.166666667,7939,9744.0,21.42871593,508036.25,14,382.6931818,6688672.31,362,484
506.0,29632.5872,155381,206,5.019876986,1.004538858,3678.152237,3412.159461,-0.052631579,12,51808.21833,19.67791184,0.000254972,21.80960411,6105.554715,0.166666667,9614,10815.0,23.61709716,551482.0,15,473.0568182,8066727.995,402,525
544.0,33490.26044,168529,236,5.517696947,1.020580309,3675.207615,4816.305158,-0.045454545,12,59521.29333,22.794217,0.000254842,25.3029756,6071.997775,0.166666667,11968,11019.0,27.39872013,614738.75,16,582.75,9224317.547,404,566
541.5666667,30928.25582,163429,218,5.299388544,1.012484761,3696.560329,4122.343051,-0.048005548,12,57490.7725,21.64729636,0.000257069,24.30999399,6113.421952,0.166666667,11319,11196.0,25.02174755,564332.5,16,557.9318182,8444341.059,401,560
2483.868719,205266.7545,744526,1497,61.35953885,1.700759103,4776.159612,256388.5402,-0.007047927,12,976023.4794,251.4140907,0.000325945,323.4280257,8997.617156,0.166666667,507996,29016.0,193.9781303,2948119.0,22,20892.61364,93766694.88,439,2672
163.8571429,7722.276106,34930,51,0.768866715,0.463138195,3257.103202,160.9139881,-0.148516017,5,17188.28,8.93258993,0.000237982,8.304416015,5478.696799,0.166666667,1184,1868.75,6.35889472,109424.0,6,96.72727273,533795.2985,197,156
108.0,6097.230725,26235,41,0.525428409,0.382182708,3146.539004,55.27290765,-0.208472919,4,11968.205,6.925531107,0.000227998,5.954714728,5280.944029,0.166666667,540,1193.0,5.243625076,91622.5,4,45.34090909,256381.8277,167,96
270.0,31393.18107,80318,250,2.65109108,0.740481286,3164.335222,10500.03314,-0.018867925,5,100757.2842,77.13333333,0.000235571,55.41722385,5235.369633,0.166666667,14310,2556.25,39.1224722,268223.75,6,1597.829545,788448.3853,305,323
166.0,6278.423787,35118,77,0.54251951,0.467344166,3123.713,702.3779451,-0.083333333,6,22371.00333,12.51256171,0.000231,11.99692568,5116.288661,0.166666667,1992,1677.0,7.209489884,78129.0,8,166.0909091,324209.851,196,178
17.0,1503.982345,5600,14,0.040269939,0.045805756,2499.926049,3.595238095,-0.5,2,2525.096122,2.120879121,0.000186846,1.598135759,4191.329616,0.142857143,34,106.0,1.367520443,23600.0,2,3.659090909,10805.95023,19,19
1166.494505,26833.46898,252911,151,2.714176638,1.283032087,3551.651287,1153.74493,-0.080069336,12,42452.42167,14.23740192,0.000247036,15.7221333,6244.120852,0.166666667,14714,8109.0,19.48843633,416727.5,12,273.9545455,12799837.62,460,1065
1656.971491,141128.429,585034,1097,14.26827729,1.480028659,4094.303005,74807.31619,-0.011670096,12,345194.1867,103.4150934,0.000285225,127.1980365,7108.19019,0.2,157344,18933.0,124.1405049,2318864.25,14,5368.363636,162564108.2,462,1735
1667.719072,141890.7993,589266,1106,14.54175081,1.483480903,4104.146455,76376.50706,-0.011508191,12,350086.4992,104.3969116,0.000285551,128.781289,7126.93073,0.2,160050,19065.0,125.1658494,2332821.0,14,5478.295455,163352149.6,462,1747
1667.719072,141828.0242,588666,1105,14.55019407,1.483480903,4105.99736,76435.11814,-0.011509385,12,350607.2006,104.3111973,0.000286123,128.9718907,7134.401817,0.2,160050,19080.0,125.0846466,2331019.0,14,5501.443182,163077030.0,462,1747
