Starting Node,Average Spreading Ability,Rank
151,22.38,1.0
148,21.98,2.0
62,20.91,3.0
150,19.53,4.0
153,19.24,5.0
155,18.32,6.0
193,17.9,7.0
154,17.87,8.0
157,17.75,9.0
227,17.24,10.0
156,16.93,11.0
210,16.84,12.0
225,16.18,13.0
231,15.95,14.0
149,15.74,15.0
219,14.69,16.0
192,14.65,17.0
88,14.52,18.0
214,14.44,19.0
288,13.63,20.0
232,13.36,21.0
245,13.25,22.0
216,13.25,22.0
197,13.08,23.0
152,12.99,24.0
224,12.88,25.0
247,12.85,26.0
198,12.73,27.0
190,12.68,28.0
10,12.6,29.0
246,12.57,30.0
291,12.56,31.0
191,12.51,32.0
312,12.33,33.0
209,12.19,34.0
223,12.02,35.0
289,11.9,36.0
220,11.76,37.0
290,11.47,38.0
123,11.43,39.0
358,11.39,40.0
357,11.33,41.0
363,11.27,42.0
221,10.88,43.0
89,10.82,44.0
360,10.72,45.0
311,10.58,46.0
218,10.22,47.0
217,10.05,48.0
281,9.97,49.0
226,9.77,50.0
207,9.71,51.0
308,9.71,51.0
166,9.69,52.0
285,9.6,53.0
383,9.54,54.0
201,9.27,55.0
315,9.24,56.0
163,9.11,57.0
208,9.08,58.0
167,9.07,59.0
200,9.07,59.0
203,8.95,60.0
261,8.85,61.0
228,8.83,62.0
162,8.79,63.0
205,8.77,64.0
282,8.73,65.0
294,8.69,66.0
169,8.53,67.0
165,8.52,68.0
229,8.46,69.0
309,8.34,70.0
1,8.3,71.0
164,8.29,72.0
313,8.23,73.0
202,8.1,74.0
199,8.09,75.0
382,8.05,76.0
9,8.0,77.0
233,7.99,78.0
194,7.86,79.0
260,7.8,80.0
82,7.78,81.0
176,7.77,82.0
170,7.74,83.0
168,7.74,83.0
97,7.72,84.0
211,7.71,85.0
175,7.71,85.0
230,7.68,86.0
265,7.54,87.0
234,7.46,88.0
293,7.35,89.0
286,7.21,90.0
87,7.18,91.0
421,7.13,92.0
68,7.12,93.0
320,7.11,94.0
130,7.05,95.0
215,7.04,96.0
195,7.02,97.0
4,6.95,98.0
318,6.93,99.0
384,6.87,100.0
204,6.82,101.0
21,6.79,102.0
262,6.62,103.0
259,6.5,104.0
370,6.48,105.0
354,6.48,105.0
50,6.44,106.0
420,6.44,106.0
389,6.38,107.0
81,6.37,108.0
342,6.36,109.0
134,6.31,110.0
131,6.27,111.0
133,6.21,112.0
96,6.17,113.0
83,6.07,114.0
132,5.9,115.0
7,5.88,116.0
387,5.84,117.0
128,5.82,118.0
129,5.81,119.0
174,5.76,120.0
84,5.73,121.0
372,5.68,122.0
206,5.66,123.0
317,5.61,124.0
263,5.58,125.0
367,5.55,126.0
267,5.53,127.0
135,5.51,128.0
268,5.44,129.0
314,5.36,130.0
257,5.25,131.0
264,5.22,132.0
173,5.22,132.0
280,5.16,133.0
321,5.15,134.0
316,5.13,135.0
323,5.05,136.0
279,4.84,137.0
324,4.83,138.0
278,4.76,139.0
274,4.75,140.0
453,4.62,141.0
307,4.62,141.0
418,4.59,142.0
368,4.58,143.0
213,4.57,144.0
457,4.5,145.0
276,4.5,145.0
258,4.48,146.0
110,4.46,147.0
386,4.38,148.0
273,4.34,149.0
3,4.31,150.0
310,4.31,150.0
104,4.3,151.0
344,4.18,152.0
456,4.1,153.0
51,4.1,153.0
222,4.08,154.0
454,4.06,155.0
446,4.02,156.0
283,4.01,157.0
120,3.97,158.0
296,3.95,159.0
14,3.91,160.0
5,3.9,161.0
277,3.9,161.0
284,3.9,161.0
345,3.84,162.0
271,3.83,163.0
341,3.83,163.0
235,3.8,164.0
22,3.78,165.0
275,3.77,166.0
61,3.7,167.0
385,3.69,168.0
366,3.69,168.0
71,3.69,168.0
319,3.62,169.0
364,3.59,170.0
365,3.55,171.0
241,3.49,172.0
333,3.46,173.0
111,3.44,174.0
425,3.42,175.0
107,3.42,175.0
66,3.37,176.0
266,3.37,176.0
330,3.34,177.0
489,3.31,178.0
302,3.28,179.0
248,3.26,180.0
433,3.26,180.0
109,3.26,180.0
326,3.26,180.0
388,3.24,181.0
403,3.23,182.0
95,3.23,182.0
58,3.22,183.0
348,3.19,184.0
413,3.17,185.0
85,3.16,186.0
59,3.14,187.0
369,3.13,188.0
371,3.11,189.0
6,3.1,190.0
39,3.08,191.0
409,3.07,192.0
25,3.07,192.0
292,3.07,192.0
340,3.05,193.0
28,3.03,194.0
240,3.03,194.0
459,3.01,195.0
410,3.01,195.0
108,2.98,196.0
118,2.98,196.0
2,2.96,197.0
238,2.96,197.0
419,2.94,198.0
67,2.9,199.0
355,2.9,199.0
343,2.88,200.0
80,2.88,200.0
100,2.85,201.0
337,2.83,202.0
424,2.81,203.0
86,2.81,203.0
467,2.81,203.0
