Node,Relative Closeness
2,0.3156553974223635
27,0.3156553974223635
24,0.8200796031363172
25,0.22452881194112773
29,0.25593062006085676
3,0.5321812621833385
4,0.22452881194112773
18,0.5014648147044828
20,0.2560224083022609
16,0.30774715358382854
17,0.5014648147044828
12,0.6407254089524872
13,0.5827599292948661
31,0.26608846992320384
32,0.24426900660512474
7,0.24426900660512474
8,0.6194792365442312
9,0.655146884947875
5,0.19441894638474916
28,0.19441894638474916
30,0.2555937189541124
10,0.28082231487047665
21,0.6458006507048503
14,0.2757353283998515
1,0.2616295370718843
26,0.2616295370718843
19,0.2560224083022609
6,0.2596945171726232
23,0.2616295370718843
15,0.3004470089684733
22,0.27695223223571447
11,0.3344365174887946
