Lambda,Kendall_Tau,P_Value
0.0927,0.6538340560068467,3.8262193385335985e-104
0.1132,0.6456979258816559,7.74465774421009e-102
0.1338,0.6357034459441269,6.481649363605148e-99
0.1544,0.6214121285737427,1.0264536235885337e-94
0.175,0.618531041952532,5.980307320648284e-94
0.1956,0.6051838927867834,4.702909810433236e-90
0.2162,0.5979192853568975,5.371657465362407e-88
0.2368,0.5800109323195409,5.9019784859944646e-83
0.2574,0.5733335539090325,4.1234896883912063e-81
0.278,0.5651199392798528,7.331228698607455e-79
