Eigenvector Centrality,Volume Centrality,H Values,Global Relative Change in Avg Clustering,Clustering Coefficient,MCGM Values,Constraint Coefficients,DIL Centrality,Clustered Local Degree,P Value,Improved Gravity Index Values,Closeness Centrality,Leverage Centrality,Eccentricity Centrality,HCC Value,Betweenness Centrality,Second order centrality,EHCC Value,Semi local centrality,GIN Values,MDD Value,GGC Values,GSM,DNC Scores,Isolating Centrality,Average Spreading Ability
0.002758865955041309,0.9285714285714284,0.0020607375274616802,0.3690637685746453,0.5000000007499998,0.07616965338290138,0.48948217641118763,0.22784810125140198,0.7999999999999998,0.25,0.75,0.24973015202845583,0.030303030534435227,0.1307189445896877,0.2877906978655693,0.21848739497440156,0.23561592454837488,0.37470449169470854,0.625,0.462393903813505,0.28571428571428603,0.3168710731477165,0.47726661215515565,0.013333333400000202,0.12,0.5052631578947369
0.002758865955041309,0.9285714285714284,0.0020607375274616802,0.3690637685746453,0.5000000007499998,0.07616965338290138,0.48948217641118763,0.22784810125140198,0.7999999999999998,0.25,0.75,0.24973015202845583,0.030303030534435227,0.1307189445896877,0.2877906978655693,0.21848739497440156,0.23561592454837488,0.37470449169470854,0.625,0.462393903813505,0.28571428571428603,0.3168710731477165,0.47726661215515565,0.013333333400000202,0.12,0.3842105263157898
0.010402021906200033,0.357142857142857,0.02108001591979137,0.522388062056046,0.10000000044999996,0.2518520812978979,0.8597095106413339,0.8860759493742988,0.8999999999999999,0.9999999999999999,0.7857142857142856,0.12774984576087722,1.0,0.06172840340192054,1.0,0.35294117589594665,0.14676334603233165,1.0,0.8125,0.47057835391010094,0.9999999999999996,0.5835935811852907,0.5717635182410379,1.0,1.0,0.7578947368421052
0.0,0.357142857142857,0.0,0.651289004080845,0.5000000007499998,0.012319313420334543,0.3808244478869416,0.1645569620781926,0.46666666700000015,0.08333333333333333,0.25,0.5079142246255495,0.24242424173002755,0.29629630255144046,0.0959302326218564,0.33823529495087745,0.46507791062956616,0.09338061456076163,0.3125,0.4159595879519169,0.28571428571428603,0.2707760066920776,0.5481464275421488,0.0,0.24,0.557894736842105
0.003603134200051164,0.357142857142857,0.0026913636563448366,1.0,0.0,0.005395726334429474,0.7856789692121424,0.5063291139552956,0.0,0.0,0.1428571428571428,0.6365690150990797,0.3636363638677686,0.39682538710758375,0.0,0.8319327738480687,0.6132880112229282,0.03900709222637194,0.0625,0.39866356079450016,0.28571428571428603,0.4685699783361337,0.5879239584262574,0.06666666680000022,0.36,0.368421052631579
0.0040826272943488735,0.4285714285714284,0.008131201766937905,1.0,0.0,0.12087698928763552,0.9349340950892628,0.7974683543799069,0.3999999999999999,0.16666666666666669,0.5,0.3820449494723537,0.7272727277355372,0.20833333245370378,0.2674418605969444,0.6302521005119696,0.4018070579077113,0.3144208037923143,0.5625,0.5159599973260738,0.0,0.6764699092722208,0.6473589917100537,0.4666666668,0.64,0.9999999999999998
0.0,0.357142857142857,0.0,0.651289004080845,0.5000000007499998,0.012319313420334543,0.3808244478869416,0.1645569620781926,0.46666666700000015,0.08333333333333333,0.25,0.5079142246255495,0.24242424173002755,0.29629630255144046,0.0959302326218564,0.33823529495087745,0.46507791062956616,0.09338061456076163,0.3125,0.4159595879519169,0.28571428571428603,0.2707760066920776,0.5481464275421488,0.0,0.24,0.7894736842105263
0.6627511323082347,0.1428571428571428,0.6641221082007801,0.43419267747723445,0.5000000007499998,0.5390671184776878,0.4112584990919297,0.34177215187710286,0.9666666670000001,0.9999999999999999,0.4642857142857142,0.12290254531208933,0.6363636361322313,0.06172840340192054,0.8866279069701529,0.11764705928324272,0.09296568843335251,0.9243498818359239,0.33333333333333326,0.3143359632031535,0.4285714285714284,0.26270720438430234,0.35746665111057796,0.5333333334,0.48,0.3894736842105264
0.5330759409409782,0.0,0.39818167169884494,0.21709633873861722,1.0,0.27828013269435964,0.05806024385981079,0.0,1.0,0.9999999999999999,0.17857142857142838,0.0,0.12121212213774105,0.0,0.7732558139403055,0.0,0.012003714598040283,0.6749408983696745,0.10416666666666674,0.0,0.28571428571428603,0.0,0.0,0.20000000000000007,0.12,0.5947368421052628
0.563587954064244,0.7142857142857142,0.42097265264591005,1.0,0.0,0.4329601977227789,0.9013516920087041,0.5822784810390961,0.26666666699999997,0.9166666666666666,0.5357142857142856,0.25553465614920623,0.12121212213774105,0.1307189445896877,0.715116278995065,0.453781513540887,0.26056513597548814,0.6317966902917989,0.20833333333333326,0.44261705215910263,0.28571428571428603,0.5240826581370471,0.4484391629711446,0.06666666680000022,0.12,0.5473684210526313
