Lambda,Kendall_Tau,P_Value
0.0674,0.7047952047952047,2.8621341108142343e-16
0.0824,0.6716539772130612,5.85168487578014e-15
0.0974,0.6869548869831745,1.4486091017289664e-15
0.1123,0.6575367143477133,2.0095053462797716e-14
0.1273,0.6341244222459388,1.6113032428973198e-13
0.1423,0.6128569093184449,1.0143533856130354e-12
0.1573,0.6228220623154929,4.3417693059121337e-13
0.1723,0.6098673634193307,1.305053169838014e-12
0.1872,0.6278350029673277,2.714666613803228e-13
0.2022,0.5989575801504324,3.1309797751824716e-12
