Lambda,Kendall_Tau,P_Value
0.0861,0.6689685030193868,1.924827633770316e-14
0.1053,0.6611839195640737,3.723484720358641e-14
0.1244,0.6781457191577819,7.489890838245446e-15
0.1436,0.6594222336037615,4.10583694743478e-14
0.1627,0.6724916074189207,1.2108654671793793e-14
0.1818,0.6400000224551566,2.1595591583741705e-13
0.201,0.620927174103844,1.0806023357215177e-12
0.2201,0.6414195814976091,1.8862920146502256e-13
0.2393,0.6209638207795738,1.0369496811423063e-12
0.2584,0.6004767581205166,5.6293209681107025e-12
