Node,Relative Closeness
1,0.7679845106413308
2,0.6653898676391489
3,0.6878000600542
4,0.7679845106413308
5,0.7679845106413308
6,0.7679845106413308
7,0.7679845106413308
8,0.7679845106413308
9,0.7679845106413308
10,0.6758526323660476
11,0.7679845106413308
12,0.7679845106413308
13,0.6544607125953055
14,0.6962175609361904
15,0.7146631593963452
16,0.7679845106413308
17,0.7679845106413308
18,0.6756105889400273
19,0.7679845106413308
20,0.7679845106413308
21,0.6878000600542
22,0.7679845106413308
23,0.7679845106413308
24,0.6667937306830028
25,0.7111422268813609
26,0.7679845106413308
27,0.6878000600542
28,0.6768121926745667
29,0.7679845106413308
30,0.7679845106413308
31,0.7679845106413308
32,0.7679845106413308
33,0.7679845106413308
34,0.7679845106413308
35,0.7679845106413308
36,0.7679845106413308
37,0.7679845106413308
38,0.7679845106413308
39,0.7679845106413308
40,0.7679845106413308
41,0.7679845106413308
42,0.7114489206605494
43,0.7679845106413308
44,0.7021231865794932
45,0.6428225112276175
46,0.7015880617605312
47,0.7679845106413308
48,0.7091831513775264
49,0.658144704595908
50,0.7679845106413308
51,0.6566578510199876
52,0.7679845106413308
53,0.6954281763948444
54,0.7679845106413308
55,0.6743031377515752
56,0.7679845106413308
57,0.7679845106413308
58,0.7679845106413308
59,0.28795404903447785
60,0.7679845106413308
61,0.7679845106413308
62,0.7679845106413308
63,0.6969137336228175
64,0.7679845106413308
65,0.7679845106413308
66,0.7146631593963452
67,0.7679845106413308
68,0.7679845106413308
69,0.7679845106413308
70,0.6667937306830028
71,0.7679845106413308
72,0.6937005485311843
73,0.7679845106413308
74,0.6755639539647508
75,0.7679845106413308
76,0.7181735625769328
77,0.7215607844410105
78,0.7679845106413308
79,0.7679845106413308
80,0.7102410746370021
81,0.7679845106413308
82,0.6571445371943017
83,0.7215607844410105
84,0.6878000600542
85,0.6878000600542
86,0.6649660092861603
87,0.7679845106413308
88,0.6755639539647508
89,0.7679845106413308
90,0.7101715105288763
91,0.7679845106413308
92,0.5228305234019546
93,0.7679845106413308
94,0.7679845106413308
95,0.7679845106413308
96,0.7103877246623139
97,0.7679845106413308
98,0.7101715105288763
99,0.6755639539647508
100,0.7679845106413308
101,0.6449430641644445
102,0.7111422268813609
103,0.7085480879031033
104,0.7679845106413308
105,0.7146631593963452
106,0.7114489206605494
107,0.7679845106413308
108,0.6878000600542
109,0.6656625650187585
110,0.7679845106413308
111,0.7679845106413308
112,0.7114489206605494
113,0.7679845106413308
114,0.7111422268813609
115,0.7679845106413308
116,0.7679845106413308
117,0.7679845106413308
118,0.7679845106413308
119,0.7679845106413308
120,0.6758526323660476
121,0.7679845106413308
122,0.7679845106413308
123,0.7679845106413308
124,0.7679845106413308
125,0.7679845106413308
126,0.7679845106413308
127,0.6652494926484179
128,0.6751792551998363
129,0.6662912562335245
130,0.520797889304878
131,0.6543697254872661
132,0.7679845106413308
133,0.7679845106413308
134,0.5828449429519501
135,0.7679845106413308
136,0.13916728127017058
137,0.7679845106413308
138,0.7679845106413308
139,0.7679845106413308
140,0.6379396467134982
141,0.7163038399331789
142,0.6649660092861603
143,0.6492084369370356
144,0.6878000600542
145,0.46315381611666356
146,0.7215607844410105
147,0.7114489206605494
148,0.7679845106413308
149,0.6552240712556632
150,0.6102182297538702
151,0.6552158197074254
152,0.6507612914435721
153,0.6758526323660476
154,0.6878000600542
155,0.6653898676391489
156,0.7017856494410084
157,0.6658870619653137
158,0.6438281943687995
159,0.7095321979672456
160,0.6972647138893294
161,0.6666177305626478
162,0.6756105889400273
163,0.6110602085845477
164,0.6740101847416569
