Lambda,Kendall_Tau,P_Value
0.1389,0.7520451525211004,2.3598553904880687e-189
0.1697,0.7598585955802045,1.0094770042522472e-193
0.2006,0.7448487792360293,1.6356586909894166e-186
0.2314,0.7195299779575459,2.6208436502842345e-174
0.2623,0.6938101416957619,2.567208549363258e-162
0.2932,0.6743113087376179,1.6900520009273951e-153
0.324,0.6458691624275327,4.875817002101864e-141
0.3549,0.6211328211256578,1.2965250403020619e-130
0.3857,0.5877576487270936,3.493911742898426e-117
0.4166,0.5513575835951077,2.3439698133466865e-103
