feature,score,rank
Constraint Coefficients,0.00021291639135478935,1
H Values,0.0003303814216285561,2
K-Shell Value,0.00034148153337099085,3
Degree Centrality,0.0003799526318566393,4
Global Relative Change in Avg Degree,0.0004646471476513758,5
Clustering Coefficient,0.0008582618823703703,6
Subgraph centrality,0.0010469169343862994,7
DNC Scores,0.0012478240418265507,8
MCGM Values,0.0012616155563323073,9
Density Centrality,0.001519041344784311,10
Local-Global Centrality,0.0019353940640700618,11
DIL Centrality,0.0020594455560963842,12
Gravity Model Centrality,0.0024207329402696764,13
MDD Value,0.002572102080521277,14
HVGc Index,0.0026321289290293093,15
Local Gravity Model Centrality,0.002911384625750024,16
Coreness Centrality,0.003007139919170232,17
LGC Scores,0.003125175357108323,18
Eigenvector Centrality,0.0031793128073864807,19
Gravity Index Centrality,0.004376375254836251,20
PageRank Centrality,0.004638078244907584,21
Laplacian Centrality,0.005104014264179946,22
GGC Values,0.005831559320097379,23
EIGSM Values,0.005869010362194227,24
Improved Gravity Index Values,0.008102949518271174,25
Extended Improved Gravity Index Values,0.008200977120188524,26
Node H-Index,0.008266167920761402,27
Extended Degree,0.01019073179695773,28
Extended Coreness,0.010886203628108548,29
Societal Capital Scores,0.012034352762462341,30
Clustered Local Degree,0.012227495618222561,31
Semi local centrality,0.012336444997300022,32
Centrality Values,0.013224383185880928,33
PE Values,0.013479381490200448,34
Isolating Centrality,0.01417247634395602,35
I-GSM Values,0.014357886343429382,36
CLC Values,0.014883994686343716,37
EHCC Value,0.0153605295744913,38
HCC Value,0.01892325358965108,39
Leverage Centrality,0.018982431293703028,40
GIN Values,0.02210572179992909,41
H-GSM_1,0.022175195065515907,42
GSM,0.022369378142361063,43
Volume Centrality,0.024061029769070763,44
Closeness Centrality,0.029211833580769064,45
Global Relative Change in Avg Clustering,0.03193779371867267,46
P Value,0.032820325238740455,47
Second order centrality,0.03535225157353561,48
Betweenness Centrality,0.054133101677181994,49
Eccentricity Centrality,0.07764159544118288,50
