Starting Node,Average Spreading Ability,Rank
39,7.71,1.0
36,5.75,2.0
38,5.54,3.0
1,4.52,4.0
35,4.41,5.0
30,4.21,6.0
2,4.19,7.0
23,4.19,7.0
7,4.09,8.0
8,4.04,9.0
22,4.03,10.0
19,3.97,11.0
27,3.96,12.0
12,3.92,13.0
25,3.72,14.0
14,3.69,15.0
15,3.57,16.0
18,3.52,17.0
26,3.36,18.0
21,3.31,19.0
32,3.3,20.0
28,3.12,21.0
11,3.09,22.0
10,3.05,23.0
33,3.02,24.0
4,2.93,25.0
13,2.82,26.0
29,2.82,26.0
9,2.8,27.0
20,2.8,27.0
3,2.78,28.0
5,2.75,29.0
31,2.69,30.0
17,2.6,31.0
16,2.52,32.0
24,2.43,33.0
37,2.16,34.0
6,1.7,35.0
34,1.33,36.0
