Lambda,Kendall_Tau,P_Value
0.0115,0.6972046771698024,8.405143919686233e-78
0.0141,0.6835469288551013,2.1860669585136043e-75
0.0167,0.6989150475786919,3.743600958230447e-79
0.0192,0.7122453260780521,2.2002846858078644e-82
0.0218,0.7112107544390622,1.9449824453014832e-82
0.0243,0.7027270004483489,1.0750493122851828e-80
0.0269,0.7228793215162583,2.0578946700856896e-85
0.0295,0.7058748356944647,1.3314891278517584e-81
0.032,0.7055154601078196,1.2774163661814515e-81
0.0346,0.7282082574281995,7.40171523022009e-87
