feature,rank
I-GSM Values,1
Centrality Values,2
Local Gravity Model Centrality,3
P Value,4
HVGc Index,5
PE Values,6
Semi local centrality,7
GGC Values,8
Extended Coreness,9
Degree Centrality,10
Second order centrality,11
H Values,12
Eigenvector Centrality,13
Leverage Centrality,14
Extended Improved Gravity Index Values,15
Closeness Centrality,16
PageRank Centrality,17
Global Relative Change in Avg Degree,18
HCC Value,19
DNC Scores,20
LGC Scores,21
DIL Centrality,22
MDD Value,23
GSM,24
Gravity Index Centrality,25
Clustered Local Degree,26
Improved Gravity Index Values,27
Isolating Centrality,28
Volume Centrality,29
Constraint Coefficients,30
Coreness Centrality,31
Clustering Coefficient,32
Node H-Index,33
Eccentricity Centrality,34
K-Shell Value,35
Subgraph centrality,36
Global Relative Change in Avg Clustering,37
Betweenness Centrality,38
Local-Global Centrality,39
MCGM Values,40
H-GSM_1,41
Extended Degree,42
EHCC Value,43
EIGSM Values,44
Gravity Model Centrality,45
GIN Values,46
Laplacian Centrality,47
Density Centrality,48
CLC Values,49
Societal Capital Scores,50
