feature,score,rank
HVGc Index,0.0002983034277975749,1
LGC Scores,0.00033492464134798894,2
H Values,0.00042655901139621033,3
Local Gravity Model Centrality,0.0007018719062388268,4
MCGM Values,0.0007569751363785127,5
Subgraph centrality,0.0008117797129221227,6
DIL Centrality,0.0009065136943317009,7
Density Centrality,0.0009550165459691895,8
Gravity Model Centrality,0.0012544611275927542,9
GGC Values,0.0014097811295924467,10
Local-Global Centrality,0.002550192261445927,11
K-Shell Value,0.0025596457319940757,12
Laplacian Centrality,0.0026136085533230435,13
Improved Gravity Index Values,0.002727276986337679,14
EIGSM Values,0.0033753735660155826,15
Gravity Index Centrality,0.003455207766234536,16
Node H-Index,0.0036136395075888617,17
Isolating Centrality,0.003824019066803186,18
MDD Value,0.003963802410201334,19
EHCC Value,0.004168859758703736,20
Clustering Coefficient,0.004456722677222524,21
Semi local centrality,0.005366848390818801,22
Global Relative Change in Avg Degree,0.005424912026258166,23
DNC Scores,0.005472674580618508,24
PE Values,0.005568040700210775,25
Degree Centrality,0.005683942499491668,26
Centrality Values,0.00589375190009267,27
Extended Degree,0.006082367357671092,28
CLC Values,0.006367178589408162,29
Societal Capital Scores,0.00663247058152916,30
Clustered Local Degree,0.0067273242839147596,31
Betweenness Centrality,0.007143647862286495,32
Eigenvector Centrality,0.00764391539617737,33
Extended Coreness,0.008358457914682704,34
Extended Improved Gravity Index Values,0.008880960590369247,35
PageRank Centrality,0.009647865428251023,36
I-GSM Values,0.009828914417183365,37
H-GSM_1,0.012029430321003565,38
Volume Centrality,0.012466330449598217,39
Coreness Centrality,0.012884761125899868,40
HCC Value,0.013211908770773606,41
P Value,0.01587344856914452,42
Constraint Coefficients,0.016553367674521757,43
GSM,0.018981383174418887,44
GIN Values,0.01903231906869507,45
Closeness Centrality,0.025638471678083752,46
Second order centrality,0.03753337173136673,47
Leverage Centrality,0.04056767230211766,48
Global Relative Change in Avg Clustering,0.059253673665704,49
Eccentricity Centrality,0.07423660392698261,50
