Lambda,Kendall_Tau,P_Value
0.0927,0.7835130441340786,1.079546960357706e-148
0.1132,0.7882068153916395,8.727494134294585e-151
0.1338,0.7802587763135609,5.082455757104508e-148
0.1544,0.7589659166464082,2.5067325844359714e-140
0.175,0.7550271054739045,4.925951287947691e-139
0.1956,0.7388811707078679,2.7591436073898985e-133
0.2162,0.7227262137331945,1.128283680929704e-127
0.2368,0.6975656218564242,3.9358664357883606e-119
0.2574,0.6825660161164593,3.65794058245845e-114
0.278,0.6671937373399304,3.589140082670688e-109
