Density Centrality,GIN Values,Betweenness Centrality,Global Relative Change in Avg Clustering,DNC Scores,I-GSM Values,Improved Gravity Index Values,K-Shell Value,HVGc Index,Gravity Model Centrality,Eccentricity Centrality,HCC Value,MDD Value,H Values,EHCC Value,Leverage Centrality,PE Values,Gravity Index Centrality,Eigenvector Centrality,H-GSM_1,Constraint Coefficients,Coreness Centrality,Extended Degree,GGC Values,CLC Values
38.65909091,462.6799013,0.115922139,0.000333256,12.22380952,152.5563944,204.75,3,7781.139463,1348.318774,0.083333333,0.751222842,6.3,0.450369765,6.732946574,0.347042663,0.158928107,118.5,0.017321914,112.1221955,-0.187516429,26,22.2,242.7919462,760.9870707
9.227272727,382.313809,0.013180001,0.005294021,4.8,101.7962271,105.0,3,1142.372502,403.9143643,0.076923077,0.505782429,3.4,0.024849623,2.473059568,-0.004884005,0.06309178,59.25,0.002484962,91.73811726,-0.292160494,10,10.0,59.04513412,281.8784144
16.30681818,400.1590101,0.071800682,0.001341127,6.560606061,121.041009,183.75,3,3848.974496,599.1348347,0.076923077,0.671065104,4.1,0.040039905,4.285974292,-0.087698413,0.079948161,124.5,0.002224439,94.83239029,-0.303540567,18,16.2,75.56791703,390.4112023
28.95454545,470.3298816,0.114947531,0.000533402,8.530952381,151.9580089,194.25,3,5607.333555,1048.799516,0.083333333,0.746634816,5.8,0.055319803,4.985629242,0.138369963,0.129107406,97.5,0.003073322,113.4317689,-0.187539127,18,21.0,207.8291715,724.7099242
7.954545455,368.62249,0.000740433,0.008558952,6.380952381,94.38783792,90.75,3,1126.215868,374.5188271,0.076923077,0.589845676,3.4,0.027223439,2.95059341,-0.06043956,0.05678746,48.75,0.002474858,88.65292773,-0.543824749,11,11.2,18.5857863,204.3400134
5.25,367.8800482,0.0,0.004270106,4.047619048,93.6946982,89.25,3,982.0558903,279.3891203,0.076923077,0.57854624,3.0,0.021777233,2.58961817,-0.365800866,0.052564113,44.25,0.002419693,87.61135167,-0.585691015,9,10.2,7.337522437,137.586911
27.36363636,411.2626195,0.018774311,0.010088641,11.30952381,116.9052686,126.75,3,3322.898167,920.2785961,0.076923077,0.670003413,5.9,0.052079578,4.547378,0.403505645,0.11128243,74.25,0.00289331,101.9516138,-0.243254116,18,17.2,130.1874281,467.3211755
0.954545455,359.803028,0.0,0.002306125,1.166666667,83.54102213,19.25,1,125.8147689,83.37276232,0.076923077,0.271262276,1.0,0.005541678,1.022485117,-0.8,0.024674065,9.25,0.001847226,84.33838103,-1.0,3,4.2,12.02180019,184.0
10.81818182,433.4797986,0.016664239,0.000441993,4.93030303,135.1136556,195.75,3,3783.706152,536.113645,0.083333333,0.650589618,3.7,0.532564103,4.583323854,-0.179487179,0.09044411,90.75,0.038040293,100.662008,-0.322942174,14,13.6,76.77905588,616.2169271
24.81818182,470.7628232,0.033159939,0.001578874,7.842661913,175.513411,445.0,4,20241.23961,1040.418329,0.083333333,1.297994161,5.7,2.781322877,9.448337315,-0.211082694,0.169274439,210.0,0.106973957,107.911216,-0.252257292,26,28.0,161.6366028,1419.067537
1.75,310.1243851,0.004040404,0.003020933,2.166666667,60.65169538,9.25,1,57.62041267,120.815249,0.071428571,0.079816479,1.7,0.001072188,0.60925947,0.0,0.019971735,6.25,0.000268047,74.71165634,-0.5,4,3.2,13.09879615,73.0
4.534090909,342.7156411,0.003149849,0.003421225,4.166666667,80.81375564,66.75,3,534.1293208,240.979314,0.076923077,0.465172715,3.0,0.031389594,2.052439995,-0.206349206,0.037488717,39.75,0.003487733,82.33141761,-0.43595679,9,7.4,18.57233792,158.3534196
7.954545455,335.4376803,0.039798798,0.001153544,4.428571429,75.80766955,41.5,2,425.7567114,300.7951036,0.0625,0.322109733,3.1,0.000111315,1.240738634,0.086580087,0.046731149,20.0,1.86e-05,83.59447996,-0.317743764,6,8.4,46.70399973,143.0554115
22.27272727,402.4034949,0.108765451,0.007958514,9.366666667,110.6237868,81.5,2,2023.235093,763.5147034,0.066666667,0.411102264,5.2,0.002226295,3.642513176,0.38970474,0.086839093,53.5,0.00014842,98.79462634,-0.211592971,15,13.4,119.1655089,310.9315035
