Density Centrality,DNC Scores,Local-Global Centrality,K-Shell Value,Subgraph centrality,Betweenness Centrality,DIL Centrality,CLC Values,Eccentricity Centrality,I-GSM Values,H-GSM_1,Improved Gravity Index Values,PE Values,GSM,Second order centrality,HCC Value,Coreness Centrality,MCGM Values,PageRank Centrality,Degree Centrality,Centrality Values,Semi local centrality,Local Gravity Model Centrality,MDD Value,LGC Scores
5670.0,108.5327983,277.5331955,35,7.23e+29,0.001473417,9114.483093,3050283.778,0.25,8364.371504,4911896.639,471012.5,0.886609698,10933.50291,-1756.28718,1.461830678,2755,160.8022877,0.002063387,0.106438896,41124.84276,4336582,577044,67.8,67719384570.0
10346.95455,165.7531108,456.6755375,35,1.43e+30,0.005395876,22358.81473,4771610.572,0.25,12384.09712,39120132.98,554058.75,1.352258923,11736.37967,-1352.046794,1.664290445,4174,257.5347693,0.003124281,0.162943495,62589.38305,6191887,1261080,92.2,136447000000.0
5580.272727,106.0971109,268.8711913,35,5.46e+29,0.001787294,12007.48443,2802533.235,0.25,7474.471436,1016827.053,451342.5,0.869638686,10897.2068,-1782.548162,1.416921575,2650,143.7343915,0.002079382,0.103810775,40445.24923,3849538,499833,65.8,57683255854.0
7789.090909,139.6870968,356.545327,35,7.22e+29,0.005246861,16062.7517,3365340.747,0.25,8768.479637,11473058.5,475230.0,1.075594778,11234.08,-1537.938102,1.311322823,3312,177.4418119,0.002739939,0.134034166,50650.77403,4437870,742050,76.8,80117111232.0
5715.102273,110.0791878,274.3746077,35,5.1e+29,0.002245511,11622.98481,2603918.751,0.25,7166.629384,4622101.957,442260.0,0.864645669,10875.13249,-1761.650811,1.397722096,2652,140.7365436,0.002165643,0.106438896,40371.38973,3673531,488430,65.1,55797968709.0
6122.613636,117.0079152,293.2225746,35,5.49e+29,0.002244079,12136.11643,2756832.841,0.25,7473.023081,5358070.228,448568.75,0.917386022,10994.75258,-1701.747232,1.342420025,2875,148.6300825,0.00223542,0.113009198,42909.85166,3820895,538790,67.4,60302499804.0
7413.636364,138.1851171,347.4209002,35,7.38e+29,0.003608342,16857.28549,3417904.404,0.25,8682.827059,2053177.609,470968.75,1.036210395,11198.4819,-1551.475543,1.388724489,3343,175.9530839,0.002548392,0.131406045,49013.97149,4382917,722400,76.6,77593417254.0
4343.579545,90.78405917,220.8199498,35,3.75e+29,0.001949568,6615.554543,2236707.126,0.25,6200.484941,2418978.488,418092.5,0.714845431,10561.7296,-1966.009459,1.329610679,2184,116.1085073,0.001837079,0.08804205,33374.74969,3188643,352353,58.3,42660558087.0
21250.40909,275.3987954,813.3977446,35,2.37e+30,0.029341525,52768.75882,6774519.459,0.25,17511.18803,1263646634.0,632082.5,2.142126504,12874.38464,-958.9349657,1.866189391,6290,409.3999657,0.005615271,0.266754271,99783.47439,7990603,2660518,142.4,286656000000.0
4506.170455,94.07041587,229.1059146,35,4.96e+29,0.000689027,3909.842356,2142267.979,0.25,6728.229976,2692944.872,430893.75,0.742828046,10646.62409,-1933.558532,1.377611455,2338,129.3216831,0.001800214,0.090670171,34914.16057,3503513,395577,60.3,48198125136.0
5199.090909,109.9917104,266.0996473,35,5.59e+29,0.000999404,6401.873973,2395362.707,0.25,7111.905438,1046374.088,431086.25,0.84661044,10716.68604,-1777.674269,1.396095021,2691,140.301822,0.002075323,0.105124836,40070.29514,3679028,480480,65.3,54227299962.0
4842.886364,100.413394,242.7623157,35,4.4e+29,0.000983665,6528.550676,2180595.809,0.25,6530.619078,534763.428,424611.25,0.770482994,10705.16901,-1875.630582,1.302951121,2472,126.7007757,0.001889038,0.095926413,36325.92272,3358470,402887,61.3,46900081320.0
9241.670455,161.9554953,413.4451304,35,8.25e+29,0.005029816,15665.34444,3509132.939,0.25,9287.023403,5326201.049,481915.0,1.201185215,11389.38544,-1416.491241,1.500748454,3650,197.1390443,0.003138324,0.153745072,56630.74436,4632732,886509,85.8,93230739760.0
2100.318182,54.46416091,126.2341063,35,1.9500000000000002e+29,0.000152438,1730.157914,1319825.692,0.25,4303.269441,111904.7491,357393.75,0.453021753,9880.217928,-2568.569573,1.097870033,1435,74.94678691,0.001117319,0.053876478,20973.72656,2229751,150224,41.0,22010088700.0
9122.590909,154.0998332,411.7409992,35,1.22e+30,0.004292735,17474.29853,4308342.907,0.25,11177.33082,7493376.349,528692.5,1.243628262,11515.5493,-1428.323151,1.5886811,3808,230.5108644,0.002926891,0.149802891,58005.35615,5644591,1055412,86.1,114642000000.0
2262.272727,53.96876394,125.2507372,35,1.75e+29,0.000454616,2454.067624,1381763.292,0.25,4141.32132,173523.2551,365758.75,0.43491633,10028.01985,-2607.191206,0.978809258,1334,74.60718355,0.001135463,0.052562418,20228.48082,2123037,139680,38.2,21490977816.0
5083.75,105.4949994,254.9355611,35,4.08e+29,0.001539733,5296.068187,2209964.671,0.25,6391.192138,3777088.432,417777.5,0.799417314,10661.54389,-1824.219663,1.342768981,2464,124.9858349,0.002093384,0.101182654,37448.61649,3270619,413028,62.6,47145442863.0
7360.340909,128.5744648,328.9747757,35,5.43e+29,0.009024472,17424.5499,3288387.49,0.25,8063.294627,9043727.571,463688.75,0.999986149,11001.64535,-1613.519584,1.261264318,2764,155.9279244,0.002874912,0.124835742,46047.09873,4068048,637355,75.8,70644944047.0
5542.727273,108.7098115,272.0426367,35,6.38e+29,0.001317757,8040.296729,2703168.927,0.25,7801.376713,4516525.606,456653.75,0.862206977,10892.84429,-1772.882022,1.434702615,2724,151.8050671,0.002054951,0.105124836,40381.67095,4039040,529680,65.6,61535805381.0
4687.613636,94.55517732,235.7558573,35,3.8700000000000004e+29,0.001491904,8243.143174,2441776.454,0.25,6556.319688,596104.046,425433.75,0.770889007,10642.87233,-1898.16538,1.135211508,2352,120.5941242,0.001897977,0.093298292,35535.08168,3355609,394689,59.9,46306559580.0
4365.136364,92.03687305,223.1211305,35,3.19e+29,0.001389752,7378.41474,2176836.594,0.25,5946.902898,519950.4858,409867.5,0.722722666,10559.9846,-1949.043558,1.072921095,2241,110.6643988,0.001824423,0.08935611,33614.56326,3033578,341292,56.9,40393747575.0
3058.840909,67.74210579,164.7545924,35,3.55e+29,0.000362352,3131.473922,1786260.868,0.25,5734.040775,382114.6366,407478.75,0.569847398,10298.84461,-2280.084868,1.320704004,1761,102.4845255,0.001348605,0.067017083,26339.87673,3011618,252042,49.2,35236119852.0
2634.863636,67.48138998,152.0840795,35,1.66e+29,0.000445015,2273.928425,1315664.893,0.2,4417.476412,137914.3577,358846.25,0.510088581,9984.691373,-2343.487262,0.872898939,1646,76.21984991,0.001358974,0.064388962,23981.96345,2223321,182770,44.8,23823654865.0
3735.772727,77.87925863,191.2689926,35,2.43e+29,0.002237001,7230.897411,1976158.02,0.25,5146.482534,373166.3933,393627.5,0.63314609,10416.10894,-2111.779874,1.018917453,1908,96.22628984,0.001679464,0.077529566,28895.70232,2625310,255411,51.8,32055051012.0
8661.784091,147.7300515,387.8440189,35,8.47e+29,0.005114547,19629.719,3740605.447,0.25,9689.103642,16304698.98,497148.75,1.158271597,11418.78878,-1472.20861,1.490110849,3580,196.2045995,0.002835153,0.143232589,53955.16998,4849359,873090,81.7,93642737895.0
2103.579545,55.7631565,124.7652104,31,1.17e+29,0.000574708,3252.690055,1220168.717,0.25,3502.605852,34103.0978,297716.25,0.430140024,9730.759743,-2584.609169,0.730090724,1311,61.48775813,0.001221429,0.053876478,20086.35047,1765619,118695,38.0,16912456704.0
6179.886364,111.4516615,293.2599853,35,6.61e+29,0.002553624,11480.08659,3241262.442,0.25,8438.096231,5880936.228,472867.5,0.956674706,11001.12185,-1704.641147,1.442441489,2841,159.7480757,0.002258986,0.111695138,43732.11384,4350804,607665,69.1,69693276368.0
16431.86364,235.2480568,670.8241996,35,2.19e+30,0.012855511,37609.63567,6103312.522,0.25,15922.82476,319806180.9,612736.25,1.814507572,12526.25616,-1084.591129,1.794551954,5651,362.9043423,0.004335483,0.226018397,85144.54817,7537586,2130220,121.3,226782000000.0
1486.704545,38.78145545,90.21904642,27,8.41e+28,0.002830362,1684.546632,1055303.092,0.25,3152.627609,51050.88434,253908.0,0.31959702,9530.533299,-3086.782085,0.657758145,966,48.87176141,0.001072563,0.039421813,14406.2798,1559917,78030,29.1,13688748738.0
3681.681818,77.46071305,189.1101169,35,2.96e+29,0.001627011,3825.763365,1925787.326,0.25,5716.509082,1435295.996,407295.0,0.640644747,10424.22322,-2135.047924,1.11383198,1932,101.9807031,0.001654672,0.076215506,29526.4124,2957227,282634,52.0,36231396464.0
3789.625,82.2603412,197.8318882,35,3.33e+29,0.000725168,4247.078945,1917392.62,0.25,5731.577431,508816.1499,401318.75,0.656061996,10397.26289,-2071.876916,1.312804038,2053,105.61933,0.001640611,0.080157687,30484.90864,2965459,297436,53.2,36747455897.0
482.9204545,17.49415061,36.16237456,13,2.36e+28,9.03e-06,88.52302903,369430.1063,0.2,1717.003762,113689.0918,96655.0,0.144412604,8660.616745,-4681.798421,0.381517357,455,18.90065478,0.000489675,0.017082786,6739.109972,787113,16822,13.0,4996793305.0
1176.0,31.02284993,71.59397938,23,4.57e+28,0.000994299,1156.758401,823118.626,0.25,2470.414347,35369.43313,207701.5,0.260057805,9427.127739,-3438.9148,0.50558352,762,37.489585,0.000828346,0.031537451,11685.51731,1169755,46728,23.7,9547469295.0
2742.409091,68.60480033,157.994574,35,1.72e+29,0.001144093,4228.591063,1501908.197,0.25,4106.783062,55855.35203,352992.5,0.532974619,10008.91204,-2295.420179,0.923775367,1643,77.88662013,0.001458032,0.067017083,24703.64147,2086241,174420,45.6,22437915738.0
6385.75,121.3773465,304.1864935,35,4.99e+29,0.002659897,11286.2135,2829639.171,0.25,7597.301033,6361193.9,450056.25,0.932530336,11022.58541,-1668.849419,1.183738486,2951,146.7179932,0.002329355,0.11695138,43493.07052,3820784,565328,68.9,62150772379.0
13971.68182,207.9201325,574.9038195,35,1.43e+30,0.013657587,32077.03826,5096768.004,0.25,12887.58483,35523262.91,554697.5,1.619024324,12049.86981,-1181.157901,1.673088187,4759,283.5354355,0.004147496,0.201051248,75399.41595,6227027,1558917,108.9,163478000000.0
5631.818182,106.5381346,271.7761348,35,5.41e+29,0.001465809,8648.309194,2686779.345,0.25,7466.343122,4489511.69,449522.5,0.88068263,10894.41479,-1771.547706,1.413238617,2689,143.5923013,0.002106225,0.105124836,40729.59487,3845438,505040,65.3,58117395040.0
4588.181818,93.50583882,233.1306826,35,5.06e+29,0.001085721,7859.309038,2528102.262,0.25,6886.645798,501867.1077,433151.25,0.773888687,10666.9534,-1909.050648,1.366995082,2410,130.7639316,0.001805811,0.091984231,35978.76409,3584207,411180,62.2,49060684595.0
7460.25,130.4641099,340.873508,35,6.17e+29,0.004360927,18464.5817,3347480.499,0.25,8264.094091,1647996.413,465316.25,1.056278519,11182.95136,-1568.70033,1.298497783,3191,165.1544381,0.00260667,0.128777924,48668.00452,4169761,672672,74.9,72273326070.0
7205.625,135.2673575,345.9846534,35,9.5e+29,0.001933066,12112.30955,3452239.191,0.25,9414.270151,2699988.249,489343.75,1.062419329,11224.83148,-1560.513566,1.519622519,3370,193.1359072,0.00247025,0.130091984,50087.0659,4829921,780615,76.8,85799857225.0
12920.72727,193.2550376,543.0649533,35,1.61e+30,0.007747165,25860.69262,5212368.636,0.25,13526.84402,90018053.38,572626.25,1.575375667,12067.23261,-1225.777926,1.7142991,4780,291.5232955,0.003693287,0.189224704,73158.23057,6630056,1562832,103.8,165724000000.0
4460.829545,89.30755478,223.664822,35,4.44e+29,0.000852103,6441.22701,2365605.819,0.25,6745.888545,2296881.868,434542.5,0.744891406,10681.78594,-1958.659755,1.196324889,2310,124.7349578,0.00175578,0.08804205,34568.14932,3510920,385987,59.5,47348986490.0
7854.0,140.710402,353.2256461,35,5.24e+29,0.008505992,27950.51409,3271717.082,0.25,7845.429044,11489089.99,455892.5,1.042928955,11131.99722,-1540.443984,1.222233454,3042,158.9064359,0.002930278,0.134034166,49118.58142,3909982,658002,77.1,71285939032.0
4991.636364,99.08517117,250.4469941,35,6.42e+29,0.00091338,5555.786078,2643960.195,0.25,7842.294744,1207284.647,458613.75,0.812714114,10789.97625,-1851.451476,1.44191344,2546,147.6403193,0.001882283,0.097240473,37706.76755,4087945,496984,64.7,59891028827.0
11778.61364,190.354357,510.0594301,35,1.36e+30,0.006641384,19924.26918,4720345.755,0.25,12285.65129,64586463.66,544993.75,1.440816214,11896.39663,-1265.327136,1.550849887,4539,263.5478564,0.003492189,0.181340342,68081.94077,6019988,1365510,99.3,143708000000.0
10154.375,163.2831305,440.2490204,35,1.1e+30,0.011357642,21383.2661,4398920.503,0.25,11239.25205,8205546.147,529068.75,1.300742852,11563.79869,-1379.788207,1.473188351,3849,228.4115603,0.00332881,0.159001314,60196.8333,5594127,1115620,91.0,118993000000.0
8185.227273,142.0538952,370.5855136,35,8.19e+29,0.003442317,16163.21225,3456783.567,0.25,9284.61298,14297176.49,487707.5,1.132408278,11346.54557,-1507.233608,1.507907582,3484,189.406606,0.002737977,0.137976347,52874.18905,4692738,808395,78.3,87270992032.0
8312.5,152.4461525,387.5381966,35,9.29e+29,0.002613384,13139.45295,3518638.197,0.25,9574.018885,2791153.375,489361.25,1.138985903,11394.00971,-1468.401321,1.480570422,3700,200.6362412,0.002746479,0.144546649,53954.78407,4818693,869660,82.1,92498366229.0
7291.534091,129.7200657,339.6312251,35,8.19e+29,0.006588948,11155.60466,3431076.245,0.25,9240.653285,2642772.511,487445.0,1.053541622,11176.40759,-1587.989879,1.510641067,3208,182.0905161,0.002709838,0.127463863,48735.77089,4714974,751653,76.0,82421022754.0
973.0,30.23223482,63.80718177,21,4.92e+28,0.000742422,575.2265935,668261.1177,0.25,2366.261481,188711.2087,176888.25,0.229070559,9117.762704,-3600.186824,0.489940525,729,33.47698082,0.000764663,0.02890933,10819.5542,1143073,41426,21.7,8659006512.0
11576.25,182.8452346,500.5181136,35,1.46e+30,0.006653391,22365.67109,4873176.667,0.25,12598.09974,59061942.18,553603.75,1.449831667,11874.40956,-1280.995716,1.655676413,4474,269.3993154,0.003417949,0.17739816,67790.70997,6218490,1377135,98.4,146220000000.0
5828.295455,115.9673297,288.9159256,35,7.12e+29,0.001425738,7257.407688,2810747.618,0.25,8129.348023,1573171.279,458255.0,0.909408728,10898.16656,-1711.192515,1.453368044,2891,159.8596301,0.002154706,0.111695138,42764.84498,4203727,584885,68.2,66042534864.0
9721.488636,163.1843962,433.1135055,35,1.27e+30,0.004814321,18580.37064,4418149.569,0.25,11512.45996,30525472.69,535403.75,1.273810642,11640.66615,-1389.365786,1.610807467,4016,239.8472687,0.002986352,0.156373193,60086.39591,5771427,1128596,88.1,122051000000.0
1298.5,36.82196947,83.06042946,25,5.98e+28,0.000150554,1274.069177,866888.051,0.25,2678.961271,19193.80058,225437.5,0.303778835,9440.536478,-3156.27312,0.548712765,901,42.40784123,0.000869368,0.036793693,13840.80042,1299418,60144,26.8,10826801870.0
7529.454545,139.9515518,356.4403958,35,9.27e+29,0.002921455,14719.1568,3485103.772,0.25,9345.894681,3833775.317,485283.75,1.084499397,11229.19399,-1532.729264,1.513895216,3430,192.7462556,0.002584483,0.134034166,51182.47216,4764786,794988,78.0,86322487737.0
6478.977273,121.5531843,311.8732543,35,8.35e+29,0.002182459,11369.67878,3266773.932,0.25,8900.892611,1959952.365,480576.25,0.980792725,11090.2916,-1648.991837,1.492444604,3088,176.8903206,0.002277004,0.11826544,45915.90658,4585408,676800,72.3,76318947645.0
3178.795455,80.26484642,182.6151519,35,3.05e+29,0.000432894,3920.818754,1666798.679,0.25,5199.785742,125030.6391,376932.5,0.609236344,10143.80092,-2132.724946,1.240182509,1978,96.60622814,0.001518063,0.076215506,29008.18168,2696214,256186,52.6,31272440240.0
13244.31818,208.3859116,559.1862795,35,1.41e+30,0.009455842,23913.88311,4911684.068,0.25,12652.15124,109374241.2,548808.75,1.539652015,12012.1777,-1198.937859,1.55668243,4754,278.3291911,0.003877109,0.197109067,72952.1508,6112399,1505700,106.8,158163000000.0
1762.329545,45.73521762,106.0458005,30,7.95e+28,0.000399963,2945.901667,1094446.173,0.25,3085.39844,31825.14221,283492.5,0.385010934,9711.670481,-2801.149504,0.625145571,1148,53.31526246,0.001041379,0.045992116,17518.70624,1516339,87815,33.5,13822159596.0
5108.409091,103.9842541,254.8676347,35,5.05e+29,0.001610803,7473.576134,2584702.902,0.25,7144.573494,3301772.231,439285.0,0.812740609,10745.39137,-1826.70918,1.23616352,2523,135.6890215,0.001991074,0.099868594,38158.12052,3693050,460484,64.0,53576404920.0
4353.522727,86.71480186,216.4929402,35,4.06e+29,0.001081315,5321.30935,2218090.549,0.25,6528.893135,2308168.674,431445.0,0.709527337,10634.75806,-1997.987437,1.366872763,2150,119.954334,0.001749731,0.085413929,32704.32306,3379746,362180,57.5,45308714062.0
4549.204545,94.50047436,232.8341217,35,5.14e+29,0.001129961,8222.196395,2535014.53,0.25,6868.561009,611308.6858,433431.25,0.75419678,10656.13437,-1910.706027,1.35589451,2376,131.4833127,0.001805312,0.091984231,35195.90159,3571753,409920,61.6,49312467437.0
6177.340909,116.8698934,294.8377672,35,6.5e+29,0.003054422,11205.2496,2963339.972,0.25,7951.303037,1845657.597,460547.5,0.903523127,11000.24934,-1701.243606,1.39896975,2860,157.9722949,0.002239531,0.113009198,42200.97562,4074650,576028,68.9,65380229486.0
9111.136364,155.68483,410.7940637,35,9.67e+29,0.004596489,22423.07027,3944579.604,0.25,10127.95928,5236629.41,502258.75,1.223501986,11496.7905,-1421.745683,1.518550265,3840,209.6875954,0.002930834,0.151116951,57034.06307,5058184,958180,84.7,100932000000.0
2088.704545,49.75524198,117.8508379,30,9.52e+28,0.000537417,4125.031212,1260785.249,0.25,3392.00638,39731.12147,299587.5,0.4151978,9943.105047,-2680.251564,0.680885682,1242,59.66975281,0.001114149,0.049934297,18872.41153,1673316,105412,35.6,16276225075.0
2227.272727,52.63842392,125.7515871,35,2.22e+29,0.000162493,1655.683761,1372272.903,0.25,4622.396567,160803.7959,377195.0,0.452610966,10040.23488,-2601.007257,1.241696958,1386,80.33058203,0.001098747,0.052562418,20817.15575,2409186,158280,39.7,24676754311.0
