feature,score,rank
Closeness Centrality,0.0478864320020274,1
Eccentricity Centrality,0.04314202156585055,2
Second order centrality,0.021444441124954573,3
GSM,0.019914515867294636,4
GIN Values,0.018716064742920653,5
Extended Improved Gravity Index Values,0.017290626834556913,6
Eigenvector Centrality,0.01652175418863635,7
H-GSM_1,0.011996319990083897,8
Volume Centrality,0.01183593963179424,9
Coreness Centrality,0.010856663937038602,10
I-GSM Values,0.005933857179505434,11
Centrality Values,0.005760948880497316,12
H Values,0.005569072038309028,13
Betweenness Centrality,0.005327209466565868,14
Semi local centrality,0.004722973768925775,15
P Value,0.003898222025914281,16
PE Values,0.0034393932273973707,17
Extended Coreness,0.003365058526674017,18
EHCC Value,0.003042032328128933,19
EIGSM Values,0.003028734248649829,20
MCGM Values,0.002135297807095875,21
Clustered Local Degree,0.0020378301686724927,22
MDD Value,0.0019294339058908768,23
Gravity Index Centrality,0.0018982345908798298,24
HVGc Index,0.0016984464538563554,25
LGC Scores,0.0015104365658116451,26
Improved Gravity Index Values,0.0011732081369761743,27
HCC Value,0.0009929770792427369,28
Societal Capital Scores,0.0009477976309909491,29
GGC Values,0.0007334119480426146,30
Extended Degree,0.0007014384453439878,31
Local-Global Centrality,0.000683283629319753,32
PageRank Centrality,0.0006720210798321231,33
Gravity Model Centrality,0.0006664991323512824,34
Local Gravity Model Centrality,0.0006390845361372155,35
Leverage Centrality,0.0005641151244441244,36
Laplacian Centrality,0.0004317566414533118,37
Node H-Index,0.00025313041811951683,38
Isolating Centrality,0.00020680881987800287,39
DIL Centrality,0.00017998914924526402,40
Density Centrality,0.00011763138298682331,41
Subgraph centrality,2.982140366740982e-05,42
K-Shell Value,1.7704363847016055e-10,43
Global Relative Change in Avg Degree,1.770396824843348e-11,44
DNC Scores,1.5336101889540638e-11,45
Degree Centrality,1.533610188954061e-11,46
Constraint Coefficients,3.5506765806902203e-12,47
