Lambda,Kendall_Tau,P_Value
0.0097,0.5486940883684076,1.7070448499806546e-162
0.0118,0.559317248684255,2.6493235445933444e-170
0.014,0.5624086044658773,2.5177642171523386e-173
0.0161,0.565723857610386,2.047768871846257e-176
0.0183,0.5711207074659707,8.409738438589395e-181
0.0204,0.5724611480729286,2.9777961835671174e-182
0.0226,0.5710309419757864,7.445062355206521e-182
0.0247,0.5775731253888613,1.7740146520252488e-186
0.0269,0.584017045663292,3.4139769538092375e-191
0.029,0.5889773311906397,9.132546091116569e-195
