Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.03424657534246575,0.021739130434782608,0.021739130434782608,0.03424657534246575,0.02040816326530612
10,0.06329113924050633,0.07920792079207921,0.07920792079207921,0.06329113924050633,0.07272727272727272
15,0.09146341463414634,0.12264150943396226,0.11304347826086956,0.09146341463414634,0.10833333333333334
20,0.12804878048780488,0.13934426229508196,0.13934426229508196,0.12804878048780488,0.152
25,0.17073170731707318,0.1889763779527559,0.2,0.17073170731707318,0.1984732824427481
30,0.20121951219512196,0.23308270676691728,0.21897810218978103,0.20121951219512196,0.2158273381294964
35,0.23170731707317074,0.24475524475524477,0.24305555555555555,0.23170731707317074,0.24305555555555555
40,0.2621951219512195,0.2684563758389262,0.26,0.2621951219512195,0.26
45,0.3048780487804878,0.28662420382165604,0.28846153846153844,0.3048780487804878,0.28846153846153844
50,0.34146341463414637,0.34375,0.3333333333333333,0.34146341463414637,0.3333333333333333
55,0.3780487804878049,0.3780487804878049,0.38509316770186336,0.3780487804878049,0.38509316770186336
60,0.40853658536585363,0.40853658536585363,0.40853658536585363,0.40853658536585363,0.40853658536585363
65,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.43902439024390244
70,0.4695121951219512,0.4695121951219512,0.4695121951219512,0.4695121951219512,0.4695121951219512
75,0.5060975609756098,0.5060975609756098,0.5060975609756098,0.5060975609756098,0.5060975609756098
80,0.5487804878048781,0.5487804878048781,0.5487804878048781,0.5487804878048781,0.5487804878048781
