Extended Degree,Extended Improved Gravity Index Values,EIGSM Values,PE Values,Isolating Centrality,Local Gravity Model Centrality,Degree Centrality,HCC Value,Second order centrality,Gravity Model Centrality,Semi local centrality,Node H-Index,GGC Values,CLC Values,Volume Centrality,PageRank Centrality,Coreness Centrality,Subgraph centrality,Gravity Index Centrality,H-GSM_1,Leverage Centrality,Betweenness Centrality,Clustering Coefficient,Laplacian Centrality,I-GSM Values
19.6,864.75,1690.802576,0.106828754,72,372,0.015789474,0.45943929,-4058.716801,2154.225569,1132,2,615.3591642,1114.977767,140,0.005852174,17,21.07044885,51.0,187.6948958,0.704761905,0.02543002,0.015151515,218,182.3720167
12.4,745.0,520.1133614,0.044123562,0,56,0.002631579,0.481444131,-5224.991374,361.2849235,990,2,114.2727357,990.0,159,0.000978705,5,5.110249384,32.5,179.382536,-0.746031746,0.005057823,0.0,62,181.1178364
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
6.4,121.5,248.9502906,0.013708758,2,26,0.002631579,0.328559903,-7687.839753,214.9107285,267,1,38.4723195,267.0,42,0.001221492,3,3.024784999,7.0,144.4233526,-0.19047619,0.002631579,0.0,32,107.7381413
42.4,3769.75,2815.589563,0.182523999,56,1190,0.018421053,1.16714401,-3342.605285,4051.467381,4854,4,1864.244613,4696.586998,412,0.006039695,27,83.33490887,115.5,221.0981847,0.56564962,0.050587668,0.032967033,380,294.7636732
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
9.6,252.5,364.7799568,0.028624133,0,42,0.002631579,0.359197257,-5598.987803,271.6231944,446,2,72.86760842,446.0,87,0.001049689,4,3.610462966,21.5,159.09678,-0.675324675,0.003739168,0.0,48,136.168996
11.6,450.0,477.1356899,0.038504258,0,52,0.002631579,0.407906414,-5548.58256,320.1260683,785,2,11.85414542,288.7853613,112,0.000978967,4,5.972857402,26.0,168.216212,-0.732142857,0.0,1.0,58,160.4842524
11.4,704.25,637.6607556,0.042913324,0,72,0.003947368,0.398164582,-4555.982276,504.3720238,795,3,142.2807686,795.0,133,0.001325465,7,5.368707658,34.0,174.1450543,-0.366666667,0.004526521,0.0,60,168.7880914
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
5.4,116.5,182.3720167,0.012462711,0,12,0.001315789,0.322589754,-7695.161341,106.8164753,254,1,18.48615975,254.0,42,0.000612357,2,2.348588262,6.0,143.5659343,-0.846153846,0.0,0.0,26,106.9569309
