Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.04150390625,0.6589771234343917,4.309609944401703e-09,0.0830078125,0.04150390625,0.12451171875
0.050726996527777776,0.6869943926515448,8.472873120184184e-10,0.0830078125,0.04150390625,0.12451171875
0.05995008680555555,0.6707236151109199,1.956655324173591e-09,0.0830078125,0.04150390625,0.12451171875
0.06917317708333334,0.6689248734099041,2.2583821648393142e-09,0.0830078125,0.04150390625,0.12451171875
0.0783962673611111,0.7608108108108107,9.65625288815315e-12,0.0830078125,0.04150390625,0.12451171875
0.0876193576388889,0.7130318978572107,1.6849170159917238e-10,0.0830078125,0.04150390625,0.12451171875
0.09684244791666667,0.7664199966599308,7.402172644116457e-12,0.0830078125,0.04150390625,0.12451171875
0.10606553819444445,0.777027027027027,3.482884143792773e-12,0.0830078125,0.04150390625,0.12451171875
0.11528862847222222,0.7464504748815076,2.4067909847230994e-11,0.0830078125,0.04150390625,0.12451171875
0.12451171875,0.7743243243243242,4.134037613279417e-12,0.0830078125,0.04150390625,0.12451171875
