feature,score,rank
DIL Centrality,0.06743766323515339,1
P Value,0.05256383628672296,2
HCC Value,0.03747645708637232,3
Clustering Coefficient,0.018446875307079405,4
Betweenness Centrality,0.01650436173697603,5
Constraint Coefficients,0.014044963417936526,6
HVGc Index,0.008538120260756593,7
Global Relative Change in Avg Clustering,0.006475487848347455,8
GGC Values,0.00510971285093974,9
Closeness Centrality,0.004951832772920115,10
Subgraph centrality,0.004859693198881696,11
I-GSM Values,0.004843295856898387,12
LGC Scores,0.004812655368663053,13
H Values,0.004770954289506841,14
GIN Values,0.004761585041629811,15
Local Gravity Model Centrality,0.004675957615976717,16
Clustered Local Degree,0.004616618744969744,17
Density Centrality,0.004611657406736316,18
Gravity Model Centrality,0.004603037555458492,19
Local-Global Centrality,0.00451910374802272,20
CLC Values,0.0044800536746122735,21
Laplacian Centrality,0.004439715399023236,22
Extended Improved Gravity Index Values,0.004398086349243142,23
EIGSM Values,0.004375795829675782,24
Coreness Centrality,0.004309607071539353,25
PageRank Centrality,0.004265349897095952,26
Semi local centrality,0.004260430190164791,27
Societal Capital Scores,0.004259430797860253,28
Extended Degree,0.004258940537622595,29
PE Values,0.004255771746162389,30
Extended Coreness,0.00425004973287546,31
Eigenvector Centrality,0.00424893085309914,32
Centrality Values,0.004248911089925384,33
Degree Centrality,0.004248880392295569,34
Volume Centrality,0.004248880209369847,35
Global Relative Change in Avg Degree,0.004248867285329166,36
DNC Scores,0.004240652845641557,37
EHCC Value,0.0042157508268885115,38
MDD Value,0.004143203239918714,39
Leverage Centrality,0.004075492106691524,40
MCGM Values,0.0037694916907667526,41
Second order centrality,0.0037638747018882645,42
H-GSM_1,0.0023296627196894093,43
Gravity Index Centrality,0.001711126485474162,44
Improved Gravity Index Values,0.0016406300085377223,45
Isolating Centrality,0.0015168878501803772,46
Node H-Index,0.001375198257773518,47
GSM,0.001301762803530157,48
Eccentricity Centrality,0.0002619049391129903,49
K-Shell Value,2.607348658260945e-07,50
