P Value,Node H-Index,Laplacian Centrality,Closeness Centrality,PageRank Centrality,GIN Values,Gravity Index Centrality,MCGM Values,Gravity Model Centrality,Global Relative Change in Avg Degree,Subgraph centrality,EIGSM Values,Eccentricity Centrality,Centrality Values,MDD Value,Societal Capital Scores,GGC Values,Extended Coreness,Betweenness Centrality,DNC Scores,Constraint Coefficients,Local-Global Centrality,Degree Centrality,Coreness Centrality,CLC Values
125,20,2552,0.00234192,0.003629855,3515.497342,20385.0,44.82685827,43532.63833,0.002621378,940516000000000.0,59261.89429,0.2,3018.158981,20.7,1066,3502.979158,23933,0.000576396,31.77190804,-0.085124666,57.45525948,0.106598985,519,78002.9819
122,20,2476,0.002178649,0.004054274,3362.680761,18688.5,40.89825922,43871.465,0.003354475,826878000000000.0,53738.99001,0.2,3078.313028,21.5,985,3938.010396,22408,0.000851342,34.9086982,-0.085221788,60.09169841,0.116751269,526,76843.27755
147,31,5298,0.00234192,0.006771036,4204.17243,43043.25,99.03129761,106684.9469,0.010685446,2776560000000000.0,94557.09727,0.2,5613.15032,35.2,1746,9491.402762,41787,0.002207952,70.05858478,-0.068921619,126.8686742,0.218274112,1088,137572.2534
124,20,2508,0.002188184,0.004020554,3377.843656,19048.5,41.79019342,44252.88167,0.003354475,861993000000000.0,54382.75681,0.2,3070.38352,21.5,1001,4018.127442,22977,0.000804908,35.1669425,-0.083144928,60.36127725,0.116751269,542,78720.83339
147,39,16402,0.002994012,0.014547957,7161.364234,69150.5,279.1511214,380055.68,0.030112519,1.07e+16,194072.4027,0.2,13268.33637,67.5,3641,68259.67265,79909,0.057538918,154.1606283,-0.035166522,370.1471098,0.487309645,2135,408732.3233
90,17,1998,0.002444988,0.003152021,3403.238151,18394.0,35.03960711,33554.16556,0.001155183,511204000000000.0,46914.89028,0.2,2552.57167,17.0,863,3134.069967,17664,0.00059197,24.99984921,-0.092658171,46.52170461,0.086294416,365,68265.02129
145,28,5184,0.002557545,0.006348121,4345.849686,31137.75,91.4306766,105709.8667,0.0095858,2675470000000000.0,99341.71854,0.2,5684.206154,34.9,1812,13467.69688,39930,0.004313952,61.967265,-0.055929622,122.854787,0.203045685,931,167020.8793
147,34,6254,0.002597403,0.007042873,4652.28188,48538.75,124.604041,131057.3606,0.011785091,3900560000000000.0,115004.2966,0.2,6315.49364,37.3,2092,12369.08754,48978,0.003417706,74.08918337,-0.063304227,146.1678664,0.233502538,1187,167311.4696
147,36,8524,0.002724796,0.009252881,5266.187323,54056.0,160.2534136,188887.7167,0.016916771,5312220000000000.0,135807.548,0.2,8248.31405,43.8,2492,25426.17287,57046,0.014079076,96.61371666,-0.050550711,202.3702799,0.304568528,1418,237904.7257
147,34,6670,0.002617801,0.007526997,4762.371719,49561.0,130.897827,141919.8297,0.012884737,4129750000000000.0,118332.1551,0.2,6732.00407,38.5,2159,14668.51435,50317,0.004380982,78.7581772,-0.060270657,157.3934877,0.248730964,1234,180402.9415
147,34,6628,0.002617801,0.007525209,4748.923455,49474.0,130.2353361,141148.0797,0.012884737,4093940000000000.0,117582.2288,0.2,6654.109642,38.5,2138,14571.5705,50090,0.00479256,79.55013354,-0.06136142,157.1215373,0.248730964,1230,179137.7748
147,33,5720,0.002597403,0.006692238,4518.953652,47284.5,113.7085882,118769.1414,0.010685446,3265420000000000.0,106712.9546,0.2,5880.700517,35.8,1957,11463.67358,45757,0.005796289,68.80206424,-0.063163165,135.0507026,0.218274112,1111,157088.4818
129,26,4806,0.002659574,0.006913306,4257.885724,29772.75,79.85957135,102149.7917,0.009952349,1799900000000000.0,85453.04254,0.25,5915.804618,33.2,1583,16110.044,32698,0.009338369,63.77937245,-0.056805816,125.4226458,0.208121827,808,163007.0993
127,27,4608,0.002645503,0.006565245,4205.351608,29363.25,77.23475852,96659.875,0.009219252,1736790000000000.0,83987.32245,0.25,5668.453134,32.4,1563,14269.47943,32145,0.00712744,60.36634243,-0.059950316,118.6380121,0.197969543,782,155309.6181
147,36,8022,0.002666667,0.008477095,5131.454676,52845.25,153.7116092,174906.0911,0.015450577,5197110000000000.0,134171.5765,0.2,7760.860875,41.9,2471,21517.65322,56580,0.008640471,89.10126829,-0.051893598,186.4212881,0.284263959,1385,225537.3987
147,39,11776,0.002816901,0.011216291,6095.184067,61168.25,216.7571161,269186.7292,0.022415,8221380000000000.0,168990.2856,0.2,10471.79743,53.1,3113,40937.97319,69919,0.017638258,119.9927712,-0.042630958,270.1729664,0.38071066,1762,318955.7727
144,39,16936,0.003289474,0.016575536,7284.061974,48084.75,239.003264,390518.75,0.031578714,7645150000000000.0,182515.7805,0.25,14084.83405,70.0,3518,83224.26578,71251,0.151056154,159.2555814,-0.029973178,391.1614104,0.507614213,1928,421191.4194
115,25,3778,0.002557545,0.005251047,3970.878008,27189.75,64.67779922,73942.64667,0.006286863,1362020000000000.0,76385.24389,0.2,4572.971602,28.3,1424,9566.79894,28869,0.002976503,46.60139478,-0.063158504,91.71434176,0.157360406,639,131646.9879
147,31,5298,0.00234192,0.006771036,4204.17243,43043.25,99.03129761,106684.9469,0.010685446,2776560000000000.0,94557.09727,0.2,5613.15032,35.2,1746,9491.402762,41787,0.002207952,70.05858478,-0.068921619,126.8686742,0.218274112,1088,137572.2534
147,37,11184,0.002949853,0.011461609,5939.288572,60066.25,198.6369444,254807.6944,0.022048451,6736930000000000.0,153801.3625,0.25,10071.45325,52.7,2891,42312.82214,64591,0.039600021,117.6138811,-0.041432554,265.0176269,0.375634518,1673,304802.0803
145,28,5776,0.00257732,0.007112615,4502.176952,32366.25,100.1511134,121526.1,0.011418543,2976540000000000.0,103955.5884,0.2,6222.11121,36.9,1898,16935.52231,41908,0.006242303,70.66696523,-0.053798864,140.3398067,0.228426396,1013,183440.201
142,31,6948,0.002739726,0.008412364,4875.930651,34634.25,115.0805556,151754.6044,0.013984383,3324200000000000.0,116131.3655,0.2,7539.053397,40.3,2148,24761.77848,45003,0.017665887,81.08725067,-0.045516727,170.2769519,0.263959391,1088,224862.4566
123,21,3080,0.002457002,0.005209317,3720.744825,21987.0,51.99766046,61993.24361,0.005553766,976225000000000.0,60465.74744,0.2,3693.320639,24.8,1134,8437.242881,24790,0.006628844,44.99857661,-0.073946609,82.14714674,0.147208122,597,105003.7279
32,11,990,0.002247191,0.002550328,2986.083116,9743.25,16.95339704,18834.54333,0.000677559,132645000000000.0,22102.60762,0.2,1525.573803,11.7,429,2242.006692,9130,0.000856338,18.39342377,-0.120904392,30.06555241,0.060913706,241,38331.62239
87,19,1876,0.002178649,0.003668788,3198.812783,17190.0,31.53050767,34851.73889,0.002254829,412464000000000.0,38311.99796,0.2,2656.330267,19.4,748,4036.83709,15810,0.001435756,31.00792891,-0.087554511,51.09843578,0.101522843,416,67423.68691
94,20,2752,0.00245098,0.004665455,3625.83374,21307.5,47.19832086,54133.53833,0.00445412,817481000000000.0,55894.21816,0.2,3497.445677,23.0,1051,7698.999309,22713,0.004031838,39.36478688,-0.070282116,72.90227226,0.131979695,538,100071.6731
141,29,5270,0.002531646,0.006862708,4342.681222,30345.0,89.75914749,109111.485,0.010318897,2519600000000000.0,96351.41371,0.2,5770.116335,35.1,1774,14586.0315,38458,0.013289337,65.7092542,-0.056124734,128.3012141,0.21319797,902,168942.1748
92,20,2256,0.002262443,0.004096605,3345.926699,18486.0,37.21258717,42701.49972,0.003354475,571216000000000.0,45322.70911,0.2,3127.4216,21.8,875,5585.866299,18418,0.002018648,35.55719199,-0.076654303,60.62744428,0.116751269,479,83793.63725
78,15,1636,0.002096436,0.003948479,3043.655917,13012.5,25.04584765,31751.32222,0.002254829,301730000000000.0,31720.35793,0.2,2368.270637,18.5,628,3506.542347,13820,0.001803944,31.65043751,-0.101903757,49.04922557,0.101522843,384,54259.79295
147,36,8740,0.002702703,0.009060762,5323.504772,54795.5,166.8722657,193164.3833,0.016916771,5836060000000000.0,141634.3634,0.2,8272.010099,43.8,2600,24921.91051,59330,0.009455169,95.971381,-0.049370698,203.2681817,0.304568528,1469,243893.0268
