feature,score,rank
Global Relative Change in Avg Clustering,0.14490908227614602,1
Clustering Coefficient,0.09381685439009727,2
DIL Centrality,0.09105745318376704,3
P Value,0.045605700020614814,4
Leverage Centrality,0.04169049106013788,5
K-Shell Value,0.03697599376992522,6
Clustered Local Degree,0.03244160476968176,7
HCC Value,0.03161139890955127,8
Constraint Coefficients,0.028700029853531046,9
Second order centrality,0.024638323843561075,10
Node H-Index,0.02449270200744546,11
Improved Gravity Index Values,0.020406017790634414,12
EIGSM Values,0.017720462503168107,13
Gravity Index Centrality,0.015761672782432082,14
Semi local centrality,0.015699664224568876,15
Societal Capital Scores,0.015632117645595623,16
Extended Degree,0.01559881801573482,17
Extended Coreness,0.015181234299335346,18
EHCC Value,0.014085164478034352,19
GSM,0.013190881276573719,20
Eigenvector Centrality,0.013189122398736562,21
MDD Value,0.012853680100434335,22
PageRank Centrality,0.012706090563359963,23
Global Relative Change in Avg Degree,0.01261974206166562,24
H-GSM_1,0.012598830358420353,25
DNC Scores,0.01222713168444339,26
Extended Improved Gravity Index Values,0.01188902800311055,27
Volume Centrality,0.011541151280052753,28
Degree Centrality,0.011536792990243853,29
Centrality Values,0.011536307839222977,30
HVGc Index,0.011389364023672377,31
PE Values,0.011294569018709634,32
CLC Values,0.011233242280806494,33
Coreness Centrality,0.01071349218577353,34
MCGM Values,0.008651428609317174,35
Local-Global Centrality,0.00828650318828128,36
Laplacian Centrality,0.007965708897069846,37
Subgraph centrality,0.007905369615629721,38
I-GSM Values,0.007750092227905166,39
GIN Values,0.007455714188401465,40
Closeness Centrality,0.007375507867611532,41
Gravity Model Centrality,0.007366722734814929,42
Betweenness Centrality,0.006903808008451535,43
Density Centrality,0.006740429011545736,44
GGC Values,0.006469054750269832,45
Local Gravity Model Centrality,0.006439238408206004,46
H Values,0.006396410426059396,47
LGC Scores,0.006161296633065628,48
Isolating Centrality,0.00023227446240408947,49
Eccentricity Centrality,3.160049669397914e-16,50
