Lambda,Kendall_Tau,P_Value
0.2087,-0.09836086225343807,0.43529860722232405
0.255,-0.028571964077647855,0.8201066739188337
0.3014,0.08376003009804861,0.5053687887078122
0.3478,0.2415569217998724,0.05515709277130029
0.3941,0.2839669313080185,0.023937751029747916
0.4405,0.4163343337028687,0.000919887491868025
0.4869,0.43993313252996674,0.0004520519023477378
0.5332,0.4261066686474953,0.0006877071924104088
0.5796,0.31944370446229414,0.010796250777900198
0.626,0.47407887350136646,0.00015479672858084302
