feature,score,rank
Betweenness Centrality,0.1632439154528575,1
Eccentricity Centrality,0.11749922223573861,2
Closeness Centrality,0.06890781308148546,3
GIN Values,0.03927471480561598,4
H-GSM_1,0.03802519996285455,5
GSM,0.037093921415391286,6
Second order centrality,0.036942739112505764,7
I-GSM Values,0.019018874695161597,8
Leverage Centrality,0.014967212792386348,9
Volume Centrality,0.014269911227157575,10
PageRank Centrality,0.013857148115165432,11
Eigenvector Centrality,0.013177683409066013,12
EIGSM Values,0.010976358316580339,13
Extended Improved Gravity Index Values,0.009601097080312046,14
PE Values,0.009128901660823929,15
Centrality Values,0.009022138227979839,16
Local-Global Centrality,0.008298853729092795,17
CLC Values,0.007249851940403539,18
Improved Gravity Index Values,0.006549680829077782,19
Semi local centrality,0.006060275058119416,20
P Value,0.00568988684242457,21
Extended Coreness,0.004423272919664353,22
EHCC Value,0.0043952654817653695,23
Gravity Model Centrality,0.004352424612994711,24
HCC Value,0.0038554753360425967,25
Clustered Local Degree,0.003442915542543517,26
H Values,0.0031854742742978455,27
Societal Capital Scores,0.0029245705849385135,28
Extended Degree,0.002452895594101554,29
GGC Values,0.0024329014828122202,30
Gravity Index Centrality,0.002165464255311746,31
MCGM Values,0.002134611784107704,32
Coreness Centrality,0.0014835379515077609,33
LGC Scores,0.0014629055522811052,34
HVGc Index,0.0013710702338905851,35
Laplacian Centrality,0.0013664986652304405,36
Global Relative Change in Avg Clustering,0.00078765667628118,37
Local Gravity Model Centrality,0.00077410573974126,38
MDD Value,0.0007661402874109199,39
Density Centrality,0.00026261453352094806,40
Subgraph centrality,0.00022338309477775445,41
DIL Centrality,0.00011607642371356073,42
DNC Scores,1.3898253704938524e-05,43
K-Shell Value,1.1027839113226565e-06,44
Node H-Index,9.53828674801902e-07,45
Isolating Centrality,5.0578379159991454e-11,46
Global Relative Change in Avg Degree,4.00727733200627e-14,47
Degree Centrality,3.81934511032718e-14,48
Constraint Coefficients,2.7546855698086073e-14,49
Clustering Coefficient,3.727871234802613e-16,50
