Lambda,Kendall_Tau,P_Value
0.0526,0.8529889924186755,3.562924804903481e-15
0.0643,0.8640809252193214,1.614202611337574e-15
0.076,0.8608783873817959,2.2663425983694344e-15
0.0877,0.8240553782745572,2.995902740602933e-14
0.0993,0.8600482116662783,2.1126831151094387e-15
0.111,0.844261958172069,6.544188563317869e-15
0.1227,0.8425963665788704,7.156295827033232e-15
0.1344,0.8113380935079771,6.935544536874576e-14
0.1461,0.814392304099243,5.427015396499725e-14
0.1578,0.8301517304588868,1.8200065178276252e-14
