Starting Node,Average Spreading Ability,Rank
943,35.9,1.0
892,35.36,2.0
937,34.93,3.0
893,34.62,4.0
896,34.55,5.0
913,34.33,6.0
934,34.09,7.0
882,34.01,8.0
945,34.0,9.0
951,33.98,10.0
946,33.73,11.0
899,33.55,12.0
905,33.49,13.0
922,33.4,14.0
953,33.29,15.0
876,33.15,16.0
950,33.13,17.0
888,32.96,18.0
877,32.74,19.0
912,32.29,20.0
916,32.1,21.0
944,31.94,22.0
948,31.92,23.0
883,31.84,24.0
917,31.76,25.0
919,31.71,26.0
889,31.55,27.0
932,31.46,28.0
940,31.37,29.0
887,31.31,30.0
926,31.3,31.0
930,31.3,31.0
897,31.07,32.0
894,30.81,33.0
915,30.79,34.0
929,30.76,35.0
923,30.76,35.0
936,30.74,36.0
952,30.66,37.0
911,30.65,38.0
907,30.57,39.0
901,30.52,40.0
921,30.44,41.0
931,30.44,41.0
885,30.42,42.0
933,30.34,43.0
938,30.25,44.0
908,30.02,45.0
920,29.87,46.0
881,29.82,47.0
949,29.65,48.0
906,29.56,49.0
924,29.53,50.0
903,29.45,51.0
898,29.4,52.0
914,29.39,53.0
880,29.37,54.0
904,29.36,55.0
941,29.26,56.0
884,29.26,56.0
942,29.24,57.0
879,29.19,58.0
875,29.11,59.0
939,29.01,60.0
900,28.76,61.0
925,28.68,62.0
947,28.5,63.0
928,28.44,64.0
895,28.1,65.0
935,28.0,66.0
909,27.88,67.0
902,27.85,68.0
886,27.81,69.0
861,27.75,70.0
910,26.93,71.0
878,26.44,72.0
918,26.29,73.0
891,25.88,74.0
927,25.72,75.0
890,24.98,76.0
288,12.87,77.0
279,11.37,78.0
294,11.15,79.0
259,10.56,80.0
285,10.39,81.0
307,10.0,82.0
280,9.9,83.0
256,9.82,84.0
295,9.82,84.0
262,9.66,85.0
301,9.58,86.0
271,9.58,86.0
312,9.55,87.0
266,9.52,88.0
263,9.34,89.0
276,9.32,90.0
299,9.24,91.0
300,9.24,91.0
296,9.22,92.0
257,9.22,92.0
268,9.14,93.0
302,9.09,94.0
293,9.08,95.0
292,9.05,96.0
306,8.99,97.0
275,8.96,98.0
311,8.88,99.0
265,8.77,100.0
272,8.73,101.0
291,8.71,102.0
305,8.61,103.0
260,8.6,104.0
277,8.59,105.0
261,8.56,106.0
303,8.49,107.0
284,8.41,108.0
274,8.4,109.0
267,8.33,110.0
289,8.31,111.0
287,8.23,112.0
273,8.14,113.0
309,8.06,114.0
237,8.04,115.0
310,8.04,115.0
270,8.02,116.0
297,7.95,117.0
298,7.94,118.0
281,7.81,119.0
290,7.77,120.0
278,7.72,121.0
264,7.66,122.0
308,7.52,123.0
282,7.32,124.0
258,7.24,125.0
269,7.22,126.0
304,7.2,127.0
283,7.18,128.0
56,6.88,129.0
