Node,Spreading Ability,Rank
60,14.26,1
136,13.06,2
132,14.18,3
168,13.2,4
108,9.69,5
70,12.78,6
99,11.04,7
83,12.01,8
122,10.85,9
194,11.33,10
131,9.61,11
100,12.3,12
101,12.85,13
192,11.95,14
7,11.93,15
164,12.29,16
98,10.76,17
69,10.57,18
158,10.4,19
174,10.3,20
110,10.21,21
170,10.87,22
135,7.07,23
179,11.64,24
105,6.09,25
154,10.15,26
171,8.56,27
54,10.42,28
123,10.41,29
66,11.17,30
195,10.25,31
106,9.69,32
81,9.54,33
196,9.19,34
95,9.17,35
178,8.96,36
114,10.33,37
118,9.14,38
107,9.14,39
96,8.79,40
49,9.23,41
53,8.99,42
65,8.55,43
35,8.33,44
44,8.32,45
149,8.24,46
121,9.95,47
58,9.05,48
183,9.02,49
197,8.99,50
150,9.83,51
32,8.16,52
40,8.13,53
109,8.1,54
111,7.85,55
57,7.96,56
62,7.64,57
5,7.56,58
63,7.55,59
167,8.69,60
125,8.16,61
130,9.25,62
18,7.54,63
33,7.44,64
56,9.09,65
61,8.93,66
43,8.1,67
142,7.43,68
161,7.8,69
93,7.79,70
146,7.68,71
153,7.21,72
88,7.07,73
182,6.87,74
127,6.65,75
71,6.64,76
193,6.61,77
67,6.56,78
50,6.17,79
190,6.12,80
36,6.48,81
128,5.95,82
94,5.7,83
64,5.62,84
90,7.04,85
24,5.52,86
147,5.18,87
141,7.83,88
10,7.13,89
8,6.67,90
78,6.59,91
29,5.66,92
19,6.45,93
189,5.62,94
14,5.41,95
46,6.48,96
151,8.99,97
55,5.28,98
26,5.28,98
1,6.66,99
140,5.09,100
86,5.04,101
87,4.96,102
112,4.87,103
12,5.58,104
22,4.67,105
77,5.53,106
31,5.36,107
28,5.11,108
11,5.14,109
103,4.71,110
89,6.76,111
191,4.57,112
91,4.79,113
73,4.35,114
172,4.32,115
176,4.29,116
177,4.25,117
175,5.11,118
173,4.52,119
155,4.17,120
143,4.64,121
187,4.12,122
169,4.34,123
162,4.19,124
80,4.4,125
166,5.16,126
104,4.53,127
68,4.24,128
126,3.86,129
137,5.06,130
186,3.83,131
51,3.77,132
74,3.7,133
185,4.38,134
139,4.86,135
84,4.53,136
97,4.93,137
38,5.02,138
129,3.67,139
144,3.64,140
138,3.53,141
75,4.8,142
117,3.61,143
79,3.44,144
184,3.43,145
9,3.36,146
85,3.36,146
113,4.62,147
20,4.5,148
59,3.8,149
163,3.52,150
116,3.28,151
156,3.27,152
102,3.14,153
76,3.02,154
198,2.95,155
13,2.95,155
124,2.69,156
42,2.51,157
82,2.98,158
23,2.46,159
4,2.45,160
188,2.35,161
72,3.55,162
45,2.17,163
27,2.01,164
52,3.12,165
119,2.27,166
134,1.87,167
48,2.78,168
15,2.53,169
25,2.7,170
181,2.49,171
34,2.02,172
16,1.79,173
159,1.58,174
41,1.53,175
92,1.58,176
145,1.98,177
115,1.48,178
2,1.42,179
17,1.38,180
39,1.36,181
133,1.34,182
47,1.33,183
37,1.28,184
3,1.13,185
180,1.13,185
157,1.12,186
21,1.18,187
160,1.1,188
152,1.1,188
165,1.16,189
148,1.09,190
6,1.05,191
30,1.02,192
120,1.01,193
