feature,score,rank
Eccentricity Centrality,0.10271558728702843,1
Global Relative Change in Avg Clustering,0.06460263519161556,2
Second order centrality,0.05761902322320894,3
Leverage Centrality,0.042662291058733794,4
Closeness Centrality,0.039609132782056564,5
GIN Values,0.02931837476973239,6
GSM,0.028373056495150935,7
P Value,0.027670908367716664,8
HCC Value,0.022202838265367505,9
Volume Centrality,0.02004896861984617,10
H-GSM_1,0.018194832522127075,11
I-GSM Values,0.015807243637667875,12
Coreness Centrality,0.015737470894402368,13
Extended Improved Gravity Index Values,0.012029358843085624,14
Eigenvector Centrality,0.010612098114391944,15
Extended Coreness,0.009380990095050935,16
Societal Capital Scores,0.008470075580121202,17
CLC Values,0.008368025745808055,18
Clustered Local Degree,0.008197443829094887,19
Centrality Values,0.007609934989351532,20
Extended Degree,0.007475886188474279,21
Semi local centrality,0.007133870923741563,22
PE Values,0.0065723390029826766,23
EHCC Value,0.00529413460652344,24
Constraint Coefficients,0.004249662409790369,25
EIGSM Values,0.0037902042858727605,26
Gravity Index Centrality,0.003203308835322482,27
PageRank Centrality,0.0028243872277903255,28
Laplacian Centrality,0.002691213519208689,29
Improved Gravity Index Values,0.0026446336574147645,30
DNC Scores,0.0019255897059511971,31
Betweenness Centrality,0.0014851049310873829,32
Degree Centrality,0.0012010753002486098,33
Global Relative Change in Avg Degree,0.0011144464214987806,34
MDD Value,0.0008887777958505099,35
Node H-Index,0.0007403266167013651,36
Local-Global Centrality,0.0006460069006860094,37
Isolating Centrality,0.0006421808633983434,38
MCGM Values,0.0006345313003320125,39
GGC Values,0.00047558407712423867,40
Gravity Model Centrality,0.000405663724626074,41
Subgraph centrality,0.0003438790469242412,42
K-Shell Value,0.0003220331332568417,43
H Values,0.00031218760100496884,44
Local Gravity Model Centrality,0.0002456202337527408,45
Density Centrality,0.0002364215241595318,46
LGC Scores,0.00020850962597372514,47
Clustering Coefficient,0.0001585835463528958,48
DIL Centrality,0.0001475602053046379,49
HVGc Index,8.675027249222827e-05,50
