Eccentricity Centrality,Global Relative Change in Avg Clustering,Second order centrality,Leverage Centrality,Closeness Centrality,GIN Values,GSM,P Value,HCC Value,Volume Centrality,H-GSM_1,I-GSM Values,Coreness Centrality,Extended Improved Gravity Index Values,Eigenvector Centrality,Extended Coreness,Societal Capital Scores,CLC Values,Clustered Local Degree,Centrality Values,Extended Degree,Semi local centrality,PE Values,EHCC Value,Constraint Coefficients,Average Spreading Ability
0.6666666699999999,0.20201137634184788,0.8992732034436548,0.3828851957760353,0.8715148695091386,0.8288008080705503,0.7976682751717716,1.0,0.8510011776941403,1.0,0.4872285525040374,0.806589395441336,0.41379310344827586,0.5229914098029309,0.5190056753602166,0.7131782945736433,0.7027027027027027,0.4967975965389212,0.9999999999999999,0.36781026363730995,0.6585365853658536,0.712491738268341,0.3468574052240251,0.3986182747167557,0.7756997868883673,0.6735870818915801
0.6666666699999999,0.13043948133877784,0.8017988711216733,0.6367471045200832,0.6836998669376892,0.646954312401942,0.6461034193383428,1.0,0.7290930508744782,0.708029197080292,0.4037635405935833,0.577988559527512,0.3448275862068965,0.4488799056762675,0.43075611964505783,0.5038759689922481,0.45945945945945943,0.40702879228079786,0.5823529411764706,0.29339612642444257,0.43902439024390244,0.5280898876404494,0.2636252624111705,0.2996971560962757,0.7943151780367641,0.6239907727797
0.6666666699999999,0.4943186346469167,0.9241850537438739,0.7449514609415446,0.7714120115266245,0.7755546480112058,0.7759635993173368,1.0,0.8442285039529649,0.8102189781021898,0.5400659758030585,0.7450830079776554,0.5862068965517242,0.6282634327101231,0.5990472681363966,0.6976744186046511,0.6891891891891893,0.6680629658832234,0.7436974789705882,0.4684391663472785,0.6646341463414632,0.7382683410442828,0.4340560076419489,0.4737850754703426,0.8853746920997118,0.5720876585928488
0.42857142999999986,1.0,0.8551346579869367,0.933438893825668,0.6793830970048733,0.6918244595518405,0.7451653447610642,0.7272727272727273,0.6540047112980569,0.7007299270072993,0.5107198019092469,0.6299731830776424,0.6551724137931035,0.45949132558531247,0.27780077437282436,0.4728682170542635,0.5810810810810811,0.44386402267236347,0.5133689839705883,0.46749102442754503,0.5853658536585366,0.4487772637144745,0.4468700540969354,0.48720011344493175,0.9448378941311518,0.607843137254902
1.0,0.6754033068192922,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9562043795620438,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,0.8918685120588234,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0
1.0,0.08132123408561456,0.8578191767416019,0.898171083583988,0.7813227046751401,0.7089709122793219,0.7314869510261894,0.9545454545454546,0.7538280331882062,0.7007299270072993,0.4892796364675086,0.6366310148286627,0.4827586206896552,0.4588175846387064,0.4393059300664153,0.5116279069767442,0.5540540540540541,0.5440682019407656,0.5138888888235293,0.40401645361265487,0.5487804878048779,0.550561797752809,0.41392368471740437,0.42492783777646165,0.9453689613173779,0.6908881199538639
0.42857142999999986,0.08987081692808535,0.4216461139344747,0.14145539208265984,0.3720389554200443,0.2975010305880378,0.32379872757402633,0.13636363636363635,0.08833922232553054,0.22627737226277372,0.15020801984537052,0.1885525918367013,0.06896551724137931,0.09617652012801078,0.08091374813586531,0.06976744186046512,0.04054054054054054,0.07808039608789162,0.04411764705882353,0.049041060908511236,0.036585365853658534,0.07468605419695967,0.037602713431984264,0.06222495624631597,0.0,0.12226066897347171
0.42857142999999986,0.08987081692808535,0.4216461139344747,0.14145539208265984,0.3720389554200443,0.2975010305880378,0.32379872757402633,0.13636363636363635,0.08833922232553054,0.22627737226277372,0.15020801984537052,0.1885525918367013,0.06896551724137931,0.09617652012801078,0.08091374813586531,0.06976744186046512,0.04054054054054054,0.07808039608789162,0.04411764705882353,0.049041060908511236,0.036585365853658534,0.07468605419695967,0.037602713431984264,0.06222495624631597,0.0,0.1695501730103806
0.42857142999999986,0.0348459468223117,0.710335676128688,0.7616828814733634,0.5406978832480263,0.4989441948575485,0.5138288598643657,0.49999999999999994,0.39163722014119284,0.5182481751824818,0.311897497586211,0.40509703251212614,0.24137931034482757,0.23260906181573188,0.2118877995151786,0.2790697674418604,0.28378378378378377,0.2625712434814054,0.25,0.20027034137720082,0.28048780487804875,0.2511566424322538,0.2062987604766601,0.19386741114337716,0.8700866678973462,0.4325259515570934
0.6666666699999999,0.35660102199848276,0.7079251115470543,0.12358734281774936,0.5985771312418875,0.5549892389232848,0.5439941389047493,0.9545454545454546,0.6386925795882237,0.635036496350365,0.28133419519801395,0.47677608607798916,0.1724137931034483,0.28415024423109314,0.30177618965733494,0.3565891472868217,0.32432432432432434,0.14669635697912103,0.7058823529411764,0.1695008570439719,0.298780487804878,0.3939193654990086,0.15103334465074333,0.1994984147955867,0.43865085792568403,0.4728950403690888
0.42857142999999986,0.030182820781089595,0.5959433062756029,0.3112018629637812,0.45732005975558976,0.3960436367754063,0.4322785882886278,0.36363636363636365,0.2491166078862588,0.3868613138686131,0.21525884086293118,0.29001588897853153,0.13793103448275862,0.13525349503116055,0.11729943234927658,0.1627906976744186,0.13513513513513514,0.14165027608865294,0.1323529411764706,0.07985924752124826,0.12804878048780485,0.13549239920687375,0.07614692227973056,0.09603463776589724,0.5438041674358414,0.20761245674740486
0.42857142999999986,0.030182820781089595,0.4807453318099735,0.07072769604132995,0.42266589931346354,0.35807847640145696,0.37655563375860185,0.36363636363636365,0.22202591292155707,0.3503649635036496,0.17645795938021874,0.24943915718410287,0.06896551724137931,0.12447363988546405,0.11271288668233664,0.12403100775193798,0.08108108108108109,0.12713976000152263,0.08823529411764705,0.06800609883176244,0.07317073170731705,0.12161269001982815,0.05685415097599593,0.08221738514296142,0.0,0.3021914648212226
0.6666666699999999,0.0,0.9326472506727099,0.8308241191490471,0.7863305006571479,0.7554460537607773,0.7638886213994425,0.8181818181818182,0.7128975265294079,0.8467153284671532,0.5012131075224588,0.699134667403427,0.5172413793103449,0.5213070574364158,0.47532260677559907,0.5658914728682171,0.6081081081081081,0.5737201519763738,0.5600490195588236,0.49457638232746687,0.597560975609756,0.5644415069398546,0.5159946867192506,0.4876496472640248,0.9572883514506622,0.8719723183391004
