Lambda,Kendall_Tau,P_Value
0.2087,0.2008200937674361,0.11120056310400929
0.255,0.2571476766988307,0.04069049786827344
0.3014,0.4065425851100408,0.0012255851368422836
0.3478,0.4708312882539886,0.00018566228327784873
0.3941,0.4964313978981906,7.891856390615928e-05
0.4405,0.6285832097082528,5.632465843890193e-07
0.4869,0.4969615015616291,7.421056195368937e-05
0.5332,0.5402787903903649,1.6778190501186363e-05
0.5796,0.3804839027671911,0.0023947036286563095
0.626,0.47000952694770665,0.0001762915982154677
