Degree Centrality,Betweenness Centrality,Closeness Centrality,Average Spreading Ability
0.0041180507996461365,0.014647780815187606,0.0005764169438097875,0.0006151186705866024
0.00034317086187854136,6.57257611536764e-05,0.00039916838540228093,7.886136802392339e-05
0.0012010981689427748,0.003017513620445008,0.0005505397605189446,0.00028074647016516723
0.0013726835998820455,0.00037405604763597595,0.0003880065371582682,0.00028074647016516723
0.0005147564451856919,0.0007632626728911799,0.000374421314375716,0.00014825937188497597
0.0018874400450677375,0.0032867711102383497,0.000513918552180389,0.00031544547209569346
0.00017158543093927074,0.0,0.0003590374622148058,0.00011986927939636352
0.0,0.0,0.0003572467913735204,6.624354914009563e-05
0.00034317086187854136,3.158048722076636e-05,0.0003580426450807584,0.00010409700579157889
0.00017158543093927074,0.0,0.0003576447182271394,7.886136802392339e-05
0.0017158544617605867,0.00264196265566396,0.0004253121796850486,0.00031544547209569346
0.0006863418761249625,0.017369787115961426,0.0008058894224862504,0.0005047127553531096
0.0006863418761249625,0.0007336388868786226,0.00037545194492658913,0.0001514138266059329
0.0005147564451856919,0.0015060969597988285,0.0003590374622148058,9.778809634966501e-05
0.0,0.0,0.0003572467913735204,7.255245858200952e-05
0.0,0.0,0.0003572467913735204,2.5235637767655505e-05
0.0005147564451856919,0.0001865562500088941,0.000394413159501534,0.00017034055493167453
0.0006863418761249625,0.0016048929693204307,0.0005751833705635686,0.00014825937188497597
0.00034317086187854136,3.187051210340606e-05,0.0003914127910252468,0.00015772273604784678
0.00034317086187854136,0.0003303273848310418,0.0005275316298426946,0.0001987306474202869
0.00017158543093927074,0.000324127619589814,0.00036243177827617585,0.00011986927939636352
0.00017158543093927074,0.0008456036373214145,0.0005754897742408553,8.517027746583727e-05
0.00017158543093927074,0.000324127619589814,0.00036243177827617585,3.7853456651483186e-05
0.0,0.0,0.0003572467913735204,2.2081183046698568e-05
0.0006863418761249625,0.0010184162526417529,0.0003636374966426414,0.00013879600772210513
0.0,0.0,0.0003572467913735204,6.939800386105257e-05
0.00017158543093927074,0.00042553643105412996,0.0005618209868190429,0.0002870553796070811
0.002402196337885549,0.016222338470783405,0.0008949693279373974,0.0010535878767996163
0.00017158543093927074,0.0,0.000342821942929832,9.463364162870808e-05
0.0008579273070642334,0.0008074476415114672,0.0004662787492651235,0.00015456828132688985
0.0005147564451856919,3.0001462859728047e-05,0.0002636424575967254,0.00016087719076880372
0.0006863418761249625,0.0003991883149660532,0.000406398716332538,9.147918690775114e-05
0.00017158543093927074,0.00028470582629207914,0.0003466738748728638,4.416236609339707e-05
0.00017158543093927074,0.00023345778502990657,0.0004227933027016403,8.517027746583727e-05
0.0,0.0,0.000222437131904479,1.892672832574163e-05
0.0015442690308213162,0.0038105141558025836,0.0002910397214683929,0.00015772273604784678
0.0005147564451856919,0.00023242690769705723,0.0003410989196536618,0.00010725146051253583
0.00257378176882482,0.0071620803695712065,0.0006699615885585395,0.0006245820347494733
0.0012010981689427748,0.0031023852131012095,0.000552895487492369,0.00042900584205014325
0.0,0.0,0.000257347254772473,4.7316820814354005e-05
0.0018874400450677375,0.0033584826627198394,0.0005006516708807318,0.0002649741965603826
0.00017158543093927074,3.469986595849104e-05,0.0003472548480791475,4.416236609339707e-05
0.0,0.0,0.000257347254772473,0.00011040591523349276
0.015614276043888192,0.08177917173131749,0.0012600672161328203,0.008690522756236356
0.0,0.0,0.00022315340024099323,2.8390092488612446e-05
0.0012010981689427748,0.005054989980967974,0.00045054074220449256,0.000246047468234641
0.00034317086187854136,0.00014039782318717845,0.0002843067991051596,8.517027746583727e-05
0.0005147564451856919,0.003521451189023648,0.0005742641595317087,0.0006151186705866024
0.00257378176882482,0.007848259906904539,0.0006757872376955216,0.0006151186705866024
0.0012010981689427748,0.0015934966026820388,0.00075534077427103,0.0008958651407517696
0.0012010981689427748,0.0013795629705015667,0.000538625830521592,0.0003028276532118658
0.0017158544617605867,0.000990229056547871,0.0005320560581683426,0.0004069246590034446
0.0,0.0,0.00042005954521727787,3.7853456651483186e-05
0.001029512738003504,0.0025162104445503462,0.0006656281651226287,0.0007097523122153105
0.0005147564451856919,0.0002735173108195791,0.0006192935622872335,0.0004920949364692819
0.0,0.0,0.00042005954521727787,4.416236609339707e-05
0.00034317086187854136,9.966769541886905e-05,0.0004296973336119298,9.463364162870808e-05
0.0005147564451856919,0.00011572250617219356,0.0004969191169937858,0.0003627622929100476
0.0,0.0,0.00042005954521727787,7.570691330296645e-05
