feature,rank
Extended Improved Gravity Index Values,1
Improved Gravity Index Values,2
Extended Degree,3
K-Shell Value,4
Volume Centrality,5
GGC Values,6
Local-Global Centrality,7
Degree Centrality,8
I-GSM Values,9
Density Centrality,10
Betweenness Centrality,11
MDD Value,12
Second order centrality,13
Constraint Coefficients,14
Global Relative Change in Avg Clustering,15
Isolating Centrality,16
Leverage Centrality,17
Node H-Index,18
Eccentricity Centrality,19
Closeness Centrality,20
H-GSM_1,21
GSM,22
PageRank Centrality,23
GIN Values,24
DNC Scores,25
P Value,26
Global Relative Change in Avg Degree,27
HCC Value,28
DIL Centrality,29
Societal Capital Scores,30
Extended Coreness,31
Semi local centrality,32
Gravity Index Centrality,33
H Values,34
Laplacian Centrality,35
PE Values,36
HVGc Index,37
EHCC Value,38
Coreness Centrality,39
Clustering Coefficient,40
MCGM Values,41
Clustered Local Degree,42
EIGSM Values,43
CLC Values,44
Eigenvector Centrality,45
Subgraph centrality,46
Local Gravity Model Centrality,47
Gravity Model Centrality,48
LGC Scores,49
Centrality Values,50
