feature,rank
P Value,1
Societal Capital Scores,2
Eigenvector Centrality,3
Clustered Local Degree,4
Global Relative Change in Avg Degree,5
Improved Gravity Index Values,6
I-GSM Values,7
GIN Values,8
Constraint Coefficients,9
Density Centrality,10
GSM,11
EIGSM Values,12
Semi local centrality,13
Second order centrality,14
DNC Scores,15
GGC Values,16
Extended Improved Gravity Index Values,17
Local-Global Centrality,18
DIL Centrality,19
Subgraph centrality,20
K-Shell Value,21
Leverage Centrality,22
Node H-Index,23
HCC Value,24
Clustering Coefficient,25
Local Gravity Model Centrality,26
Extended Coreness,27
H-GSM_1,28
Betweenness Centrality,29
MDD Value,30
Closeness Centrality,31
Eccentricity Centrality,32
Volume Centrality,33
Isolating Centrality,34
CLC Values,35
Centrality Values,36
HVGc Index,37
Degree Centrality,38
Global Relative Change in Avg Clustering,39
PageRank Centrality,40
Extended Degree,41
EHCC Value,42
Coreness Centrality,43
PE Values,44
H Values,45
Gravity Index Centrality,46
Gravity Model Centrality,47
LGC Scores,48
MCGM Values,49
Laplacian Centrality,50
