Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.2857142857142857,0.25,0.25,0.42857142857142855,0.6666666666666666
10,0.2127659574468085,0.25,0.42857142857142855,0.4375,0.5384615384615384
15,0.24193548387096775,0.36363636363636365,0.42857142857142855,0.48,0.6666666666666666
20,0.3225806451612903,0.42857142857142855,0.5384615384615384,0.5428571428571428,0.9047619047619048
25,0.4032258064516129,0.5151515151515151,0.5625,0.625,0.7857142857142857
30,0.5,0.5641025641025641,0.6944444444444444,0.6739130434782609,0.6944444444444444
35,0.5967741935483871,0.7560975609756098,0.8947368421052632,0.6981132075471698,0.6744186046511628
40,0.6935483870967742,0.8043478260869565,0.8863636363636364,0.7288135593220338,0.6470588235294118
45,0.7741935483870968,0.8235294117647058,0.86,0.7741935483870968,0.7090909090909091
50,0.8548387096774194,0.9074074074074074,0.8727272727272727,0.8548387096774194,0.8571428571428571
55,0.9354838709677419,0.9354838709677419,0.9322033898305084,0.9354838709677419,0.9
60,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
