Node,Relative Closeness
2,0.3885108238500678
27,0.3885108238500678
24,0.5958123602344377
25,0.2916017029893727
29,0.3234734756514227
3,0.49161832267488775
4,0.2916017029893727
18,0.45221144935990026
20,0.25834529770347575
16,0.4254763391210855
17,0.45221144935990026
12,0.734791684661452
13,0.6683806183975465
31,0.4013614788002259
32,0.4206432173128513
7,0.4206432173128513
8,0.6936385419724957
9,0.7858116299587361
5,0.31118481287254784
28,0.31118481287254784
30,0.32971995726939757
10,0.46751956128526456
21,0.8104091681969292
14,0.45721298523383785
1,0.2512977355496423
26,0.2512977355496423
19,0.25834529770347575
6,0.36398023807350316
23,0.2512977355496423
15,0.460692857783856
22,0.4452971094858293
11,0.538847833757614
