LGC Scores,Local Gravity Model Centrality,H Values,Density Centrality,HVGc Index,Gravity Model Centrality,MCGM Values,Subgraph centrality,Laplacian Centrality,GGC Values,EIGSM Values,DIL Centrality,Local-Global Centrality,Constraint Coefficients,Extended Coreness,PE Values,Centrality Values,Semi local centrality,EHCC Value,Gravity Index Centrality,Extended Improved Gravity Index Values,Improved Gravity Index Values,CLC Values,Coreness Centrality,MDD Value,Average Spreading Ability
0.0029340802807225116,0.016606454558884754,0.00040063828339884685,0.04165634492839962,0.002519099205901168,0.06167208309357263,0.007280058656971927,1.946408181768466e-05,0.06274217585692995,0.018195005044427868,0.05181527314491637,0.021574451590934216,0.1360378135422146,0.9474221943399295,0.033675110574989946,0.06038158706896089,0.04799057617468194,0.01643691430123591,0.040872597957046765,0.03694070118154902,0.013204527979753258,0.031325682434981565,0.016434634043692654,0.10562180579216354,0.234375,0.07078039927404718
6.326639927598982e-05,0.0005707839213526908,5.687850525899099e-06,0.001342911902441918,7.68986782558308e-05,0.004297225060739186,0.00039910482581373045,4.0114652922531126e-07,0.004769001490312966,0.00045473100939472376,0.007010080005904326,0.00024755528299657013,0.010977050438140332,0.5283564982205091,0.007438681141938078,0.006028827883872106,0.004706709734597213,0.004138937932907782,0.005084568904077819,0.005174465259138327,0.0015541319385730641,0.0053548175102532585,0.0031407752217626882,0.01192504258943782,0.019886363636363633,0.009074410163339382
0.0005657265711283327,0.0034247035281161444,0.00013102319549540908,0.006714559511717872,0.0008233913312843316,0.017926721086685082,0.0022254355875398635,9.893206996230224e-06,0.014456035767511177,0.003106188490069152,0.02079645685848315,0.0027599582425813494,0.03992009252330649,0.8130004107881234,0.019702452754322475,0.022933822598342375,0.018866339554923717,0.009839739236724161,0.016967255146125706,0.020670190099338664,0.007780125612756963,0.02305005537368107,0.008130385177896483,0.04258943781942078,0.078125,0.0323049001814882
0.00031079119997126696,0.004096214023825193,2.59711742845861e-05,0.007914053638495478,0.000770147993512569,0.014665251976458864,0.0018313372989789826,1.924593958488612e-06,0.01639344262295082,0.002703182235033713,0.018494701477623044,0.0029630594252888923,0.03822797502416608,0.809344644111377,0.020707679935665458,0.019018408192248336,0.015519945012598714,0.009248947439902212,0.01416565732984174,0.02111292509477296,0.00501951915708565,0.01925300295731967,0.007641842356254681,0.04770017035775128,0.08380681818181818,0.0323049001814882
8.863756897984387e-05,0.0009535449039068482,7.141909416965006e-06,0.0021773425988104635,0.0001512452803754568,0.0056407058743284545,0.0005306940310831944,5.065815809175339e-07,0.006408345752608048,0.0009700329212845436,0.008427168775158263,0.0006065651431749998,0.015033903114816208,0.7418410820060304,0.009549658222758344,0.007994507457391758,0.005742131796248139,0.004977590655982615,0.005677943867042657,0.006115277124436204,0.0021319833210491513,0.006133700057199187,0.0044693928883492474,0.017035775127768313,0.03409090909090909,0.017059891107078035
0.0014777064181827925,0.009011670852415422,0.00020017849251637812,0.01745785473059759,0.002760128812797466,0.028637427984277947,0.004980409075206077,1.0891833845340226e-05,0.027868852459016394,0.01143172342255628,0.035192519901448345,0.01447704215994869,0.06152229259302321,0.9051733240744958,0.038801769199839166,0.040387559549419076,0.03168288724700796,0.021234551134048624,0.028003438969087236,0.041810786131326265,0.013994932290705284,0.04218135793304044,0.020275014970980453,0.07325383304940375,0.11789772727272728,0.03629764065335753
6.690266928659929e-05,0.00044319692716797166,2.912832412268462e-06,0.0008474686762426016,9.257783489622418e-05,0.002493900951414708,0.00033766674712866745,3.4881617382934564e-07,0.005067064083457525,7.349686109956619e-05,0.005301383980157534,5.485600020728547e-05,0.006116178741263842,0.42878570223420864,0.009047044632086852,0.005930971346974996,0.004576891039048872,0.004244193942686405,0.004778225938823192,0.005451174631284761,0.0017890588595201554,0.005744258783726222,0.0016396084379202065,0.01192504258943782,0.014204545454545454,0.013793103448275855
4.0545218243213925e-05,0.00015444741401308103,1.2766227423293407e-06,0.00029987353153049516,2.2273944982175605e-05,0.0009982813574120558,0.00013241590097561674,1.6054743950089248e-07,0.003427719821162444,0.0002534379308936916,0.0031917718871420555,0.0,0.0018127077786459162,0.0,0.0061318858061922,0.003371972387151167,0.0024981159337423113,0.0031950292000543254,0.003013562009251822,0.0020199784166689727,0.0011040704746341314,0.002287967481653665,0.0033924747946729684,0.0051107325383304945,0.0,0.007622504537205081
6.562466403721158e-05,0.0006312198659665051,3.6598334916169607e-06,0.001342911902441918,0.00010548697476358295,0.0039037034795756666,0.0004905738597059755,3.4701548119610773e-07,0.005216095380029807,0.00044183103965700376,0.006454155621116364,0.00032435368328676976,0.010360728171370867,0.5818012931626704,0.00854443104141536,0.006474578846733708,0.005150739967491599,0.004322287111231835,0.005607289129475618,0.00824593928996375,0.001817886888281062,0.008166096703136219,0.003280269353471325,0.015332197614991482,0.028409090909090905,0.011978221415607983
5.0188259766839896e-05,0.00036261566768288586,2.1290414811544834e-06,0.0007692407984734168,4.932295993541681e-05,0.0024310623545655123,0.00028911009844182845,2.4396787191067327e-07,0.004172876304023845,6.469323926641236e-05,0.004810719028179083,5.485600020728547e-05,0.006071601673812054,0.2904579983371173,0.006936067551266587,0.005053765997429072,0.0038728212037450207,0.0035243786500067905,0.004270738398405033,0.00456570464041617,0.001297691563326789,0.004941036157188233,0.0013584388236649817,0.008517887563884158,0.014204545454545454,0.009074410163339382
