Centrality Values,Degree Centrality,Laplacian Centrality,EHCC Value,LGC Scores,Semi local centrality,I-GSM Values,Societal Capital Scores,Global Relative Change in Avg Degree,DIL Centrality,Second order centrality,HCC Value,Extended Improved Gravity Index Values,Eigenvector Centrality,Improved Gravity Index Values,Node H-Index,Constraint Coefficients,Leverage Centrality,Volume Centrality,Global Relative Change in Avg Clustering,Density Centrality,P Value,MCGM Values,Clustering Coefficient,H Values,Average Spreading Ability
0.02749076567999081,0.06250003553124903,0.034482758620689655,0.031836238912814355,0.0028813882798717104,0.03646973012399708,0.17791740390637661,0.08450704225352113,0.028347004139269535,0.008091312920437525,0.6971759212390214,0.1173704980041884,0.026920551543007223,4.783675553086104e-07,0.09659090909090909,0.25,0.5472908992669977,0.4001593204423112,0.08235294117647059,0.018514810618705305,0.013925729442379308,0.14201183431952663,0.007179769264037988,0.0,5.6337325104834295e-08,0.08979763912310287
0.030927111389989662,0.06250003553124903,0.024630541871921183,0.04437985337908373,0.0022514240140516168,0.026987600291757844,0.1642046208327756,0.05633802816901409,0.028347004139269535,0.007622251303034091,0.6892534971773882,0.09377885994951415,0.03151674326986211,9.467709564132934e-07,0.08238636363636363,0.25,0.5472908992669977,0.47026022305174753,0.08823529411764705,0.1767854663738801,0.011273209549386726,0.1242603550295858,0.006163225966459986,0.0,1.1138498386996052e-07,0.08979763912310287
0.08247229703997241,0.24999999999999997,0.10837438423645321,0.07657554366777795,0.011958459597722819,0.06637490882567469,0.24555579988252135,0.16901408450704225,0.22267762218375203,0.06660674982607802,0.7732490067640807,0.2129963899698607,0.07140512147078135,1.3434189428806634e-06,0.14204545454545453,0.25,0.8756654388271963,0.8017790755122507,0.12352941176470589,0.018514810618705305,0.07957559683145995,0.24260355029585798,0.021285245324989877,0.0,3.5584583269911534e-07,0.18381112984822937
0.06122943265088861,0.12499999999999997,0.06896551724137931,0.10762470795769287,0.01051233473135748,0.07804522246535375,0.24353870832252733,0.15492957746478875,0.09312384536686971,0.015579546618499205,0.7461749937380039,0.3829233481304029,0.06730137885751805,4.0661382871742664e-06,0.16761363636363635,0.25,0.5912093049934591,0.5043370510669192,0.1588235294117647,0.12774610744686266,0.03249336870166388,0.5798816568047337,0.014931858473930368,0.333333333,7.152091428484484e-07,0.17748735244519392
0.03754988675835108,0.06250003553124903,0.0394088669950739,0.05737588080345145,0.00451526111708491,0.04741064916119621,0.2013062370680792,0.09859154929577466,0.028347004139269535,0.008677639944830291,0.7212712157683036,0.17420871499012458,0.03775443204202232,1.1361255228173142e-06,0.125,0.25,0.5472908992669977,0.33882103050570855,0.12352941176470589,0.1767854663738801,0.015251989388875599,0.23668639053254437,0.008704750866371517,0.0,1.3366199167693387e-07,0.09780775716694773
0.015682232240176574,0.0,0.014778325123152709,0.019001344824859163,0.00125217035102664,0.024799416484318017,0.15538464126384272,0.04225352112676056,0.0,0.0,0.6300714558995103,0.06179162129331081,0.015758371634931052,2.8104016505599936e-07,0.02698863636363636,0.0,0.0,0.12267657987320518,0.058823529411764705,0.018514810618705305,0.001989389915576192,0.07692307692307691,0.0019061373124069397,0.0,1.653182957605825e-08,0.05143338954468802
0.04254820779107668,0.06250003553124903,0.0394088669950739,0.057902663050713725,0.004651805095883354,0.053245805981035746,0.2680709100179004,0.09859154929577466,0.028347004139269535,0.008677639944830291,0.7524365090019367,0.17420871499012458,0.04202232435981615,1.4689909184959612e-06,0.12784090909090912,0.25,0.5472908992669977,0.33882103050570855,0.12941176470588237,0.018514810618705305,0.015251989388875599,0.23668639053254437,0.00883186779664971,0.0,1.7293987386291318e-07,0.16104553119730186
0.0621978573509792,0.12499999999999997,0.07389162561576355,0.07233649609554657,0.011837431980151471,0.08971553610503281,0.3116143109496093,0.16901408450704225,0.09312384536686971,0.026468477048892228,0.7732765712895693,0.21610276226107722,0.05761654629021667,3.0695353061004737e-06,0.19034090909090912,0.25,0.7297211993875241,0.5145600989807644,0.18823529411764706,0.026428343406464043,0.038461538465065434,0.24852071005917156,0.016202504525453805,0.0,4.50229997354976e-07,0.1340640809443508
0.06778972900634096,0.12499999999999997,0.06896551724137931,0.11356185352602649,0.011145402269422993,0.07804522246535375,0.2485205662796071,0.15492957746478875,0.09312384536686971,0.015579546618499205,0.7524464996798743,0.3829233481304029,0.07124097176625083,4.1060024064172186e-06,0.17613636363636365,0.25,0.5912093049934591,0.5043370510669192,0.17647058823529413,0.12774610744686266,0.03249336870166388,0.5798816568047337,0.015408399862325088,0.333333333,7.210715133239677e-07,0.22386172006745364
0.1531019811813838,0.31250003553124905,0.19704433497536944,0.2575655224264994,0.04842811502588905,0.19474835886214442,0.3767189126717463,0.35211267605633806,0.28745446341135217,0.05578831824879892,0.8113658115438968,0.566703047732339,0.17104399212081417,1.447067340958467e-05,0.30113636363636365,0.5,0.7433865802828842,0.6899008672701168,0.2411764705882353,0.570903943561352,0.124005305043254,0.7396449704142012,0.04352620929396649,0.266666667,5.106124629012404e-06,0.32546374367622266
