feature,score,rank
Constraint Coefficients,3.916559559269395e-05,1
Degree Centrality,0.00011250018437625187,2
Global Relative Change in Avg Degree,0.00014280090593699057,3
K-Shell Value,0.0002260813123184935,4
Clustering Coefficient,0.0005201370180564213,5
Isolating Centrality,0.0007199384487981408,6
DIL Centrality,0.0008673949111703827,7
DNC Scores,0.0009653827889626321,8
Density Centrality,0.0011868531144954009,9
Subgraph centrality,0.0015443495912171867,10
Local-Global Centrality,0.0029816413822434384,11
Local Gravity Model Centrality,0.003191519832951406,12
Gravity Model Centrality,0.003508736700202242,13
MCGM Values,0.003526249108301016,14
LGC Scores,0.0038011036752123584,15
HVGc Index,0.004253360220556113,16
GGC Values,0.004565971533694979,17
Laplacian Centrality,0.004839336194069843,18
Gravity Index Centrality,0.005035173149253724,19
H Values,0.00576417598504142,20
MDD Value,0.006046709927315708,21
Node H-Index,0.006483236081126109,22
EIGSM Values,0.006580201167536326,23
Coreness Centrality,0.006846153723707449,24
PageRank Centrality,0.006909091822190017,25
Improved Gravity Index Values,0.008639597811622712,26
Extended Degree,0.008792139920992148,27
Societal Capital Scores,0.010425011892000069,28
EHCC Value,0.010830207834295336,29
Semi local centrality,0.011519732500706925,30
Extended Improved Gravity Index Values,0.011695506299321146,31
PE Values,0.011792566486763745,32
I-GSM Values,0.011803545281551142,33
Centrality Values,0.012104267756962828,34
Extended Coreness,0.012233323799479057,35
CLC Values,0.012266293156186325,36
GSM,0.013410034664888881,37
Clustered Local Degree,0.01344641745722197,38
H-GSM_1,0.01384974440441089,39
GIN Values,0.013971405984413265,40
HCC Value,0.014956601633258848,41
Second order centrality,0.017532573136510576,42
Volume Centrality,0.019485302628558188,43
Closeness Centrality,0.020349065705528746,44
Leverage Centrality,0.022782745647866087,45
P Value,0.024970961787551094,46
Eigenvector Centrality,0.030072282557667807,47
Global Relative Change in Avg Clustering,0.032556266734089845,48
Betweenness Centrality,0.06008946672196158,49
Eccentricity Centrality,0.06011032392576798,50
