Leverage Centrality,Constraint Coefficients,Clustering Coefficient,Global Relative Change in Avg Clustering,Second order centrality,Eccentricity Centrality,DIL Centrality,Volume Centrality,PageRank Centrality,Closeness Centrality,P Value,DNC Scores,HVGc Index,PE Values,HCC Value,GSM,Global Relative Change in Avg Degree,Centrality Values,Clustered Local Degree,CLC Values,Degree Centrality,Subgraph centrality,Extended Improved Gravity Index Values,EHCC Value,GIN Values,Average Spreading Ability
0.694523131048116,0.7759262417424391,0.3296874995308288,0.11801914176865609,0.7701851661154093,0.19999999880000008,0.34045049663960647,0.8778625954198473,0.3235920150006634,0.4831829253061739,0.6875,0.3156606886262363,0.1340736758088912,0.3393167554404305,0.5082939822907436,0.45934279689956126,0.2608695643759114,0.3375090215216965,0.3829392969890527,0.27063014823689574,0.31999999993440004,0.08428022094939398,0.28448243924125666,0.3102801258573013,0.357417276562019,0.5680000000000001
0.5290980011648071,0.6644499732627661,0.6082589279945285,0.0429014696885424,0.6740607533323077,0.19999999880000008,0.10377132197952266,0.8893129770992366,0.19719860455419963,0.44945385274585914,0.625,0.18652267567762007,0.06210649555683101,0.21508470352559989,0.4317714010045313,0.39975816516534357,0.13043478541362857,0.20563568094172854,0.3257416703359219,0.16561372009777217,0.19999999934400003,0.03999827073913241,0.18210951393005334,0.20714072603706388,0.2918077034288064,0.2864
1.0,1.0,0.0,0.12355350316495288,0.9999999999999999,0.5,1.0,0.9045801526717557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9536
0.09561046659176575,0.6465134450759684,1.0,0.01456292397820858,0.6174080574600446,0.5,0.0286312729382521,0.931297709923664,0.041443843950723175,0.4949201854323195,0.75,0.05026181401651822,0.059579308518159506,0.1556548216634217,0.48189853510127856,0.3786615084371452,0.0,0.14977860438056917,0.37380191696276377,0.12519252075957085,0.0800000003936,0.06218320787106853,0.2159065649081209,0.19285264380238712,0.26306205959311896,0.272
0.4958284032785912,0.7492056874157418,0.7714843744349593,0.012959632576347987,0.7976197505048057,0.5,0.12019602027092749,0.9122137404580153,0.23287631159475575,0.5577007602992379,0.875,0.26638401792966815,0.22565176348236946,0.3328100685645206,0.647293861154511,0.5723310781277836,0.2173913068722657,0.3329167417314671,0.6429392971759536,0.2637370234492837,0.27999999973760004,0.22625726138659144,0.43745368998221695,0.39006795943555606,0.3908178878538779,0.4608
0.7656317210055944,0.9065348109533004,0.33461626758393975,0.030926040740299955,0.9278319348205857,0.5,0.45866837095387725,0.931297709923664,0.5478788602897692,0.7611786038452137,1.0,0.5843628825324542,0.6739375111367512,0.6546794877543541,0.8785567257720536,0.8378787683528099,0.5652173927068143,0.6564660085417723,0.9332954333077712,0.62713595516804,0.599999999672,0.7095894582767642,0.8223455097806757,0.7489872370278052,0.6597849419496782,1.0
0.6591662736248645,0.8569315524697771,0.43909801122316744,0.08726993227766337,0.8445797312118108,0.5,0.2773205179454079,0.9274809160305343,0.4170132070102499,0.6433962410620153,1.0,0.389208411384401,0.34722212740900127,0.4126168533313768,0.7632885338155682,0.6688587603103391,0.34782608583454855,0.40755471902434104,0.6818486784985502,0.4111106031703421,0.400000000328,0.33058263471578253,0.5536362625963248,0.47704293063418296,0.4760015055531936,0.624
0.37841209683588867,0.14366488748915818,1.0,0.04425626608721488,0.3305552757852259,0.19999999880000008,0.01431563646912605,0.4541984732824428,0.05501498022022738,0.24784135763327242,0.1875,0.042419482203901834,0.0029002311864645986,0.04294234294746152,0.10606610958161257,0.20353282080661805,0.010351964843468838,0.046997703508318424,0.03738019169627638,0.02357916337900087,0.040000000196800015,0.003924865158176163,0.05810054831061054,0.04670313277476614,0.1252423622660458,0.004799999999999971
0.5908724652533562,0.8653067667843328,0.5014204538112184,0.15533813526273973,0.8776719595149626,0.5,0.5866095920488307,0.9274809160305343,0.3581042412128186,0.6433962410620153,1.0,0.37432026753195713,0.4598750757837288,0.4706958604138346,0.7900472213573192,0.6930044757449776,0.34782608583454855,0.4686803193114843,0.7836247457878296,0.43730811747105575,0.400000000328,0.40688602906193594,0.6140893598103141,0.5434775401752855,0.4984902528131962,0.7312
0.6046144039291185,0.8424333975504146,0.5512784092527527,0.9999999999999998,0.8357565111378071,0.5,0.21566585005160793,0.931297709923664,0.3700999410608917,0.6282320185687806,1.0,0.3431702053948663,0.33840787118304483,0.39438985106428814,0.7529967309148947,0.6516118207141686,0.30434782833090285,0.3904541344356712,0.6969027010524682,0.37174703721780206,0.3600000001312,0.3228843029532416,0.5448651452282157,0.4562174706888382,0.45413765896489605,0.6255999999999999
