feature,score,rank
MCGM Values,0.0016930498967433483,1
Local Gravity Model Centrality,0.0017581867379472538,2
Laplacian Centrality,0.0017718842302427706,3
LGC Scores,0.0018907811913705386,4
Gravity Model Centrality,0.0020270538470035238,5
Extended Improved Gravity Index Values,0.0022322979352814576,6
H Values,0.002237927514811444,7
H-GSM_1,0.00226662326881788,8
PE Values,0.002322369086207532,9
Centrality Values,0.0023769001443111337,10
Density Centrality,0.0024591800349034187,11
EHCC Value,0.0024743176530878097,12
I-GSM Values,0.0024958305119345825,13
Extended Coreness,0.0025133702509576583,14
CLC Values,0.0025217519868032667,15
EIGSM Values,0.0025337384930641527,16
Semi local centrality,0.0025657819203507293,17
Eccentricity Centrality,0.002604421537849566,18
Extended Degree,0.0026331305369412528,19
Societal Capital Scores,0.0026563024677863645,20
Local-Global Centrality,0.002683522989548881,21
Coreness Centrality,0.0028007375076809504,22
Eigenvector Centrality,0.0028992518135184664,23
Improved Gravity Index Values,0.002907458992592482,24
Gravity Index Centrality,0.0029128663184492254,25
MDD Value,0.002992705904911075,26
Constraint Coefficients,0.003410741924252614,27
Degree Centrality,0.003499774125291122,28
Subgraph centrality,0.003534399583579262,29
HVGc Index,0.003643103333118791,30
GGC Values,0.004074312206223452,31
Clustered Local Degree,0.004199137900252947,32
DNC Scores,0.004241735131880864,33
HCC Value,0.0048333025900739734,34
Global Relative Change in Avg Degree,0.004894787617109042,35
Second order centrality,0.005550999399752565,36
GIN Values,0.005571408993596649,37
Node H-Index,0.005875156865316811,38
GSM,0.006719078435687642,39
K-Shell Value,0.0069204234544743,40
P Value,0.007654397051421791,41
PageRank Centrality,0.007713549928146657,42
Volume Centrality,0.013755905065462648,43
Closeness Centrality,0.013796486948346454,44
DIL Centrality,0.015146290081168745,45
Isolating Centrality,0.02506958497846512,46
Leverage Centrality,0.02871335696316213,47
Clustering Coefficient,0.03263154829065551,48
Betweenness Centrality,0.04388499884582142,49
Global Relative Change in Avg Clustering,0.09972679887363234,50
