Eccentricity Centrality,Centrality Values,Second order centrality,Closeness Centrality,Extended Improved Gravity Index Values,PE Values,Eigenvector Centrality,Volume Centrality,MCGM Values,EIGSM Values,H Values,Betweenness Centrality,P Value,GIN Values,I-GSM Values,HCC Value,EHCC Value,Improved Gravity Index Values,GSM,PageRank Centrality,LGC Scores,H-GSM_1,Semi local centrality,HVGc Index,Global Relative Change in Avg Clustering,Average Spreading Ability
0.1307189445896877,0.3484276729559749,0.23561592454837488,0.24973015202845583,0.3630136986301369,0.4806861783894758,0.002758865955041309,0.9285714285714284,0.07616965338290138,0.31861202265354494,0.0020607375274616802,0.21848739497440156,0.25,0.462393903813505,0.5055587857692454,0.2877906978655693,0.37470449169470854,0.75,0.47726661215515565,0.05266620096668162,0.42566037735849055,0.37475581125299806,0.625,0.3145969864086058,0.3690637685746453,0.5052631578947369
0.1307189445896877,0.3484276729559749,0.23561592454837488,0.24973015202845583,0.3630136986301369,0.4806861783894758,0.002758865955041309,0.9285714285714284,0.07616965338290138,0.31861202265354494,0.0020607375274616802,0.21848739497440156,0.25,0.462393903813505,0.5055587857692454,0.2877906978655693,0.37470449169470854,0.75,0.47726661215515565,0.05266620096668162,0.42566037735849055,0.37475581125299806,0.625,0.3145969864086058,0.3690637685746453,0.3842105263157898
0.06172840340192054,1.0,0.14676334603233165,0.12774984576087722,1.0,1.0,0.010402021906200033,0.357142857142857,0.2518520812978979,1.0,0.02108001591979137,0.35294117589594665,0.9999999999999999,0.47057835391010094,0.7366031960039532,1.0,1.0,0.7857142857142856,0.5717635182410379,1.0,1.0,0.8012068811986919,0.8125,0.9999999999999999,0.522388062056046,0.7578947368421052
0.29629630255144046,0.18364779874213844,0.46507791062956616,0.5079142246255495,0.14383561643835607,0.4015518284876589,0.0,0.357142857142857,0.012319313420334543,0.1275753118364158,0.0,0.33823529495087745,0.08333333333333333,0.4159595879519169,0.2159856359255352,0.0959302326218564,0.09338061456076163,0.25,0.5481464275421488,0.12503404774178906,0.13308176100628927,0.399115059194433,0.3125,0.09200983537333973,0.651289004080845,0.557894736842105
0.39682538710758375,0.17610062893081768,0.6132880112229282,0.6365690150990797,0.08904109589041087,0.32856256598837774,0.003603134200051164,0.357142857142857,0.005395726334429474,0.06580195323481619,0.0026913636563448366,0.8319327738480687,0.0,0.39866356079450016,0.10766230331669058,0.0,0.03900709222637194,0.1428571428571428,0.5879239584262574,0.15726846164533304,0.05660377358490565,0.41568452177923376,0.0625,0.09024049501053721,1.0,0.368421052631579
0.20833333245370378,0.7698113207547171,0.4018070579077113,0.3820449494723537,0.6438356164383561,0.8733090572046267,0.0040826272943488735,0.4285714285714284,0.12087698928763552,0.6494856048831077,0.008131201766937905,0.6302521005119696,0.16666666666666669,0.5159599973260738,0.48836968315451657,0.2674418605969444,0.3144208037923143,0.5,0.6473589917100537,0.5770179342480977,0.48100628930817607,0.6627632303866795,0.5625,0.5309416698262671,1.0,0.9999999999999998
0.29629630255144046,0.18364779874213844,0.46507791062956616,0.5079142246255495,0.14383561643835607,0.4015518284876589,0.0,0.357142857142857,0.012319313420334543,0.1275753118364158,0.0,0.33823529495087745,0.08333333333333333,0.4159595879519169,0.2159856359255352,0.0959302326218564,0.09338061456076163,0.25,0.5481464275421488,0.12503404774178906,0.13308176100628927,0.399115059194433,0.3125,0.09200983537333973,0.651289004080845,0.7894736842105263
0.06172840340192054,0.3427672955974844,0.09296568843335251,0.12290254531208933,0.5205479452054793,0.4577063992698298,0.6627511323082347,0.1428571428571428,0.5390671184776878,0.5113360973710874,0.6641221082007801,0.11764705928324272,0.9999999999999999,0.3143359632031535,0.39873184527604,0.8866279069701529,0.9243498818359239,0.4642857142857142,0.35746665111057796,0.5033237108473818,0.5064150943396226,0.43712312926075914,0.33333333333333326,0.4585118705287603,0.43419267747723445,0.3894736842105264
0.0,0.0,0.012003714598040283,0.0,0.18493150684931492,0.0,0.5330759409409782,0.0,0.27828013269435964,0.12454831917182929,0.39818167169884494,0.0,0.9999999999999999,0.0,0.0,0.7732558139403055,0.6749408983696745,0.17857142857142838,0.0,0.03562507769283352,0.17899371069182385,0.0,0.10416666666666674,0.14922253968613652,0.21709633873861722,0.5947368421052628
0.1307189445896877,0.1572327044025158,0.26056513597548814,0.25553465614920623,0.23972602739726012,0.2792361035965325,0.563587954064244,0.7142857142857142,0.4329601977227789,0.2018141291966009,0.42097265264591005,0.453781513540887,0.9166666666666666,0.44261705215910263,0.38012726803549457,0.715116278995065,0.6317966902917989,0.5357142857142856,0.4484391629711446,0.037574767926935815,0.29232704402515725,0.3522250158421063,0.20833333333333326,0.31659443878685345,1.0,0.5473684210526313
