feature,score,rank
Eccentricity Centrality,0.0,1
K-Shell Value,2.3964119092778624e-05,2
GSM,0.0006030500553356744,3
Improved Gravity Index Values,0.0007747393466390751,4
Gravity Index Centrality,0.0007938094072571511,5
H-GSM_1,0.0008420647985589724,6
Isolating Centrality,0.0009463907708184838,7
MDD Value,0.0015300117198147056,8
Second order centrality,0.001789119759892266,9
MCGM Values,0.001806784648638038,10
Leverage Centrality,0.0018719909009793367,11
DNC Scores,0.002014654289604234,12
PageRank Centrality,0.002015314642293431,13
Volume Centrality,0.002020242071630207,14
Degree Centrality,0.0020202422491979455,15
Global Relative Change in Avg Degree,0.0020202432938980497,16
Centrality Values,0.0020202629147979545,17
PE Values,0.0020248599217084218,18
CLC Values,0.0020647318895422595,19
Eigenvector Centrality,0.0020988265210034607,20
Coreness Centrality,0.0021002397583675947,21
Extended Coreness,0.002100701588766296,22
Extended Degree,0.0021056703584924064,23
Societal Capital Scores,0.002106163131105565,24
Semi local centrality,0.002107162575881061,25
Laplacian Centrality,0.0021510892918228386,26
Local-Global Centrality,0.0021618579093887202,27
Density Centrality,0.002191809585230131,28
Extended Improved Gravity Index Values,0.0021937968326186663,29
EHCC Value,0.002205788405088449,30
Gravity Model Centrality,0.002224072181156611,31
EIGSM Values,0.0022289845309954037,32
Local Gravity Model Centrality,0.0022655769545329996,33
GIN Values,0.002290239308796904,34
GGC Values,0.002312901364114106,35
H Values,0.002338025789225484,36
I-GSM Values,0.0023443183569862303,37
Closeness Centrality,0.0023479781174305936,38
LGC Scores,0.0023563281100811295,39
Clustered Local Degree,0.002361482619617661,40
Subgraph centrality,0.0023846168192498407,41
Node H-Index,0.0025951931757033364,42
Global Relative Change in Avg Clustering,0.003726499268245309,43
HVGc Index,0.004046208794064254,44
Constraint Coefficients,0.007173085150059211,45
Betweenness Centrality,0.008850348794397611,46
Clustering Coefficient,0.00996886567809474,47
HCC Value,0.01968174662899913,48
P Value,0.02753186516858297,49
DIL Centrality,0.03909903721996155,50
