MDD Value,GIN Values,Laplacian Centrality,Extended Degree,Semi local centrality,Global Relative Change in Avg Degree,PageRank Centrality,GSM,Gravity Index Centrality,Second order centrality,HCC Value,Eccentricity Centrality,Local-Global Centrality,Subgraph centrality,EIGSM Values,Volume Centrality,Improved Gravity Index Values,DNC Scores,LGC Scores,EHCC Value,Eigenvector Centrality,Extended Improved Gravity Index Values,Density Centrality,Closeness Centrality,MCGM Values
3.7,129.9392903,70,12.4,509,0.007084566,0.013735111,86.21472643,64.5,-271.5615175,0.610767114,0.166666667,3.17267108,15.03317082,234.064653,75,112.5,6.053968254,57050,3.422428621,0.009029187,790.25,8.272727273,0.004385965,1.169369211
2.0,107.07777,26,5.2,179,0.004394225,0.008181275,73.28817338,19.0,-364.5719791,0.217234262,0.166666667,1.339519653,4.38899304,92.55305282,36,33.0,3.0,8463,1.520811834,0.002886522,267.75,1.909090909,0.00390625,0.281090301
10.8,252.1284244,434,47.8,2754,0.070217918,0.039370486,150.3308772,431.25,-133.5833402,1.478500172,0.2,19.11281286,290.8996699,1305.156581,235,657.5,25.05714286,1568259,17.52270382,0.117959505,6054.5,95.45454545,0.006756757,19.37700848
5.0,191.6349254,140,25.0,1664,0.012823962,0.013229522,126.8495618,276.25,-201.5926847,1.174406605,0.2,5.330773815,109.4735636,691.602264,216,476.25,7.428571429,398370,8.521327829,0.082266116,3816.75,16.70454545,0.005882353,7.901170549
4.9,155.7350538,120,17.0,554,0.024302753,0.023682132,105.3317267,128.0,-243.7755557,0.581011352,0.2,6.420848005,23.65239084,332.0336992,87,183.0,11.56666667,117000,4.214654283,0.015084923,1195.0,19.48863636,0.005181347,2.636958455
3.0,127.4007728,46,8.6,287,0.001345171,0.01162063,88.81723742,53.25,-318.1460164,0.352253182,0.2,2.34756442,7.54045433,148.984071,59,82.5,4.195238095,24955,1.978156175,0.008041077,484.5,4.772727273,0.004524887,0.836154432
7.9,202.3938883,258,35.6,2142,0.04152094,0.026867343,133.3551296,347.5,-169.5367541,1.432404541,0.2,10.73226279,289.7631276,967.5012493,173,493.75,16.06103896,767808,12.91400069,0.157692048,5555.5,44.54545455,0.005494505,15.66060713
5.4,185.7749315,146,24.4,1506,0.018563358,0.016495461,126.4531006,290.0,-200.1774975,1.162710698,0.2,6.255987911,117.0438062,656.5668201,198,442.5,9.157936508,387849,9.181630547,0.096927995,3470.75,22.43181818,0.005681818,9.226498204
6.5,206.6862778,204,31.2,1915,0.030042149,0.022520029,132.2558508,313.75,-174.0587128,1.25627795,0.2,8.967658893,138.5038515,829.7409204,220,522.5,11.80952381,616488,10.34709322,0.088130738,4238.0,34.36363636,0.006097561,10.47822576
9.6,254.1125059,388,53.6,3702,0.052999731,0.026483137,168.7446905,818.0,-143.876362,1.748538012,0.25,15.24844389,1004.691587,1643.188109,238,1172.0,20.80646576,1781696,20.62865497,0.302667749,10999.75,66.81818182,0.006711409,36.90446978
9.6,254.1125059,388,53.6,3702,0.052999731,0.026483137,168.7446905,818.0,-143.876362,1.748538012,0.25,15.24844389,1004.691587,1643.188109,238,1172.0,20.80646576,1781696,20.62865497,0.302667749,10999.75,66.81818182,0.006711409,36.90446978
10.8,299.3853857,540,69.0,4715,0.070217918,0.033504947,186.4029205,996.0,-109.9048312,1.964912281,0.25,21.48061719,1149.813676,2030.263271,294,1488.0,24.90603286,2988900,24.7002064,0.322243126,12912.0,109.7727273,0.007751938,47.87204854
8.0,230.217994,268,44.0,3172,0.030042149,0.017552779,158.5463544,710.0,-164.4496473,1.619883041,0.25,9.58440988,717.3033246,1359.12131,239,1066.0,13.09333444,1141010,15.78362573,0.256074476,9724.0,35.63636364,0.006451613,27.1492227
14.7,315.0425922,762,72.6,4655,0.104654291,0.050445614,191.8798047,1062.0,-113.2633003,2.0,0.25,30.25722074,1464.63116,2229.39813,251,1402.0,35.49889,3891534,29.36085311,0.364397571,13797.5,170.3863636,0.007462687,58.79595042
6.5,218.8865095,216,33.6,2153,0.030042149,0.020859918,143.1765547,377.5,-159.5140969,1.379600963,0.25,9.524785746,204.1127041,916.630836,255,588.75,12.15054945,743040,11.79205366,0.132914219,5098.25,38.81818182,0.006756757,14.61142019
7.3,188.5788054,220,28.0,1289,0.04152094,0.029480167,119.2766041,204.0,-172.5980552,0.938940488,0.2,10.59483953,66.11612574,631.4033408,149,314.0,16.19047619,409970,8.923632611,0.030129071,2302.25,44.54545455,0.005747126,5.73955458
2.0,149.6371855,56,11.2,610,0.004394225,0.007080768,98.99577995,54.5,-313.8410141,0.657894737,0.2,1.799162112,12.60290345,233.7005875,133,104.0,2.492063492,75348,3.075335397,0.01594317,971.5,4.136363636,0.005154639,1.159326678
8.0,230.217994,268,44.0,3172,0.030042149,0.017552779,158.5463544,710.0,-164.4496473,1.619883041,0.25,9.58440988,717.3033246,1359.12131,239,1066.0,13.09333444,1141010,15.78362573,0.256074476,9724.0,35.63636364,0.006451613,27.1492227
5.0,191.6349254,140,25.0,1664,0.012823962,0.013229522,126.8495618,276.25,-201.5926847,1.174406605,0.2,5.330773815,109.4735636,691.602264,216,476.25,7.428571429,398370,8.521327829,0.082266116,3816.75,16.70454545,0.005882353,7.901170549
4.4,141.1221648,74,11.8,381,0.012823962,0.018388284,97.70284975,89.0,-291.1001668,0.481424149,0.2,4.256467218,14.92288954,230.8049442,66,132.0,7.628571429,51874,2.911420709,0.008599943,872.25,9.943181818,0.004975124,1.432145926
1.0,97.69800044,12,2.6,78,0.01013362,0.005470219,69.15548983,8.0,-501.3933657,0.093911249,0.166666667,0.623239498,2.013139353,38.96952754,26,10.25,1.6,2058,0.575335397,0.00092582,132.0,0.636363636,0.003802281,0.092578819
9.3,244.201314,344,44.8,2866,0.052999731,0.029850301,151.412135,438.75,-130.7888053,1.472824217,0.2,15.15717919,330.924738,1296.354162,256,672.5,19.58467643,1328012,16.79927761,0.153557548,6902.25,70.63636364,0.006849315,20.15217857
9.7,268.1202047,434,58.2,4020,0.058739127,0.029320565,173.4661424,864.0,-125.8757168,1.812865497,0.25,17.2045676,1035.404813,1781.053026,257,1270.0,21.61183261,2110976,21.57241142,0.308520428,11601.25,79.625,0.007042254,40.08794299
7.8,235.5698893,294,46.2,3313,0.035781544,0.019808095,161.3792255,740.0,-156.3018966,1.649122807,0.25,10.92391199,773.6659373,1430.683656,238,1088.0,14.98777889,1272726,16.9876161,0.266049349,10124.5,42.23863636,0.006493506,29.29895654
8.0,230.217994,268,44.0,3172,0.030042149,0.017552779,158.5463544,710.0,-164.4496473,1.619883041,0.25,9.58440988,717.3033246,1359.12131,239,1066.0,13.09333444,1141010,15.78362573,0.256074476,9724.0,35.63636364,0.006451613,27.1492227
