feature,rank
Constraint Coefficients,1
Subgraph centrality,2
Degree Centrality,3
DNC Scores,4
HCC Value,5
Local-Global Centrality,6
Centrality Values,7
Semi local centrality,8
Volume Centrality,9
GIN Values,10
Extended Improved Gravity Index Values,11
Betweenness Centrality,12
Isolating Centrality,13
Leverage Centrality,14
PageRank Centrality,15
HVGc Index,16
Node H-Index,17
MDD Value,18
K-Shell Value,19
Global Relative Change in Avg Degree,20
P Value,21
I-GSM Values,22
Clustered Local Degree,23
LGC Scores,24
EHCC Value,25
Coreness Centrality,26
Closeness Centrality,27
DIL Centrality,28
Gravity Index Centrality,29
H-GSM_1,30
Density Centrality,31
Extended Coreness,32
GSM,33
Laplacian Centrality,34
Extended Degree,35
Local Gravity Model Centrality,36
Improved Gravity Index Values,37
Eccentricity Centrality,38
Second order centrality,39
Gravity Model Centrality,40
Societal Capital Scores,41
GGC Values,42
PE Values,43
EIGSM Values,44
MCGM Values,45
Eigenvector Centrality,46
H Values,47
