H Values,Local Gravity Model Centrality,GIN Values,Gravity Index Centrality,Clustered Local Degree,K-Shell Value,CLC Values,DIL Centrality,Subgraph centrality,PE Values,P Value,GGC Values,Isolating Centrality,Betweenness Centrality,Volume Centrality,HVGc Index,Global Relative Change in Avg Clustering,Global Relative Change in Avg Degree,GSM,Improved Gravity Index Values,PageRank Centrality,H-GSM_1,Constraint Coefficients,Closeness Centrality,Clustering Coefficient,Average Spreading Ability
2.945252811321019e-05,0.00022674247352728644,0.13192324076610076,0.004178845237984069,0.01758555912633069,0.07999999999999999,0.0022711991895160745,0.0005597760710541859,1.4198464771066544e-05,0.0147198940339159,0.09302325581395349,0.0003231547314713997,0.0,0.0,0.16340343243896543,4.9932950175406626e-05,0.03133214370791484,0.02269413345576997,0.19048904541293737,0.0064043742982986445,0.04315781133395296,2.038948058071072e-07,0.37263334386155667,0.28229866958524263,1.0,0.003988035892323036
2.945252811321019e-05,0.00022674247352728644,0.13192324076610076,0.004178845237984069,0.01758555912633069,0.07999999999999999,0.0022711991895160745,0.0005597760710541859,1.4198464771066544e-05,0.0147198940339159,0.09302325581395349,0.0003231547314713997,0.0,0.0,0.16340343243896543,4.9932950175406626e-05,0.03133214370791484,0.02269413345576997,0.19048904541293737,0.0064043742982986445,0.04315781133395296,2.038948058071072e-07,0.37263334386155667,0.28229866958524263,1.0,0.022931206380857425
0.0003671787231087902,0.0010510679146685429,0.200857466841783,0.01569284787135693,0.03919067462439411,0.07999999999999999,0.013148586034588189,0.002636036407836781,0.0002814210409514739,0.028225956778927815,0.17674418604651165,0.003390805023143994,0.0,0.003646771932063172,0.5443558133913463,0.0006075183090560733,0.0022636817483297983,0.007564711151923321,0.27583278619848495,0.020694792296398656,0.06975223797210761,3.3412890671545304e-07,0.6403839070485307,0.39259723893873977,0.6,0.01794616151545364
0.017706137898545644,0.04067378539142744,0.3562753180242195,0.12717696825945257,0.18537604912908404,0.32,0.1735131745304769,0.23399710344599742,0.018178421041160568,0.1329724600460272,0.6837209302325581,0.10644706532086093,0.020480225988700564,0.8164423738994969,0.9485134155184917,0.03339483015635922,0.9999999999999999,0.1678818855273598,0.4604591902194046,0.1437786078245099,0.48030681601009667,0.00010900959932331657,0.9607206608738241,0.6271734728602342,0.120689655,0.15852442671984046
0.0004233470953290114,0.0017715580174655278,0.20468807474973075,0.015930972013409657,0.03196803426893686,0.07999999999999999,0.019207515540625636,0.011180325479563007,0.00029874237059156547,0.03245414369353206,0.17674418604651165,0.011022311750336394,0.005649717514124294,0.07489117325402304,0.5441140923374426,0.0007407262254542054,0.038977444646690944,0.009022967371102213,0.2773664470875066,0.020808144053890667,0.1369287588217014,3.463109195500826e-07,0.815978095895165,0.3964084702291507,0.25,0.06281156530408773
0.2586966782010844,0.2599274000267005,0.5956254578645255,0.591491030657316,0.7127219966064211,0.9199999999999999,0.5080634613985359,0.4355985745605749,0.28254847644591136,0.43207645281459367,0.9302325581395349,0.2511366319488899,0.04025423728813559,0.44558696785645074,1.0,0.40536541853981134,0.14397377556417668,0.37969376571294844,0.7082973830621836,0.6868468779687366,0.4471692822589767,0.004102513851563512,0.9838353717297048,0.8019315627341604,0.320175439,0.4506480558325025
1.9207187634793043e-05,0.00012290713518301507,0.1304304191271032,0.002661387470001027,0.014570891847531143,0.04,0.0018679805356711327,0.00027988803552709293,1.1230043718400285e-05,0.01150853820935384,0.06976744186046512,0.00020825708794801388,0.0,0.0,0.16364515349286923,2.9616827489897146e-05,0.14083526442472288,0.030258844607693288,0.18825382163880022,0.0041562311080404184,0.03209367322122047,1.9984510342523945e-07,0.17516774803597224,0.2815744143919854,1.0,0.005982053838484547
1.9207187634793043e-05,0.00012290713518301507,0.1304304191271032,0.002661387470001027,0.014570891847531143,0.04,0.0018679805356711327,0.00027988803552709293,1.1230043718400285e-05,0.01150853820935384,0.06976744186046512,0.00020825708794801388,0.0,0.0,0.16364515349286923,2.9616827489897146e-05,0.14083526442472288,0.030258844607693288,0.18825382163880022,0.0041562311080404184,0.03209367322122047,1.9984510342523945e-07,0.17516774803597224,0.2815744143919854,1.0,0.006979062811565309
2.6865213486000624e-05,0.00028395786404351755,0.13382074876727793,0.004529027799826309,0.02210756004453001,0.07999999999999999,0.002144928084626536,0.0005597760710541859,1.1813783330595469e-05,0.014339351763156665,0.08837209302325581,0.0003496727646528294,0.0,0.0,0.16992990089436788,6.399115284706299e-05,0.0387585669163233,0.02269413345576997,0.1927444296822613,0.006841588220053546,0.053732435785742654,2.0401666822781518e-07,0.4503502620511175,0.29035600861023025,1.0,0.008973080757726834
2.6865213486000624e-05,0.00028395786404351755,0.13382074876727793,0.004529027799826309,0.02210756004453001,0.07999999999999999,0.002144928084626536,0.0005597760710541859,1.1813783330595469e-05,0.014339351763156665,0.08837209302325581,0.0003496727646528294,0.0,0.0,0.16992990089436788,6.399115284706299e-05,0.0387585669163233,0.02269413345576997,0.1927444296822613,0.006841588220053546,0.053732435785742654,2.0401666822781518e-07,0.4503502620511175,0.29035600861023025,1.0,0.003988035892323036
