MCGM Values,Degree Centrality,Node H-Index,Clustered Local Degree,DNC Scores,Gravity Model Centrality,PageRank Centrality,Laplacian Centrality,Global Relative Change in Avg Clustering,Local Gravity Model Centrality,LGC Scores,Density Centrality,H Values,Centrality Values,K-Shell Value,Betweenness Centrality,Extended Degree,Extended Coreness,Gravity Index Centrality,EHCC Value,Societal Capital Scores,Eigenvector Centrality,Closeness Centrality,MDD Value,Subgraph centrality
0.592597784,0.003025719,2,5.0,2.0,58.06949366,0.001296567,16,0.001512859,10,864,1.75,1.53e-06,7.0,2,0.000843837,3.2,10,11.0,0.626189864,7,3.83e-07,0.000137287,2.0,2.33389659
0.987670215,0.004538578,2,6.0,3.0,100.1732976,0.001819933,24,0.001512859,18,1920,3.579545455,5.47e-06,13.3,2,0.004434768,4.2,12,15.0,1.046822742,9,9.11e-07,0.000144718,2.1,3.083783947
0.56791179,0.003025719,2,4.0,2.0,59.53733904,0.001307933,14,0.001512859,8,966,1.590909091,3.16e-06,9.82,2,0.00132013,2.8,8,10.0,0.918188835,6,7.9e-07,0.000138102,2.0,2.29027453
0.740753038,0.003025719,2,6.0,2.0,70.89265712,0.001224997,18,0.001512859,12,1521,1.909090909,3.18e-06,11.2,2,0.003688516,3.6,12,12.0,1.019037818,8,7.96e-07,0.000149948,2.0,2.394813865
0.888936489,0.003025719,2,8.0,2.0,75.37359954,0.001222074,22,0.001512859,16,2332,2.227272727,1.19e-05,11.2,2,0.004383638,4.4,16,14.0,1.005402624,10,2.98e-06,0.000151309,2.0,2.506856655
1.037087832,0.003025719,2,9.0,2.0,82.53461868,0.001244242,24,0.001512859,18,3912,2.386363636,1.25e-05,15.47,2,0.003908465,4.8,18,15.0,1.61718549,11,3.11e-06,0.000150852,2.0,2.595857699
1.419812386,0.004538578,2,10.0,3.0,138.4227147,0.001707373,32,0.001512859,30,4304,4.534090909,1.7e-05,16.83071429,2,0.014890992,5.8,19,18.5,1.678543864,13,2.84e-06,0.000164366,2.7,3.31686299
1.666685392,0.006051437,2,9.0,4.0,155.5308114,0.002302196,38,0.001512859,36,4313,6.681818182,6.62e-06,19.6,2,0.009268015,6.0,18,21.0,1.844352971,13,8.28e-07,0.00015124,2.8,4.057826131
1.852149553,0.006051437,2,9.0,4.0,225.1396593,0.002212873,38,0.001512859,36,7657,6.681818182,8.53e-05,29.64071429,2,0.031582824,6.0,18,19.0,2.58657062,13,1.22e-05,0.000181554,2.8,4.090460476
0.728398606,0.003025719,2,6.0,2.0,64.58538799,0.001244889,18,0.001512859,12,1476,1.909090909,9.19e-07,10.5,2,0.00291396,3.6,12,12.0,1.145227682,8,2.3e-07,0.000142511,2.0,2.396379292
0.703706664,0.003025719,2,6.0,2.0,61.3419354,0.001271041,18,0.001512859,12,1332,1.909090909,7.83e-07,9.1,2,0.002056785,3.6,12,12.0,0.841394392,8,1.96e-07,0.000138715,2.0,2.39309085
